N	3gram	Propp_Isto_1	TeoriaLi
1	по отношению к	3	8
2	в отличие от	2	7
3	в том что	4	6
4	того или иного	1	5
5	более или менее	5	4
6	с другой стороны	5	3
7	тем не менее	6	3
8	в этом смысле	1	3
9	мы имеем дело	1	2
10	в соответствии с	1	2
11	но он не	1	2
12	в противном случае	1	2
13	с одной стороны	4	2
14	тех или иных	1	2
15	не может быть	7	2
16	и глубже чем	1	1
17	в чистом виде	2	1
18	нами не как	1	1
19	дело в том	3	1
20	это было бы	1	1
21	подобно тому как	1	1
22	может быть признано	1	1
23	никак не может	1	1
24	в этом случае	1	1
25	как это делает	1	1
26	может быть назван	2	1
27	не было и	1	1
28	что он должен	1	1
29	в таких случаях	2	1
30	в иных случаях	1	1
31	можно говорить о	1	1
32	бы то ни	2	1
33	имеем дело не	1	1
34	простой и ясный	1	1
35	только то что	1	1
36	точно так же	3	1
37	между собой и	1	1
38	в том случае	1	1
39	еще не есть	1	1
40	до известной степени	1	1
41	в значительной степени	1	1
42	едва ли не	1	1
43	восходит к тому	1	1
44	между ним и	1	1
45	содержит в себе	1	1
46	здесь мы имеем	2	1
47	в первом случае	1	1
48	это еще одна	1	1
49	то ни было	2	1
50	именно такого рода	1	1
51	таким образом и	1	1
52	но в отличие	2	1
53	легко может быть	1	1
54	не содержит в	1	1
55	и в пределах	1	1
56	при этом они	1	1
57	не могут быть	1	1
58	шире и глубже	1	1
59	это своего рода	1	1
60	в связи с	3	1
61	так же как	2	1
62	тем или иным	1	1
63	ни к каким	1	1
64	в то время	3	1
65	а по своей	1	1
66	в одном случае	1	1
67	о том что	3	1
68	глубже чем это	1	1
69	но в то	1	1
70	в реальной действительности	1	1
71	именно потому что	1	1
72	ни к какой	1	1
73	в этих случаях	2	1
74	в большинстве случаев	4	1
75	дело не в	1	1
76	для того чтобы	1	1
77	к тому же	1	1
78	по себе а	1	1
