N	2gram	Savitsky_E_1	Istorich
1	и в	37	25
2	вместе с	2	22
3	и т	1	20
4	т д	1	18
5	может быть	6	17
6	представление о	2	17
7	т е	9	16
8	не только	18	13
9	но и	14	13
10	в его	2	12
11	так как	7	11
12	уже не	1	11
13	и не	14	11
14	в этом	12	10
15	тем что	3	10
16	все же	1	10
17	и его	1	9
18	в виде	5	9
19	с другой	7	9
20	таким образом	2	9
21	и на	6	8
22	все эти	1	8
23	что в	21	8
24	связи с	1	8
25	и что	2	8
26	мы видим	2	8
27	мы знаем	1	8
28	с тем	3	8
29	другой стороны	2	8
30	связь с	1	8
31	этих случаях	1	8
32	том что	6	8
33	представляет собой	3	7
34	в нем	1	7
35	а затем	1	7
36	как и	7	7
37	мы видели	3	7
38	потому что	3	7
39	о том	3	7
40	то что	6	7
41	только в	9	7
42	с одной	8	7
43	в качестве	14	7
44	при помощи	2	7
45	одной стороны	8	7
46	но это	1	7
47	в частности	5	7
48	как в	3	6
49	не может	9	6
50	в этих	2	6
51	не в	5	6
52	в австралии	1	6
53	что и	3	6
54	там где	3	6
55	прежде всего	9	6
56	могут быть	2	6
57	или в	2	6
58	в том	11	6
59	например в	1	5
60	мы не	4	5
61	в ней	4	5
62	но не	5	5
63	с этим	2	5
64	что это	2	5
65	но все	1	5
66	входит в	1	5
67	как мы	5	5
68	мы увидим	1	5
69	связано с	3	5
70	так же	9	5
71	для нас	4	5
72	же как	5	4
73	и это	1	4
74	то же	15	4
75	до него	1	4
76	мы здесь	1	4
77	в ее	8	4
78	от этого	5	4
79	в истории	2	4
80	его на	2	4
81	он не	2	4
82	не как	1	4
83	что все	2	4
84	с другими	2	4
85	и тем	3	4
86	не менее	1	4
87	все еще	1	4
88	в некоторых	2	4
89	в пределах	25	4
90	наряду с	2	4
91	с ним	1	4
92	а именно	2	4
93	если не	1	4
94	в связи	1	4
95	из себя	1	4
96	мы должны	2	4
97	также что	1	3
98	в которых	3	3
99	или же	1	3
100	на себя	3	3
101	то это	1	3
102	что его	1	3
103	если в	2	3
104	и как	2	3
105	его к	1	3
106	в этой	2	3
107	на этом	1	3
108	в ином	1	3
109	в то	16	3
110	к берегу	2	3
111	для того	6	3
112	что при	1	3
113	того чтобы	6	3
114	никогда не	3	3
115	и с	2	3
116	и вообще	1	3
117	затем в	1	3
118	к нему	2	3
119	в другой	2	3
120	нем и	1	3
121	и все	2	3
122	в европе	1	3
