N	3gram	Nazirov_Tv_1	FransuaR
1	мы уже говорили	1	7
2	в том что	6	6
3	до сих пор	1	4
4	в отличие от	1	4
5	это уже не	2	3
6	на самом же	1	3
7	самом же деле	1	3
8	прежде всего на	1	2
9	дело в том	3	2
10	на самом деле	2	2
11	в своей книге	1	2
12	и в других	1	2
13	уже говорили что	1	2
14	с одной стороны	1	2
15	на протяжении всего	2	2
16	в отрыве от	1	2
17	можно сказать что	2	1
18	еще далеко не	1	1
19	между прочим в	1	1
20	чуть ли не	1	1
21	по отношению к	1	1
22	имеем в виду	1	1
23	в настоящее время	1	1
24	в xix веке	1	1
25	он в сущности	1	1
26	отвлеченной мысли и	1	1
27	в мировой литературе	1	1
28	сами по себе	1	1
29	но все это	1	1
30	можно только в	1	1
31	к человеку и	1	1
32	это вовсе не	1	1
33	с самим собой	1	1
34	на первом плане	2	1
35	это как бы	3	1
36	и далеко не	1	1
37	некоторые из них	1	1
38	а как бы	1	1
39	все это в	1	1
40	он вовсе не	1	1
41	но в то	4	1
42	в более широком	1	1
43	это прежде всего	1	1
44	он перестает быть	1	1
45	но при этом	1	1
46	по нашему мнению	5	1
47	xix века между	1	1
48	в известном смысле	1	1
49	можно жить только	1	1
50	не могут быть	1	1
51	отношений между людьми	1	1
52	в связи с	1	1
53	все более и	1	1
54	и в романе	1	1
55	с другой стороны	1	1
56	их неразрывном единстве	1	1
57	бросается в глаза	1	1
58	то же время	12	1
59	в их неразрывном	1	1
60	связанные с ними	1	1
61	и превращается в	1	1
62	более и более	1	1
63	мысли и не	1	1
64	мы имеем в	1	1
65	в то же	13	1
66	но это не	1	1
67	в отношении к	1	1
68	не только в	2	1
69	он видит в	1	1
70	к тому же	1	1
71	и движущая сила	1	1
72	мировой литературы с	1	1
