N	2gram	Bakhtin_fo_1	Russkaja
1	не может	6	22
2	и не	14	19
3	в том	9	17
4	в этом	25	17
5	и в	50	14
6	с другом	1	14
7	друг с	1	14
8	то что	6	13
9	самим собой	2	12
10	то же	11	11
11	точки зрения	5	11
12	таким образом	11	11
13	в то	9	10
14	же время	9	10
15	но и	8	10
16	в себе	3	9
17	не только	9	9
18	том что	4	9
19	с точки	2	9
20	может быть	11	9
21	во всяком	3	9
22	того чтобы	5	8
23	прежде всего	15	8
24	самом деле	1	7
25	отнюдь не	5	7
26	и с	4	7
27	в данном	2	7
28	к тому	3	7
29	о том	1	7
30	самого себя	1	7
31	мы должны	2	7
32	ни к	3	7
33	в своем	4	6
34	и к	2	6
35	с тем	3	6
36	в своих	1	6
37	и при	1	6
38	если бы	5	6
39	все это	4	6
40	и для	4	6
41	для того	5	6
42	что он	1	6
43	всяком случае	1	6
44	для всех	2	6
45	для него	2	6
46	своего народа	1	6
47	вопрос о	2	5
48	и на	8	5
49	между собой	4	5
50	во всех	6	5
51	на то	1	5
52	в нем	24	5
53	при этом	3	5
54	он не	5	5
55	он должен	2	5
56	было бы	2	5
57	в своей	2	5
58	никогда не	2	5
59	потому что	4	5
60	и только	1	5
61	только в	4	5
62	хотя бы	2	5
63	конечно не	4	5
64	или иной	2	5
65	до сих	3	5
66	себя и	3	5
67	из которых	1	5
68	по существу	12	5
69	сих пор	3	5
70	а в	3	5
71	жизни в	8	5
72	и то	4	4
73	но не	5	4
74	себе и	3	4
75	себя в	1	4
76	все же	6	4
77	не в	5	4
78	в этой	1	4
79	в корне	1	4
80	в совершенно	1	4
81	его в	3	4
82	как и	8	4
83	которой он	1	4
84	в их	6	4
85	точку зрения	2	4
86	тогда когда	2	4
87	во всем	2	4
88	не могут	3	4
89	когда они	1	4
90	приводит к	1	4
91	в мире	1	4
92	и т.д	1	4
93	путь к	1	4
94	в его	13	4
95	так как	6	4
96	вместе с	3	4
97	как бы	2	4
98	в другое	1	4
99	возможно лишь	1	4
100	жизни и	8	4
101	что в	5	4
102	к этой	1	4
103	и т	8	3
104	и ни	1	3
105	еще не	5	3
106	он сам	1	3
107	из этих	1	3
108	в самом	8	3
109	что это	1	3
110	главным образом	1	3
111	на том	1	3
112	и по	2	3
113	в другом	1	3
114	лишь в	6	3
115	для них	3	3
116	о которых	1	3
117	должно быть	1	3
118	всех этих	5	3
119	таким же	1	3
120	мы говорили	3	3
121	одна из	2	3
122	связи с	6	3
123	что оно	1	3
124	той или	2	3
125	приходит к	1	3
126	что все	2	3
127	данном случае	1	3
128	в значительной	2	3
129	и во	7	3
130	борьбе с	2	3
131	что и	3	3
132	а следовательно	1	3
133	того что	2	3
134	одной из	3	3
135	в качестве	3	3
136	с нею	1	3
137	в большинстве	1	3
138	из них	1	3
139	в конце	9	3
140	друг друга	3	3
141	тем что	2	3
142	именно в	3	3
143	только к	3	3
144	не было	7	3
145	и потому	3	3
146	да и	3	3
147	культуры в	1	3
148	этом случае	1	3
149	она может	1	3
150	или в	3	3
151	и как	10	3
152	все они	1	3
153	собой это	1	3
154	к данному	1	2
155	и есть	1	2
156	из всех	1	2
157	но она	2	2
158	на себя	2	2
159	в ней	4	2
160	в таком	3	2
161	время в	6	2
162	по отношению	3	2
163	существование в	1	2
164	сама по	1	2
165	с этим	6	2
166	и наконец	1	2
167	но в	10	2
168	все эти	9	2
169	и тот	1	2
170	и те	3	2
171	по самому	2	2
172	сами эти	1	2
173	говорили в	1	2
174	не к	2	2
175	и вот	1	2
176	на совершенно	1	2
177	касается до	1	2
178	факт что	1	2
179	мы уже	11	2
180	на этой	4	2
181	на почве	2	2
182	по себе	2	2
183	ведь в	1	2
184	и тогда	1	2
185	в этих	3	2
186	весьма часто	2	2
187	во время	1	2
188	в котором	4	2
189	место в	2	2
190	другом и	1	2
191	друг другу	2	2
192	и более	1	2
193	их в	3	2
194	том же	2	2
195	для нее	1	2
196	она не	1	2
197	в таких	1	2
198	для нас	2	2
199	у него	6	2
200	следовательно и	1	2
201	самому своему	1	2
202	и является	2	2
203	к себе	4	2
204	отличается от	1	2
205	для себя	7	2
206	значительной мере	1	2
207	и человек	1	2
208	во главе	1	2
209	если они	2	2
210	ясно что	2	2
211	с самим	5	2
212	разумеется что	2	2
213	даже не	2	2
214	в порядке	3	2
215	были бы	1	2
216	вне всякой	1	2
217	работа по	1	2
218	от него	1	2
219	эта работа	1	2
220	быть и	2	2
221	время когда	1	2
222	этот вопрос	1	2
223	совершенно не	2	2
224	их не	1	2
225	по этому	1	2
226	так что	1	2
227	уже не	2	2
228	только на	3	2
229	в начале	3	2
230	является не	1	2
231	его и	2	2
232	ни в	8	2
233	не о	2	2
234	мы можем	1	2
235	в других	9	2
236	и даже	2	2
237	в некоторых	2	2
238	а не	3	2
239	себя на	1	2
240	в частности	6	2
241	так же	6	2
242	тот факт	1	2
243	их к	2	2
244	в течение	2	2
245	отношения к	3	2
246	общественной жизни	1	2
247	этом и	1	2
248	но для	2	2
249	если не	1	2
250	и от	1	2
251	не подлежит	1	2
252	всем этим	3	2
253	в результате	6	2
254	в положение	1	2
255	с ним	2	2
256	бы его	1	2
257	ее в	2	2
258	других стран	1	1
259	должен быть	1	1
260	того же	8	1
261	сплошь и	2	1
262	он может	1	1
263	тех же	2	1
264	к своей	2	1
265	идет о	1	1
266	на деле	1	1
267	не меняется	3	1
268	ему что	1	1
269	ту же	2	1
270	со своей	3	1
271	в зависимости	1	1
272	данной стране	2	1
273	и за	1	1
274	также и	2	1
275	их и	2	1
276	есть не	3	1
277	мы не	3	1
278	же как	2	1
279	и ничего	1	1
280	такое положение	1	1
281	в сущности	3	1
282	это отношение	1	1
283	они были	2	1
284	событий и	3	1
285	с исторической	1	1
286	же особенно	1	1
287	частной человеческой	1	1
288	он был	1	1
289	на них	2	1
290	именно этого	1	1
291	не был	1	1
292	жизни данного	1	1
293	подходе к	2	1
294	друг к	2	1
295	к этому	3	1
296	они имеют	1	1
297	но как	1	1
298	а только	2	1
299	точка зрения	1	1
300	значение и	3	1
301	к известной	1	1
302	есть по	1	1
303	должны были	1	1
304	человек может	1	1
305	в истории	2	1
306	работа в	1	1
307	что во	1	1
308	данный момент	1	1
309	и целостности	1	1
310	что касается	1	1
311	перед нами	1	1
312	в полном	1	1
313	т.д эта	1	1
314	по пути	1	1
315	не являются	2	1
316	для которой	1	1
317	имеет в	2	1
318	он на	1	1
319	от этого	2	1
320	искусство и	1	1
321	не быть	1	1
322	и конечно	1	1
323	в которой	2	1
324	ни один	1	1
325	себя к	1	1
326	бы не	1	1
327	выражение в	2	1
328	быть как	1	1
329	то и	1	1
330	тому же	2	1
331	в жертву	1	1
332	но на	4	1
333	вследствие этого	3	1
334	он всегда	1	1
335	вообще не	3	1
336	как оно	2	1
337	не могла	1	1
338	не следует	1	1
339	силу и	1	1
340	время и	4	1
341	о которой	1	1
342	чтобы они	4	1
343	такого человека	1	1
344	политического деятеля	1	1
345	его можно	1	1
346	лишь с	1	1
347	но дело	2	1
348	но все	5	1
349	такого же	1	1
350	значительной степени	1	1
351	здесь мы	1	1
352	могла бы	1	1
353	тем же	1	1
354	об этом	2	1
355	и неизбежно	1	1
356	к другу	2	1
357	всего необходимо	3	1
358	то есть	33	1
359	или даже	1	1
360	в данной	2	1
361	входит в	3	1
362	с другими	3	1
363	это не	6	1
364	уже знаем	1	1
365	это противоречие	1	1
366	принципиально отличается	1	1
367	чаще всего	1	1
368	в жизни	6	1
369	из нее	2	1
370	человека на	1	1
371	этого слова	1	1
372	она и	1	1
373	жизни но	5	1
374	нет и	2	1
375	на одну	1	1
376	в один	1	1
377	и того	6	1
378	одного и	5	1
379	на первый	1	1
380	что значит	1	1
381	и личные	1	1
382	нас не	1	1
383	из которой	1	1
384	не столько	1	1
385	оказывается что	2	1
386	в которых	2	1
387	он весь	2	1
388	и другого	1	1
389	как другие	1	1
390	своему существу	1	1
391	теми же	1	1
392	необходимо чтобы	2	1
393	вовсе не	13	1
394	же мы	1	1
395	его целом	2	1
396	до известной	1	1
397	самого начала	2	1
398	и проч	4	1
399	дело в	2	1
400	на себе	1	1
401	в основе	5	1
402	не вызывает	1	1
403	образом в	1	1
404	та или	1	1
405	которые внутренне	1	1
406	ними не	1	1
407	того и	2	1
408	в разных	5	1
409	это то	2	1
410	всего на	1	1
411	к ней	2	1
412	и сама	1	1
413	исходный пункт	1	1
414	существуют в	1	1
415	этом отношении	3	1
416	нем все	2	1
417	стороны и	2	1
418	выход из	2	1
419	есть только	2	1
420	могут быть	5	1
421	похож на	1	1
422	человека в	17	1
423	как только	1	1
424	слова но	1	1
425	должны быть	1	1
426	всего в	1	1
427	одну и	1	1
428	себя только	1	1
429	и это	4	1
430	из всего	1	1
431	как мы	14	1
432	но по	2	1
433	с ее	6	1
434	свою очередь	1	1
435	всего этого	2	1
436	в ее	6	1
437	не могло	5	1
438	совершенно ясно	1	1
439	в себя	1	1
440	с самого	2	1
441	степени и	1	1
442	ряду с	1	1
443	роль в	9	1
