N	3gram	Bakhtin_Fr_1	Tragedij
1	то же время	1	5
2	в то же	1	5
3	так и в	2	3
4	в отличие от	4	2
5	и в частности	2	2
6	но в то	1	2
7	бросается в глаза	1	2
8	но все же	2	2
9	в том что	6	2
10	а между тем	1	1
11	сохраняет свое значение	1	1
12	одно из самых	1	1
13	том что он	1	1
14	имеет в виду	1	1
15	и не может	1	1
16	в своей книге	2	1
17	совершенно в духе	1	1
18	в этой борьбе	1	1
19	но и на	1	1
20	но несмотря на	1	1
21	это как бы	1	1
22	в известной мере	3	1
23	в применении к	3	1
24	он и в	1	1
25	во всяком случае	1	1
26	он перестает быть	1	1
27	в xx веке	1	1
28	в чем же	1	1
29	но при этом	1	1
30	по нашему мнению	1	1
31	по-видимому не было	1	1
32	не могут быть	1	1
33	прежде всего необходимо	1	1
34	необходимо подчеркнуть что	1	1
35	в xix веке	1	1
36	в связи с	1	1
37	в жизнь и	1	1
38	на деле же	1	1
39	что при таком	1	1
40	не может быть	1	1
41	в одном из	1	1
42	в самом деле	1	1
43	это не просто	1	1
44	в какой-то мере	1	1
45	xii и xiii	1	1
