N	3gram	Tiupa_Vved_1	Istorich
1	с другой стороны	1	8
2	с одной стороны	5	7
3	в этом случае	1	6
4	в том что	3	5
5	о том что	4	4
6	здесь мы имеем	1	4
7	не только в	2	4
8	о том как	1	3
9	не может быть	3	3
10	в данном случае	6	3
11	как и в	2	2
12	по отношению к	7	2
13	не могло быть	1	2
14	как мы видели	2	2
15	к себе в	1	2
16	но и в	2	2
17	во всяком случае	1	2
18	можно было бы	2	2
19	подобно тому как	2	1
20	и тем самым	2	1
21	в таком случае	1	1
22	в том числе	1	1
23	если бы она	1	1
24	в этих случаях	2	1
25	могут быть только	1	1
26	при встрече с	1	1
27	но это не	1	1
28	друг на друга	1	1
29	здесь как и	1	1
30	можно сказать что	1	1
31	а с другой	2	1
32	здесь не в	1	1
33	в частности в	2	1
34	в этом мире	1	1
35	не что иное	1	1
36	на первый взгляд	1	1
37	это то что	1	1
38	но не всегда	1	1
39	на то что	1	1
40	иначе обстоит дело	1	1
41	речь идет о	1	1
42	более или менее	2	1
43	в этом месте	1	1
44	тем не менее	3	1
45	одной стороны и	1	1
46	что иное как	1	1
47	жизнью и смертью	1	1
48	же не может	1	1
49	в зависимости от	1	1
50	но при этом	2	1
51	по аналогии с	1	1
52	при этом он	1	1
53	все же не	1	1
54	том числе и	1	1
55	все тех же	1	1
56	в этом направлении	1	1
57	в стране мертвых	1	1
58	но в целом	1	1
59	однако и в	1	1
60	об этом будет	1	1
61	к тому чтобы	1	1
62	том что на	1	1
63	как бы в	1	1
64	и не могло	1	1
65	но тут же	1	1
