N	2gram	Tiupa_Lite_2	Vladivir
1	вл соловьева	1	160
2	и в	19	31
3	в году	5	30
4	не только	8	24
5	а к	2	22
6	но и	10	19
7	то что	7	18
8	и не	11	17
9	и даже	8	15
10	у него	2	15
11	в этом	9	14
12	том что	7	14
13	и с	3	14
14	он был	1	14
15	что в	4	14
16	но в	2	12
17	в его	4	12
18	что он	3	12
19	о том	2	11
20	в том	10	11
21	потому что	2	11
22	и то	3	10
23	он не	5	10
24	так что	4	10
25	как мы	1	9
26	никогда не	3	9
27	в конце	2	9
28	даже и	2	9
29	а в	3	9
30	и по	1	8
31	в то	9	8
32	так как	3	8
33	как это	2	7
34	и его	3	7
35	для него	4	7
36	в эти	1	7
37	уже в	2	7
38	как раз	2	7
39	еще и	1	7
40	того же	4	6
41	то же	12	6
42	то он	1	6
43	и к	2	6
44	свое время	2	6
45	он и	2	6
46	у нас	5	6
47	и сам	2	6
48	так и	7	6
49	и что	2	6
50	можно сказать	1	6
51	в качестве	5	6
52	может быть	17	6
53	и потому	1	6
54	не может	9	6
55	к этому	1	6
56	но как	2	5
57	когда он	1	5
58	на то	1	5
59	которой он	1	5
60	не в	4	5
61	со своим	1	5
62	что и	2	5
63	вовсе не	2	5
64	но он	1	5
65	не было	2	5
66	а с	1	5
67	что же	1	5
68	и от	1	5
69	а также	2	5
70	с ним	2	5
71	в свое	2	5
72	жизни и	4	5
73	в своих	2	5
74	я не	5	4
75	мы и	1	4
76	в этой	3	4
77	в истории	2	4
78	в своем	1	4
79	и как	3	4
80	в этот	1	4
81	в нашем	2	4
82	в себе	6	4
83	как он	2	4
84	в нем	3	4
85	в россии	2	4
86	же касается	1	4
87	как и	10	4
88	ни с	1	4
89	еще в	4	4
90	в своей	1	4
91	мысли и	2	4
92	не раз	2	4
93	же время	9	4
94	во всем	1	4
95	он писал	1	4
96	никак не	1	4
97	по своей	1	4
98	один из	4	4
99	себя в	6	4
100	и теперь	1	4
101	в особенности	1	4
102	и все	1	4
103	такого рода	9	4
104	для нас	2	4
105	он как	1	3
