N	2gram	Medvedev_U_1	StatiiOP
1	и в	14	25
2	в этом	7	24
3	у пушкина	1	22
4	в том	2	20
5	что он	2	19
6	может быть	6	19
7	тем что	2	19
8	что в	1	19
9	том что	2	15
10	в этой	4	14
11	не только	10	12
12	в г	1	12
13	в его	2	12
14	то что	7	12
15	таким образом	2	10
16	прежде всего	8	10
17	и не	8	10
18	у него	1	9
19	но и	4	9
20	все это	5	8
21	о том	1	8
22	это было	2	8
23	это не	3	7
24	было бы	3	7
25	в то	3	7
26	не может	7	7
27	что такое	4	7
28	не в	2	6
29	между тем	2	6
30	только в	2	6
31	в конце	2	6
32	в области	3	6
33	в россии	4	6
34	как на	1	6
35	то же	5	5
36	независимо от	1	5
37	но в	3	5
38	на то	1	5
39	он не	1	5
40	об этом	1	5
41	мы имеем	1	5
42	в котором	1	5
43	и сальери	1	5
44	и это	1	5
45	так и	1	5
46	с другой	4	5
47	а не	10	5
48	того что	1	5
49	другой стороны	3	5
50	в которой	1	4
51	из которых	1	4
52	относится к	1	4
53	все же	3	4
54	не было	1	4
55	на его	1	4
56	этом смысле	2	4
57	с тем	1	4
58	как и	3	4
59	а как	2	4
60	у нас	3	4
61	по крайней	2	4
62	ничего не	2	4
63	этом отношении	2	4
64	в ней	1	4
65	и с	2	4
66	если бы	2	4
67	можно сказать	1	4
68	в качестве	1	4
69	и др	1	4
70	крайней мере	2	4
71	должна была	2	4
72	в течение	1	4
73	и для	2	4
74	но это	2	4
75	сказать что	1	4
76	в своей	3	4
77	это в	1	4
78	по мнению	1	3
79	он был	1	3
80	с его	2	3
81	что по	1	3
82	всех этих	2	3
83	что этот	1	3
84	в их	4	3
85	но он	1	3
86	пушкина но	1	3
87	же время	3	3
88	что все	2	3
89	в словах	1	3
90	и что	1	3
91	уже не	1	3
92	для него	3	3
93	в некоторых	2	3
94	в системе	2	3
95	как раз	2	3
96	что для	1	3
97	одной стороны	1	3
98	до конца	1	3
99	что мы	2	3
100	его как	1	3
101	тем более	1	3
102	конце концов	2	3
103	все они	2	3
104	к этому	1	3
105	в виде	1	3
106	пушкин и	1	3
107	самом деле	2	2
108	он может	1	2
109	той же	1	2
110	с которыми	1	2
111	нет и	1	2
112	в самом	2	2
113	формы в	3	2
114	имеем в	1	2
115	о которой	1	2
116	не как	3	2
117	то есть	1	2
118	ее в	1	2
119	он и	1	2
120	мы не	2	2
121	не столько	2	2
122	в которых	1	2
123	для этого	3	2
124	этой области	3	2
125	тогда когда	1	2
126	было у	1	2
127	никогда не	1	2
128	могут быть	2	2
129	но также	1	2
130	любопытно что	1	2
131	в виду	1	2
132	моцарт и	1	2
133	произведения как	1	2
134	с одной	1	2
135	и только	5	2
136	отказ от	1	2
137	и у	2	2
138	то и	1	2
139	одно из	1	2
140	до сих	2	2
141	но не	2	2
142	без труда	1	2
143	стихотворений и	1	2
144	быть не	1	2
145	сих пор	2	2
146	этого термина	2	2
147	существует в	1	2
148	к сожалению	3	2
149	вряд ли	3	1
150	за пределы	1	1
151	одним из	2	1
152	сам по	1	1
153	и то	3	1
154	и так	1	1
155	свое место	1	1
156	должна быть	2	1
157	объясняется и	1	1
158	в последние	1	1
159	стих как	1	1
160	мы и	2	1
161	во мне	1	1
162	установку на	2	1
163	быть в	1	1
164	или иначе	1	1
165	в сторону	2	1
166	не все	2	1
167	очевидно что	3	1
168	время на	1	1
169	мы снова	1	1
170	в своем	1	1
171	рассказывается в	1	1
172	более или	1	1
173	при таком	2	1
174	всего лишь	1	1
175	так или	1	1
176	приобретает характер	1	1
177	еще один	1	1
178	в известном	1	1
179	что она	2	1
180	в нем	1	1
181	связанные с	1	1
182	они в	1	1
183	что еще	1	1
184	произведение по	1	1
185	находит себе	1	1
186	к убийству	1	1
187	что такой	1	1
188	поэзии и	1	1
189	еще одно	1	1
190	это много	1	1
191	поэта не	1	1
192	этого не	1	1
193	или менее	1	1
194	почти не	1	1
195	напр в	1	1
196	друг другу	1	1
197	знак равенства	1	1
198	стиха но	1	1
199	формы как	1	1
200	по себе	2	1
201	но ученики	1	1
202	что ему	1	1
203	не о	3	1
204	может служить	1	1
205	того как	1	1
206	к изучению	1	1
207	так много	1	1
208	очень часто	1	1
209	же самое	2	1
210	является одним	1	1
211	не случайно	2	1
212	и свое	1	1
213	т.е в	2	1
214	для себя	1	1
215	значительной мере	1	1
216	только при	1	1
217	формы и	2	1
218	в произведении	1	1
219	в пределах	1	1
220	приводит к	1	1
221	именно этот	1	1
222	является в	2	1
223	о котором	1	1
224	все его	1	1
225	в порядке	1	1
226	вот почему	7	1
227	он успел	1	1
228	тех кто	1	1
229	и т.д	3	1
230	в значительной	1	1
231	что и	2	1
232	язык в	1	1
233	этого материала	1	1
234	в поэтическом	1	1
235	он уже	1	1
236	это же	1	1
237	для всех	2	1
238	конечно не	4	1
239	литературы в	1	1
240	точно и	1	1
241	равенства между	1	1
242	а это	1	1
243	содержания и	1	1
244	разрыв с	1	1
245	в современном	1	1
246	но что	1	1
247	даже и	2	1
248	было и	1	1
249	стихотворной речи	1	1
250	о чем	2	1
251	он становится	1	1
252	если не	2	1
253	в частности	3	1
254	такой характер	1	1
255	этой основной	1	1
256	в данном	1	1
257	в той	1	1
258	смысле этого	2	1
259	что же	1	1
260	по существу	2	1
261	форма в	1	1
262	это значит	1	1
263	дан в	1	1
264	должно быть	1	1
265	было таков	1	1
266	но для	1	1
267	интереса к	2	1
268	это уже	2	1
269	на форму	1	1
270	много но	1	1
271	также более	1	1
272	на большую	1	1
273	и все	1	1
274	бы в	1	1
275	чем была	1	1
276	вообще в	1	1
277	хотя бы	5	1
278	впечатление которое	1	1
279	поэтики с	1	1
280	гораздо больше	1	1
281	в период	1	1
282	а о	2	1
283	состоит из	1	1
284	в свое	1	1
285	художественного творчества	5	1
286	поэтики в	1	1
287	и эта	1	1
288	все что	1	1
