N	2gram	Berdyaev_O_1	Myslijsy
1	потому что	9	33
2	то что	5	29
3	может быть	11	26
4	в этом	12	23
5	в том	5	23
6	и в	19	23
7	и не	13	18
8	что в	4	17
9	в себе	3	14
10	как и	6	14
11	того что	3	14
12	так как	2	14
13	если бы	1	13
14	не было	9	12
15	а не	11	12
16	том что	2	12
17	не в	11	11
18	по себе	2	11
19	но и	13	11
20	не может	4	11
21	не только	11	10
22	тем что	2	10
23	и потому	2	10
24	не есть	2	9
25	мы не	1	8
26	в своем	2	8
27	но в	2	8
28	заключает в	1	8
29	было бы	3	8
30	о том	3	8
31	сказать что	2	8
32	как в	1	7
33	что это	1	7
34	на то	1	7
35	в нем	10	7
36	в силу	1	7
37	мысли и	3	7
38	это не	3	7
39	и что	1	7
40	что и	2	7
41	вовсе не	1	7
42	с тем	2	7
43	могут быть	3	7
44	этого слова	1	7
45	и к	2	6
46	в которой	2	6
47	человеческого духа	3	6
48	того как	1	6
49	мысль о	2	6
50	так и	2	6
51	что не	4	6
52	для того	3	6
53	и то	2	5
54	хотя и	2	5
55	бы и	1	5
56	есть для	1	5
57	как бы	3	5
58	должно быть	2	5
59	с ним	3	5
60	не имеет	2	5
61	находится в	1	5
62	к нему	3	5
63	так что	2	5
64	уже в	2	5
65	в его	7	5
66	для него	5	5
67	само по	1	5
68	что же	2	5
69	все это	6	5
70	а в	5	5
71	во всяком	1	5
72	сам по	1	4
73	есть не	1	4
74	и о	2	4
75	в истории	2	4
76	что как	1	4
77	думать что	1	4
78	для человека	2	4
79	что все	2	4
80	и с	2	4
81	его в	2	4
82	в котором	1	4
83	когда человек	1	4
84	видно что	1	4
85	и более	1	4
86	того чтобы	4	4
87	в сознании	1	4
88	быть может	3	4
89	что он	3	4
90	хотя бы	3	4
91	мысли есть	1	4
92	в одном	1	4
93	от того	1	4
94	а именно	1	4
95	но есть	1	4
96	да и	1	4
97	и все	10	4
98	есть уже	1	4
99	например в	1	3
100	человека и	10	3
101	самом деле	1	3
102	на самом	1	3
103	и есть	3	3
104	и до	1	3
105	еще не	3	3
106	и на	2	3
107	в самом	5	3
108	все эти	4	3
109	к одному	1	3
110	ни был	1	3
111	в каждом	1	3
112	том случае	1	3
113	лишь в	7	3
114	в них	1	3
115	ведет к	1	3
116	но это	1	3
117	что есть	2	3
118	в науке	1	3
119	связанная с	1	3
120	в нас	1	3
121	никогда не	9	3
122	в разных	1	3
123	быть назван	1	3
124	что у	2	3
125	ту же	1	3
126	в виду	1	3
127	вообще и	1	3
128	мысли не	1	3
129	с ними	1	3
130	то в	1	3
131	уже не	1	3
132	и других	1	3
133	всяком случае	1	3
134	даже и	2	3
135	со стороны	1	3
136	и из	2	3
137	что человек	3	3
138	нет ничего	7	3
139	ко всем	2	3
140	это есть	1	3
141	о человеке	29	3
142	в этих	3	3
143	и состоит	1	3
144	в процессе	1	3
145	но тем	1	2
146	человеческой природы	20	2
147	не вполне	1	2
148	в ней	1	2
149	то он	1	2
150	и чем	1	2
151	и я	1	2
152	одном из	1	2
153	что она	1	2
154	он не	7	2
155	из него	1	2
156	человека в	11	2
157	в мире	1	2
158	это было	3	2
159	тех которые	1	2
160	человек не	7	2
161	она и	1	2
162	чем в	2	2
163	в других	2	2
164	и без	1	2
165	в первый	1	2
166	вопрос о	10	2
167	лишь один	1	2
168	она не	1	2
169	что только	1	2
170	мысли в	1	2
171	в сущности	1	2
172	мысли как	1	2
173	к ней	2	2
174	и мысли	4	2
175	и его	4	2
176	у нас	1	2
177	не могут	3	2
178	или лучше	1	2
179	указывает на	1	2
180	и это	1	2
181	не существует	1	2
182	не могу	1	2
183	в ее	2	2
184	в глазах	1	2
185	духа и	1	2
186	и когда	1	2
187	можно было	1	2
188	не с	1	2
189	свою мысль	1	2
190	и здесь	1	2
191	в самой	9	2
192	это потому	1	2
193	после того	1	2
194	все в	4	2
195	но нет	1	2
196	природы и	2	2
197	бы в	1	2
198	еще более	1	2
199	человека а	2	2
200	один из	1	2
201	бы ни	1	2
202	не так	1	2
203	никто не	3	2
204	отношение к	5	2
205	и даже	1	2
206	на этот	1	2
207	и прежде	1	2
208	было и	1	2
209	стремится к	1	2
210	есть лишь	4	2
211	к его	1	2
212	быть не	1	2
213	в это	1	2
214	и для	2	2
215	а что	1	2
216	от него	7	2
217	быть что	1	2
218	и как	1	2
219	ни к	1	2
220	в голову	1	2
221	все что	3	2
222	в своих	3	2
223	обществе и	1	1
224	ясно видно	1	1
225	с образом	1	1
226	от самой	1	1
227	связана с	1	1
228	нет такого	1	1
229	науки о	1	1
230	тем же	1	1
231	к другому	1	1
232	человеческой души	6	1
233	должна быть	1	1
234	себе что	1	1
235	высшая математика	1	1
236	он сам	4	1
237	друг к	1	1
238	но не	1	1
239	того чтоб	1	1
240	не все	2	1
241	в новом	1	1
242	что нет	1	1
243	ничего и	2	1
244	математика в	1	1
245	духа в	1	1
246	та же	1	1
247	лучше сказать	1	1
248	существует лишь	1	1
249	и через	1	1
250	он в	2	1
251	не оставляет	1	1
252	в этой	5	1
253	только один	1	1
254	чувств и	1	1
255	говорят о	1	1
256	этой природы	1	1
257	он ни	1	1
258	есть дело	1	1
259	ничего легче	1	1
260	они в	1	1
261	мыслей в	1	1
262	и сам	1	1
263	не теряет	1	1
264	что их	1	1
265	человек для	1	1
266	к другу	1	1
267	заключается в	1	1
268	которого не	1	1
269	должен был	2	1
270	им самим	1	1
271	в положительной	2	1
272	только одно	3	1
273	этого она	1	1
274	всю жизнь	1	1
275	строгом смысле	1	1
276	бога и	1	1
277	и тогда	1	1
278	веры а	1	1
279	в своей	2	1
280	сам и	1	1
281	природы но	3	1
282	ее ни	1	1
283	но он	7	1
284	всего его	1	1
285	в отношении	1	1
286	с которой	2	1
287	истории и	1	1
288	дело в	1	1
289	на два	1	1
290	ее с	1	1
291	не по	1	1
292	его собственного	1	1
293	свободы и	2	1
294	о природе	3	1
295	ничего не	2	1
296	том только	1	1
297	природы в	2	1
298	во всем	1	1
299	как будто	1	1
300	этом отношении	1	1
301	не потому	1	1
302	перед ним	1	1
303	это два	1	1
304	начиная с	1	1
305	а утверждается	1	1
306	его с	1	1
307	бы он	1	1
308	они и	1	1
309	всегда есть	4	1
310	открывает нам	1	1
311	всегда в	1	1
312	он прежде	2	1
313	период когда	1	1
314	и человека	1	1
315	до самого	5	1
316	в другом	2	1
317	находятся и	1	1
318	том как	1	1
319	как у	1	1
320	о нем	1	1
321	с тою	1	1
322	а человек	1	1
323	необходим для	1	1
324	не стоит	1	1
325	все его	1	1
326	кроме человека	3	1
327	любви к	1	1
328	одно только	1	1
329	доходит до	1	1
330	а потому	1	1
331	в форме	1	1
332	чем и	1	1
333	и можно	1	1
334	с умом	1	1
335	и мир	1	1
336	не идет	1	1
337	творчества но	1	1
338	их не	2	1
339	вопрос об	1	1
340	себе есть	1	1
341	человека с	1	1
342	нет образа	1	1
343	в единстве	2	1
344	это так	1	1
345	состоит чтобы	1	1
346	а это	1	1
347	в душе	2	1
348	из них	1	1
349	но от	1	1
350	одно из	2	1
351	к человеку	9	1
352	иногда и	1	1
353	у него	22	1
354	и никогда	2	1
355	же это	2	1
356	и против	2	1
357	которой все	1	1
358	с той	1	1
359	ключа к	1	1
360	а с	1	1
361	прежде всего	9	1
362	которой нет	1	1
363	может ли	1	1
364	было для	2	1
365	только случай	1	1
366	между этими	1	1
367	до сумасшествия	1	1
368	под влиянием	1	1
369	его как	1	1
370	в одно	1	1
371	враг и	1	1
372	связь с	1	1
373	в частности	1	1
374	как это	1	1
375	легче как	1	1
376	в человеке	9	1
377	о границах	1	1
378	одним языком	1	1
379	он говорит	1	1
380	смысле этого	1	1
381	единственная причина	1	1
382	образ и	1	1
383	и менее	1	1
384	и формы	1	1
385	человеческая природа	2	1
386	и нет	2	1
387	людей но	1	1
388	ничего кроме	2	1
389	всего для	1	1
390	противоречие и	1	1
391	все же	2	1
392	его не	2	1
393	человек и	4	1
394	человечество стремится	1	1
395	к одной	1	1
396	два периода	1	1
397	ее и	1	1
398	но о	1	1
399	и самое	1	1
400	ее в	2	1
401	отношении к	1	1
402	мысли из	1	1
403	лишь по	1	1
404	не быть	1	1
405	состоит из	1	1
406	была бы	1	1
407	от всех	1	1
408	но можно	1	1
409	в глаза	1	1
410	в свое	1	1
411	жизни и	1	1
412	но еще	1	1
413	человеку и	5	1
414	всегда ведет	1	1
415	случае если	1	1
416	и эта	1	1
