N	2gram	Trubetskoy_1	NovoeSre
1	а не	2	17
2	и в	14	16
3	не может	22	16
4	во имя	5	15
5	и не	19	11
6	и есть	2	10
7	в эпоху	1	9
8	что в	4	9
9	как не	1	8
10	в том	17	8
11	жизни и	4	8
12	он не	5	8
13	культуры и	2	7
14	в этом	17	7
15	может быть	9	7
16	не будет	7	7
17	как и	4	7
18	это есть	2	7
19	не в	4	6
20	ни в	2	6
21	общественной жизни	2	6
22	никогда не	5	6
23	лишь в	3	6
24	но это	2	6
25	должен быть	1	5
26	с ее	1	5
27	в ней	2	5
28	культуры в	3	5
29	и к	6	5
30	не только	9	5
31	в жизни	1	5
32	все это	6	5
33	в нем	5	5
34	не во	1	4
35	быть может	1	4
36	о том	7	4
37	и мы	1	4
38	мировой войны	1	4
39	то что	13	4
40	это не	1	4
41	прежде всего	8	4
42	не было	3	4
43	должно быть	3	4
44	и потому	3	4
45	по своему	1	4
46	не менее	1	4
47	и для	6	4
48	и все	1	4
49	потому что	5	4
50	с другой	1	3
51	в ее	1	3
52	должна быть	2	3
53	вопрос о	5	3
54	и начало	1	3
55	еще не	3	3
56	во всех	5	3
57	в истории	1	3
58	будут не	2	3
59	конечно не	5	3
60	к ним	1	3
61	в мире	4	3
62	но и	10	3
63	не есть	3	3
64	с тем	6	3
65	в своей	5	3
66	в россии	6	3
67	в прошлом	1	3
68	она не	2	3
69	что такое	2	3
70	в основе	1	3
71	к ее	1	3
72	жизни в	5	3
73	и коммунизм	1	3
74	в духе	1	3
75	к тому	7	3
76	и это	1	2
77	же как	1	2
78	силы и	1	2
79	это и	1	2
80	роль в	1	2
81	к созданию	1	2
82	можно было	4	2
83	так и	1	2
84	церкви не	5	2
85	мы не	1	2
86	и с	7	2
87	для этого	3	2
88	стремление к	7	2
89	но она	2	2
90	и должно	2	2
91	и что	2	2
92	они считают	1	2
93	и на	5	2
94	стоят на	1	2
95	должно было	1	2
96	но не	4	2
97	к богу	7	2
98	в свои	1	2
99	с этим	2	2
100	помнить что	2	2
101	прав на	1	2
102	ни к	7	2
103	каждого человека	1	2
104	но в	2	2
105	в обществе	1	2
106	все эти	2	2
107	себя в	4	2
108	в себе	9	2
109	права и	1	2
110	уже не	2	2
111	не могла	1	2
112	стремиться к	2	2
113	не к	2	2
114	том чтобы	3	2
115	у него	2	2
116	и заключается	1	2
117	в одну	1	2
118	что все	3	2
119	нет и	1	2
120	и даже	2	2
121	государство и	1	2
122	связаны с	1	2
123	зависит от	2	2
124	для чего	1	2
125	том что	9	2
126	от религии	1	2
127	вместе с	4	2
128	так же	2	2
129	хозяйственной жизни	1	2
130	место в	2	2
131	жизни церкви	1	2
132	центр тяжести	2	2
133	по существу	5	2
134	том и	2	2
135	ни одна	3	2
136	как будто	2	2
137	как это	1	2
138	такой же	1	2
139	но для	2	2
140	в то	10	2
141	одна из	3	2
142	того чтобы	8	2
143	и от	2	2
144	и весь	1	2
145	в русском	1	2
146	хотя бы	5	2
147	все они	3	2
148	а в	5	2
149	от всякого	1	2
150	в будущем	3	2
151	ли это	4	2
152	на вершинах	1	2
153	могут быть	1	2
154	и культуры	1	2
155	можно назвать	1	2
156	непременно будут	1	1
157	от этой	2	1
158	оно может	1	1
159	зависимость от	2	1
160	жизни перед	1	1
161	людей в	1	1
162	она давала	1	1
163	для себя	2	1
164	над нами	1	1
165	он может	1	1
166	часто совершенно	1	1
167	россию и	2	1
168	россии в	7	1
169	приводит к	4	1
170	можно лишь	1	1
171	формы культуры	1	1
172	то нужно	1	1
173	культуре и	2	1
174	был и	3	1
175	и этот	3	1
176	и искать	1	1
177	мы уже	2	1
178	и религии	1	1
179	господствующей в	1	1
180	на место	1	1
181	советской россии	3	1
182	к новой	1	1
183	с ним	2	1
184	нас и	1	1
185	можно сказать	1	1
186	говорить о	3	1
187	оно есть	1	1
