N	3gram	Potebnia_M_3	Dialekti
1	и т д	3	19
2	это значит что	1	9
3	сама по себе	2	8
4	в том что	16	7
5	не есть ни	4	6
6	сам по себе	5	6
7	внутреннего и внешнего	1	6
8	само по себе	3	5
9	по себе не	1	5
10	то же время	5	4
11	по крайней мере	5	4
12	одно и то	5	4
13	и то же	5	4
14	с другой стороны	4	4
15	на то что	1	4
16	в то же	5	4
17	потому что он	3	3
18	только потому что	2	3
19	более или менее	3	3
20	только то что	1	3
21	не может быть	3	3
22	ничего общего с	1	3
23	можно сказать что	2	3
24	то что я	2	2
25	была бы невозможна	1	2
26	на самом деле	1	2
27	в себе самом	1	2
28	одной стороны и	1	2
29	до сих пор	3	2
30	и то и	1	2
31	что он не	3	2
32	по себе и	1	2
33	потому что и	2	2
34	но все это	1	2
35	в этом отношении	2	2
36	и т п	2	2
37	а потом уже	1	2
38	то и другое	1	2
39	может и не	1	2
40	говорит ни о	1	2
41	с одной стороны	3	2
42	или по крайней	1	2
43	одна и та	1	2
44	и стало быть	1	2
45	что не есть	1	2
46	по себе а	4	2
47	о том что	1	2
48	идеи и образа	1	2
49	с этой стороны	2	2
50	к тому что	2	2
51	и та же	1	2
52	то все же	1	1
53	а между тем	2	1
54	есть нечто совершенно	1	1
55	в чем не	1	1
56	имеет своим предметом	1	1
57	в чем же	1	1
58	то время как	1	1
59	и той же	2	1
60	это было бы	1	1
61	в самом деле	1	1
62	так или иначе	1	1
63	так что в	1	1
64	оно имеет значение	1	1
65	и как он	1	1
66	именно то что	2	1
67	а можно только	1	1
68	сами по себе	1	1
69	бы ни было	1	1
70	ни в их	1	1
71	есть то что	1	1
72	только в том	3	1
73	представить себе что	1	1
74	того и другого	1	1
75	из того что	1	1
76	вместе с ним	1	1
77	несмотря на свою	1	1
78	я и не	3	1
79	и не дает	1	1
80	в том чтобы	2	1
81	далеко не всегда	1	1
82	если бы мы	1	1
83	тоже не есть	1	1
84	в то время	4	1
85	не зависит от	1	1
86	только тогда и	1	1
87	того что она	1	1
88	как одно и	1	1
89	не в том	5	1
90	это и не	1	1
91	таким образом и	1	1
92	что это и	1	1
93	что оно имеет	1	1
94	образ в котором	1	1
95	а в том	5	1
96	самим по себе	1	1
97	нельзя сказать что	2	1
98	было бы совершенно	1	1
99	нечто отличное от	1	1
100	то к чему	1	1
101	между тем в	1	1
102	точек зрения и	1	1
103	в душе а	1	1
104	но никак не	2	1
105	не существует и	1	1
106	не было ни	1	1
107	это далеко не	1	1
108	друг от друга	1	1
109	заметить что в	1	1
110	то или другое	2	1
111	и может быть	2	1
112	одной и той	2	1
113	тем не менее	3	1
114	друг с другом	1	1
115	для того чтобы	3	1
116	на первый взгляд	1	1
117	к тому же	1	1
118	и о том	1	1
119	то же самое	1	1
120	не имеет смысла	1	1
