N	2gram	Nazirov_Tv_2	VeschiIm
1	не есть	1	49
2	не может	7	33
3	не только	13	31
4	может быть	8	29
5	и не	9	28
6	и в	20	26
7	то что	3	24
8	и есть	2	23
9	значит что	1	22
10	и т	13	21
11	т д	11	20
12	а не	6	20
13	не просто	1	18
14	что я	2	16
15	что она	4	14
16	только в	2	14
17	по себе	1	13
18	и что	2	13
19	все же	5	12
20	в себя	1	12
21	что это	1	12
22	было бы	1	12
23	и ее	2	12
24	но и	8	12
25	сказать что	1	12
26	таким образом	10	11
27	что же	1	11
28	то же	7	10
29	не значит	1	10
30	как бы	11	10
31	потому что	7	10
32	уже не	3	10
33	в самом	3	9
34	и с	8	9
35	в том	8	9
36	что не	3	9
37	прежде всего	8	9
38	в себе	3	8
39	на то	1	8
40	и это	3	8
41	ничего не	4	8
42	но это	5	8
43	говорить о	2	7
44	в этом	8	7
45	его в	3	7
46	с другими	2	7
47	том что	4	7
48	в то	10	7
49	со своим	1	7
50	ли это	1	7
51	что оно	1	7
52	указывает на	1	7
53	в свете	3	7
54	д и	2	7
55	себя в	2	7
56	и их	1	7
57	так как	3	7
58	как раз	1	7
59	совершенно не	1	7
60	со стороны	1	6
61	что они	4	6
62	и как	1	6
63	но в	4	6
64	бытие и	1	6
65	но если	2	6
66	по крайней	2	6
67	с ним	3	6
68	она не	1	6
69	отличается от	1	6
70	можно было	1	6
71	ясно что	1	6
72	должно быть	1	6
73	и нечто	1	6
74	и только	2	6
75	крайней мере	2	6
76	так что	2	6
77	для него	3	6
78	в результате	1	6
79	что в	7	6
80	это и	1	5
81	и до	1	5
82	и тут	1	5
83	на себя	1	5
84	в чем	4	5
85	но не	5	5
86	отнюдь не	4	5
87	чем же	1	5
88	же это	1	5
89	содержит в	1	5
90	это не	7	5
91	не в	4	5
92	не менее	2	5
93	одна из	3	5
94	у нас	2	5
95	для себя	1	5
96	свою очередь	1	5
97	в ее	2	5
98	если бы	4	5
99	еще не	5	5
100	что для	1	5
101	с этой	3	5
102	и для	1	5
103	а в	4	5
104	в свою	1	5
105	мы не	4	4
106	я не	2	4
107	как я	1	4
108	то это	1	4
109	в их	3	4
110	во всех	1	4
111	точка зрения	2	4
112	нет и	2	4
113	с этим	1	4
114	однако не	1	4
115	же не	2	4
116	и мы	3	4
117	как и	6	4
118	и более	1	4
119	на себе	1	4
120	же время	7	4
121	должен быть	1	4
122	и о	1	4
123	то или	1	4
124	только то	1	4
125	о том	5	4
126	с другой	2	4
127	что и	1	4
128	с а	1	4
129	этот вопрос	3	4
130	из них	2	4
131	бытия и	1	4
132	тем что	3	4
133	и даже	5	4
134	даже не	1	4
135	сам себя	1	4
136	и потому	4	4
137	мы говорим	1	4
138	как только	1	4
139	от ее	2	4
140	между ними	1	4
141	самом деле	2	3
