N	2gram	Tiupa_Anal_1	Komedia
1	и в	18	22
2	и не	21	21
3	молодого человека	1	14
4	том что	12	13
5	таким образом	3	12
6	в том	27	12
7	так как	2	11
8	со стороны	2	11
9	ни в	4	10
10	потому что	2	10
11	в самом	6	9
12	до сих	1	9
13	вместе с	4	9
14	сих пор	1	9
15	в этом	13	8
16	его в	1	8
17	о том	5	8
18	если бы	3	8
19	в его	13	8
20	что и	3	8
21	что он	3	8
22	едва ли	2	7
23	то же	9	7
24	при этом	12	7
25	о чем	1	7
26	а в	9	7
27	в свою	1	7
28	того же	4	6
29	самом деле	2	6
30	еще не	3	6
31	так что	1	6
32	тому же	4	6
33	в то	9	6
34	и его	5	6
35	к тому	7	6
36	того чтобы	3	6
37	свою очередь	1	6
38	и что	1	6
39	для того	4	6
40	может быть	29	6
41	как раз	1	6
42	во время	1	6
43	речь идет	1	5
44	отношение к	2	5
45	более чем	4	5
46	но в	8	5
47	не только	15	5
48	он не	3	5
49	в своей	6	5
50	в которых	1	5
51	не менее	1	5
52	же время	6	5
53	связи с	1	5
54	к себе	1	5
55	и сам	2	5
56	хотя и	1	5
57	с ним	4	5
58	к нему	3	5
59	что в	5	5
60	по отношению	6	5
61	из них	2	5
62	прежде всего	6	5
63	как это	1	5
64	и т	3	4
65	на себя	2	4
66	в ней	1	4
67	он был	1	4
68	с другой	4	4
69	тут же	1	4
70	нет и	2	4
71	отнюдь не	15	4
72	все же	4	4
73	то что	6	4
74	в себе	11	4
75	но все	1	4
76	и с	2	4
77	с тем	1	4
78	несмотря на	2	4
79	точки зрения	6	4
80	не в	14	4
81	однако в	3	4
82	в отношении	1	4
83	на него	1	4
84	у него	1	4
85	друг друга	1	4
86	так и	4	4
87	между собой	2	4
88	т п	3	4
89	вовсе не	2	4
90	само собой	1	4
91	но и	17	4
92	а не	17	4
93	в связи	1	4
94	не является	2	4
95	и для	1	4
96	тем более	2	4
97	хотя бы	3	4
98	который в	2	3
99	из того	4	3
100	столь же	4	3
101	с его	3	3
102	в ее	1	3
103	в т	2	3
104	и к	3	3
105	ситуации в	1	3
106	в которой	2	3
107	представляет собой	16	3
108	в этой	5	3
