N	3gram	Nazirov_Tv_2	Problema
1	той или иной	1	11
2	содержит в себе	1	8
3	в том что	2	8
4	по крайней мере	2	6
5	с другой стороны	2	6
6	можно было бы	1	4
7	во всяком случае	2	4
8	точно так же	1	3
9	в связи с	1	3
10	того или иного	1	3
11	о том что	2	3
12	и т д	11	3
13	хотя и не	1	2
14	сами по себе	1	2
15	как будто бы	1	2
16	в том смысле	1	2
17	это не просто	1	2
18	не только для	1	2
19	нам представляется что	1	2
20	в то время	1	2
21	ничего общего с	1	2
22	и прежде всего	1	2
23	в то же	7	2
24	к тому же	1	2
25	эпох человеческой истории	1	1
26	в прямом и	1	1
27	в чем не	1	1
28	о великом инквизиторе	3	1
29	только потому что	1	1
30	и всякого рода	1	1
31	дело в том	1	1
32	легенда о великом	3	1
33	в предисловии к	1	1
34	о том как	1	1
35	же как и	1	1
36	в нем и	1	1
37	униженных и оскорбленных	1	1
38	и не может	2	1
39	и в то	2	1
40	преступлении и наказании	10	1
41	в первую очередь	1	1
42	ни в чем	1	1
43	только то что	1	1
44	униженные и оскорбленные	1	1
45	том числе и	1	1
46	и без этого	1	1
47	русской классической литературы	1	1
48	в таком случае	2	1
49	до сих пор	3	1
50	не то что	1	1
51	после убийства старухи	1	1
52	войне и мире	1	1
53	не значит что	1	1
54	так же как	2	1
55	по самой своей	2	1
56	мы не замечаем	1	1
57	в чем же	1	1
58	и потому что	1	1
59	у достоевского не	1	1
60	это не значит	1	1
61	в том числе	1	1
62	в преступлении и	10	1
63	жизни то есть	1	1
64	в известном смысле	1	1
65	д и т	1	1
66	том смысле что	1	1
67	так и в	2	1
68	в свою очередь	1	1
69	это и есть	1	1
70	и т п	2	1
71	то что не	1	1
72	том что этот	1	1
73	другой стороны и	1	1
74	с самого начала	1	1
75	человеческой истории в	1	1
76	в романах достоевского	12	1
77	но отнюдь не	1	1
78	художественный образ и	1	1
79	ничего не говорит	1	1
80	а может быть	1	1
81	у достоевского нет	2	1
82	т д и	1	1
83	в братьях карамазовых	6	1
84	как и в	1	1
85	именно потому что	1	1
