N	2gram	Nazirov_Tv_1	Morfolog
1	может быть	5	52
2	и т	3	49
3	т д	1	47
4	таким образом	5	20
5	представляет собой	3	17
6	не может	4	17
7	в этих	2	16
8	т е	1	16
9	могут быть	2	15
10	с этим	1	14
11	и в	21	13
12	в этом	6	13
13	так как	3	12
14	перед нами	2	11
15	связи с	1	11
16	видим что	1	10
17	заметить что	1	10
18	представляют собой	1	10
19	то же	13	9
20	мы имеем	1	9
21	так и	2	9
22	прежде всего	4	9
23	а не	5	9
24	в связи	1	9
25	и не	7	9
26	из дома	1	9
27	а затем	2	8
28	при помощи	2	8
29	что и	2	8
30	с другой	3	8
31	имеем в	1	7
32	в качестве	2	7
33	представляет собою	1	7
34	все же	5	7
35	но если	3	7
36	но не	3	6
37	это не	4	6
38	во время	1	6
39	не могут	1	6
40	и здесь	1	6
41	в том	7	6
42	а в	6	6
43	во всех	1	5
44	не все	1	5
45	то что	8	5
46	в образе	1	5
47	далеко не	3	5
48	не менее	6	5
49	потому что	5	5
50	или в	2	5
51	иногда в	1	5
52	этот момент	1	5
53	вслед за	2	5
54	один из	4	5
55	если мы	1	5
56	наряду с	1	5
57	как бы	17	5
58	и другие	3	5
59	также и	1	4
60	то это	1	4
61	что его	2	4
62	если в	2	4
63	как в	8	4
64	хотя и	3	4
65	и как	4	4
66	не только	7	4
67	на его	3	4
68	три года	1	4
69	на этом	1	4
70	об этом	2	4
71	его в	1	4
72	было бы	1	4
73	вовсе не	5	4
74	как и	12	4
75	тем не	2	4
76	тем что	1	4
77	в других	1	4
78	по отношению	1	4
79	другой стороны	1	4
80	так же	3	4
81	а если	1	4
82	отношению к	1	4
83	героя в	1	4
84	что в	12	4
85	связана с	1	3
86	самом деле	2	3
87	на самом	3	3
88	в первом	2	3
89	между собой	1	3
90	целый ряд	1	3
91	но в	7	3
92	с просьбой	1	3
93	к чему	1	3
94	в целом	4	3
95	к герою	1	3
96	и по	3	3
97	но все	1	3
98	а по	2	3
99	из них	2	3
100	ни в	1	3
101	в один	2	3
102	том что	11	3
103	в то	15	3
104	в сущности	1	3
105	на него	1	3
106	в бою	1	3
107	большей частью	1	3
108	с того	1	3
