N	3gram	Medvedev_U_1	EvropaiC
1	в том что	2	16
2	до сих пор	2	12
3	друг с другом	1	9
4	а между тем	2	7
5	более или менее	1	7
6	на то что	1	7
7	в самом деле	2	5
8	в этом случае	1	4
9	в этой области	3	4
10	с другой стороны	3	4
11	не может быть	4	4
12	в конце концов	2	4
13	и то что	2	3
14	в данном случае	1	3
15	так или иначе	1	3
16	все же не	1	3
17	бы то ни	3	2
18	то же время	3	2
19	то ни было	3	2
20	с одной стороны	1	2
21	в то же	3	2
22	и в конце	1	1
23	это было бы	1	1
24	то же самое	2	1
25	между тем в	1	1
26	необходимое но в	1	1
27	является одним из	1	1
28	на каждом шагу	2	1
29	элементы из которых	1	1
30	по крайней мере	2	1
31	только в этом	1	1
32	что все они	1	1
33	на первый взгляд	1	1
34	именно такой характер	1	1
35	все же остается	1	1
36	но по существу	1	1
37	при более внимательном	1	1
38	не в том	1	1
39	одним из самых	1	1
40	в широком смысле	1	1
41	то что материал	1	1
42	данного произведения в	1	1
43	самом деле есть	1	1
44	же самое что	1	1
45	ни было когда	1	1
46	и что все	1	1
47	и все они	1	1
48	и т.д в	1	1
49	что мы можем	1	1
