N	2gram	Ircho_Kome_2	Retstnzi
1	не может	3	4
2	и в	26	3
3	один из	5	2
4	если в	2	2
5	общения и	1	2
6	нет и	2	1
7	и не	14	1
8	тому что	4	1
9	вещей и	1	1
10	не только	7	1
11	связи с	3	1
12	точки зрения	4	1
13	на примере	1	1
14	во второй	1	1
15	но и	10	1
16	не менее	4	1
17	в системе	1	1
18	тех же	3	1
19	в ней	3	1
20	в то	6	1
21	с точки	1	1
22	и на	7	1
23	который условно	1	1
24	для него	1	1
25	мы видим	1	1
26	к тому	12	1
27	речь и	1	1
28	а не	1	1
29	его от	1	1
30	может быть	11	1
31	несмотря на	1	1
32	в его	4	1
33	же время	3	1
34	то же	3	1
35	и все	2	1
36	из этих	4	1
37	если бы	9	1
38	в каждом	3	1
39	исходя из	1	1
40	бы в	2	1
