N	3gram	Tiupa_Vved_1	KulturaY
1	в том что	3	15
2	в том чтобы	2	8
3	по отношению к	7	8
4	с другой стороны	1	6
5	о том что	4	5
6	в зависимости от	1	5
7	в этом отношении	4	5
8	по крайней мере	1	5
9	во всяком случае	1	5
10	мере в какой	2	5
11	той мере в	2	5
12	в той мере	2	5
13	не в том	1	4
14	тем не менее	3	4
15	состоит в том	2	3
16	более или менее	2	3
17	в этом смысле	1	3
18	в соответствии с	6	3
19	о том как	1	3
20	можно было бы	2	3
21	в связи с	1	3
22	а с другой	2	3
23	в свою очередь	4	3
24	не может быть	3	3
25	и того же	1	2
26	на самом деле	3	2
27	на то что	1	2
28	в этом случае	1	2
29	по большей части	3	2
30	а в том	1	2
31	то же время	3	2
32	и в самом	1	2
33	речь идет о	1	2
34	одного и того	1	2
35	в то же	4	2
36	если бы он	1	1
37	что иное как	1	1
38	прежде всего на	1	1
39	культуры что же	1	1
40	в настоящее время	1	1
41	свидетельствует о том	1	1
42	так и не	1	1
43	в живой речи	1	1
44	и если мы	1	1
45	с одной стороны	5	1
46	и в то	1	1
47	сами по себе	1	1
48	в отличие от	2	1
49	вследствие того что	1	1
50	к тому чтобы	1	1
51	в сущности говоря	1	1
52	в противном случае	1	1
53	отнюдь не является	1	1
54	о событии а	1	1
55	тогда как в	1	1
56	едва ли не	2	1
57	бы и не	2	1
58	в первом случае	1	1
59	не только в	2	1
60	несет на себе	1	1
61	но и с	1	1
62	само по себе	1	1
63	вместо того чтобы	1	1
64	вовсе еще не	1	1
65	об этом и	1	1
66	том что на	1	1
67	с легкой руки	2	1
68	и все же	4	1
69	что касается в	1	1
70	на наших глазах	1	1
71	по аналогии с	1	1
72	дело не с	1	1
73	и тем самым	2	1
74	в каждой из	1	1
75	той или иной	2	1
76	друг от друга	1	1
77	в этих случаях	2	1
78	во втором случае	1	1
79	не что иное	1	1
80	потому что она	1	1
81	все то что	1	1
82	на этот раз	1	1
83	а то и	2	1
