N	2gram	Tiupa_Narr_2	StatiiOP
1	и в	13	25
2	в этом	13	24
3	в том	14	20
4	что в	4	19
5	тем что	1	19
6	может быть	10	19
7	что он	5	19
8	что это	4	16
9	том что	13	15
10	в этой	4	14
11	пушкина как	1	13
12	в его	6	12
13	то что	8	12
14	не только	26	12
15	так что	1	11
16	в этих	1	11
17	прежде всего	6	10
18	таким образом	5	10
19	и не	14	10
20	но и	15	9
21	у него	6	9
22	и т	2	8
23	это было	1	8
24	все это	1	8
25	в своих	2	8
26	о том	5	8
27	не может	8	7
28	точки зрения	5	7
29	в то	5	7
30	что касается	1	7
31	из его	1	7
32	это не	3	7
33	было бы	2	7
34	место в	5	6
35	как на	2	6
36	т п	2	6
37	как бы	6	6
38	не в	8	6
39	а в	9	6
40	между тем	3	6
41	в конце	4	6
42	как в	5	6
43	из этих	2	6
44	только в	11	6
45	в области	2	6
46	так и	9	5
47	на то	2	5
48	об этом	4	5
49	ответ на	5	5
50	отношения между	2	5
51	того что	6	5
52	потому что	2	5
53	то же	4	5
54	связано с	1	5
55	ни в	1	5
56	такого рода	12	5
57	мы имеем	3	5
58	в котором	5	5
59	он не	5	5
60	у шекспира	1	5
61	с другой	5	5
62	но в	6	5
63	а не	17	5
64	по форме	1	5
65	в которой	1	4
66	можно назвать	2	4
67	все же	6	4
68	во всяком	1	4
69	как и	4	4
70	можно сказать	6	4
71	и для	3	4
72	время как	1	4
73	в жизни	6	4
74	в каком	1	4
75	к нему	1	4
76	действующих лиц	3	4
77	в центре	2	4
78	и с	1	4
79	в ней	2	4
80	то в	1	4
81	у нас	2	4
82	этом смысле	1	4
83	в течение	2	4
84	отношение к	1	4
85	например в	1	4
86	в начале	2	4
87	к ней	3	4
88	и к	6	4
89	а как	3	4
90	из этого	1	4
91	в целом	3	4
92	в своей	4	4
93	в чем	2	4
94	сказать что	3	4
95	относится к	1	4
96	ничего не	6	4
97	всяком случае	1	4
98	если бы	4	4
99	xix века	1	4
100	и тем	5	4
101	а также	6	4
102	этом отношении	3	4
103	он говорит	1	4
