N	2gram	Vygotskiy__5	Tragedij
1	и в	16	18
2	в этом	25	9
3	не только	16	8
4	он сам	1	7
5	и с	3	7
6	и на	6	7
7	может быть	9	7
8	как бы	5	7
9	и не	12	7
10	но в	6	6
11	и его	3	6
12	что он	25	6
13	у него	6	6
14	то же	8	5
15	все же	3	5
16	что это	1	5
17	это не	4	5
18	как и	8	5
19	несмотря на	1	5
20	в то	5	5
21	так и	7	5
22	не может	18	5
23	к жизни	3	5
24	я не	2	4
25	еще не	4	4
26	в себе	1	4
27	в целом	4	4
28	в этой	6	4
29	в нем	7	4
30	об этом	1	4
31	том что	15	4
32	что я	2	4
33	и что	12	4
34	но и	6	4
35	и даже	2	4
36	прежде всего	3	4
37	так же	15	4
38	но это	3	4
39	все это	2	4
40	что в	16	4
41	и все	1	4
42	то что	26	4
43	и он	1	3
44	как в	5	3
45	в своем	5	3
46	и как	3	3
47	все эти	4	3
48	при этом	4	3
49	должно быть	8	3
50	тем самым	8	3
51	что с	5	3
52	о чем	2	3
53	с ее	1	3
54	мог бы	1	3
55	с ним	5	3
56	к нему	3	3
57	в его	11	3
58	один из	1	3
59	уже в	1	3
60	для него	5	3
61	никто не	2	3
62	в конце	1	3
63	как будто	2	3
64	как это	8	3
65	что за	1	3
66	в основном	1	3
67	в первом	3	2
68	из самых	1	2
69	что эти	2	2
70	никогда не	5	2
71	и то	4	2
72	он был	1	2
73	столь же	2	2
74	с его	1	2
75	отношение к	11	2
76	отличие от	2	2
77	так что	4	2
78	перед нами	1	2
79	говорит что	5	2
80	в самом	4	2
81	то и	2	2
82	он не	8	2
83	что она	2	2
84	но все	2	2
85	что все	6	2
86	его в	2	2
87	знает что	2	2
88	ни в	1	2
89	с тем	3	2
90	в ходе	12	2
91	в отличие	2	2
92	что говорит	1	2
93	вопрос о	12	2
94	не в	6	2
95	что этот	1	2
96	но они	2	2
97	этими двумя	2	2
98	не имеет	4	2
99	не могут	4	2
100	к тому	6	2
101	и это	1	2
102	но при	2	2
103	в ее	1	2
104	еще в	3	2
105	ничего не	5	2
106	и здесь	2	2
107	о том	8	2
108	что и	3	2
109	ее за	1	2
110	в том	18	2
111	собой но	1	2
112	который в	1	2
113	между этими	1	2
114	и ее	1	2
115	на всем	2	2
116	в виде	1	2
117	не так	1	2
118	в известной	3	2
119	в одном	3	2
120	тем что	5	2
121	чем он	2	2
122	как же	1	2
123	только к	2	2
124	говорит о	3	2
125	ребенка в	5	2
126	до конца	3	2
127	ребенка и	4	2
128	под влиянием	1	2
129	с первого	1	2
130	в данном	1	2
131	и дети	1	2
132	потому что	21	2
133	в частности	3	2
134	по поводу	2	2
135	по сей	1	2
136	эта новая	1	1
137	а между	1	1
138	сказывается на	1	1
139	ту же	2	1
140	одним из	2	1
141	например в	1	1
142	в сфере	5	1
143	что наконец	1	1
144	сам по	1	1
145	самом деле	3	1
146	эта речь	1	1
147	это и	3	1
148	на деле	1	1
149	же по	2	1
150	и есть	7	1
151	что когда	1	1
152	поэтому он	2	1
153	исходит из	2	1
154	в какой-то	1	1
155	должна быть	5	1
156	высшей степени	2	1
157	той же	4	1
158	и психологической	1	1
159	на пороге	4	1
160	собой как	3	1
161	связаны между	3	1
162	что уже	1	1
163	и новые	1	1
164	слов как	1	1
165	вместо того	3	1
166	событий и	1	1
167	самой природе	2	1
168	в виду	2	1
169	не способен	2	1
170	в ней	2	1
171	представляет собой	7	1
172	между собой	13	1
173	содержатся в	1	1
174	быть в	2	1
175	это же	1	1
176	в чем	3	1
177	во всех	2	1
178	мысль что	4	1
179	на другой	1	1
180	но не	10	1
181	могло быть	1	1
182	но как	3	1
183	в голове	1	1
184	значение и	1	1
185	а он	1	1
186	с совершенно	1	1
187	тогда как	1	1
188	за пределы	4	1
189	в истории	2	1
190	в центре	2	1
191	опирается на	4	1
192	что именно	1	1
193	мысль о	1	1
194	и наконец	1	1
195	неизмеримо более	1	1
196	для ее	1	1
197	именно эта	1	1
198	то в	3	1
199	понятие в	2	1
200	в которой	5	1
201	он в	3	1
202	и отношения	3	1
203	только один	2	1
204	как он	6	1
205	если он	2	1
206	вообще не	4	1
207	что без	1	1
208	что идет	2	1
209	так сказать	1	1
210	чем для	1	1
211	которой не	1	1
212	роли в	1	1
213	и использует	1	1
214	к одному	2	1
215	не как	1	1
216	по всем	1	1
217	в скрытом	1	1
218	скрытом виде	1	1
219	и по	4	1
220	на этом	3	1
221	таким образом	19	1
222	этом варианте	1	1
223	от нее	1	1
224	повторяет в	1	1
225	здесь мы	1	1
226	в другом	6	1
227	конечно в	1	1
228	на ту	1	1
229	на все	5	1
230	лишь в	1	1
231	это было	1	1
232	заключается в	5	1
233	обоих случаях	1	1
234	этом прямо	1	1
235	тому типу	1	1
236	известно что	1	1
237	а это	1	1
238	но уже	1	1
239	в них	2	1
240	в высшей	2	1
241	что ему	1	1
242	этого не	1	1
243	эту тему	1	1
244	которой он	1	1
245	для чего	1	1
246	в развитии	28	1
247	и ко	1	1
248	можно так	1	1
249	но если	6	1
250	в своей	2	1
251	этой связи	1	1
252	взгляд на	1	1
253	в такой	5	1
254	поэтому за	1	1
255	в котором	2	1
256	если можно	1	1
257	знает и	1	1
258	не столько	1	1
259	представление о	1	1
260	понимал что	1	1
261	по самой	4	1
262	должны были	2	1
263	значение для	2	1
264	но он	7	1
265	тем не	1	1
266	речи в	6	1
267	на всю	2	1
268	по себе	7	1
269	тому что	5	1
270	ребенок не	6	1
271	не менее	3	1
272	что эта	3	1
273	она не	1	1
274	в обоих	1	1
275	самого начала	5	1
276	на котором	1	1
277	того как	5	1
278	как его	1	1
279	он еще	2	1
280	ранней стадии	1	1
281	но только	2	1
282	только не	3	1
283	это мы	2	1
284	как во	1	1
285	в отношениях	1	1
286	развитии этих	1	1
287	в самой	1	1
288	и притом	1	1
289	к ней	1	1
290	показал что	3	1
291	он пытался	1	1
292	по своей	3	1
293	это сказывается	1	1
294	для нас	1	1
295	связи с	3	1
296	входят в	1	1
297	что на	1	1
298	в области	12	1
299	перед ним	1	1
300	по нашему	1	1
301	в момент	2	1
302	значение только	1	1
303	мы узнаем	1	1
304	могут быть	4	1
305	внимания но	1	1
306	относится то	1	1
307	сознательно и	3	1
308	что вместе	1	1
309	что оно	6	1
310	и т.д	4	1
311	к речи	1	1
312	указывает на	2	1
313	не есть	4	1
314	что при	1	1
315	где он	1	1
316	в применении	1	1
317	как мы	10	1
318	и о	1	1
319	за самим	1	1
320	того чтобы	17	1
321	всего этого	1	1
322	с каким	2	1
323	с самого	5	1
324	он понял	1	1
325	природе своей	1	1
326	можно было	5	1
327	на нее	2	1
328	известной мере	1	1
329	по сравнению	5	1
330	говорил что	1	1
331	но может	1	1
332	тем чем	1	1
333	вот почему	3	1
334	это происходит	2	1
335	всем протяжении	2	1
336	на вопрос	5	1
337	но мы	5	1
338	после того	1	1
339	от него	1	1
340	между тем	3	1
341	им всем	1	1
342	нуждается в	1	1
343	говорит он	2	1
344	в форме	1	1
345	если за	1	1
346	в настоящей	1	1
347	все время	1	1
348	того что	16	1
349	для ребенка	3	1
350	в новой	4	1
351	мы видим	4	1
352	с ними	1	1
353	что даже	1	1
354	только в	10	1
355	во всем	2	1
356	приходит в	1	1
357	с одной	3	1
358	устной речи	24	1
359	первостепенное значение	1	1
360	есть в	1	1
361	он очень	1	1
362	только на	2	1
363	дело с	1	1
364	чтобы он	1	1
365	в понятие	1	1
366	в общем	1	1
367	является ее	1	1
368	и их	4	1
369	всяком случае	1	1
370	они сами	1	1
371	с этими	1	1
372	к ним	2	1
373	идет в	3	1
374	т.д не	1	1
375	более высокие	1	1
376	и вместе	1	1
377	рядом с	1	1
378	даже не	1	1
379	развития в	6	1
380	с другим	1	1
381	и эту	1	1
382	вопрос об	3	1
383	именно в	4	1
384	психологического исследования	1	1
385	и знает	1	1
386	что не	1	1
387	обратиться к	2	1
388	прошел по	1	1
389	естественно что	2	1
390	только по	1	1
391	не было	1	1
392	попал в	1	1
393	на этот	4	1
394	нашему мнению	1	1
395	думается нам	1	1
396	а не	10	1
397	с которым	1	1
398	одну из	1	1
399	этом случае	3	1
400	в связи	1	1
401	виде в	1	1
402	с помощью	10	1
403	более чем	1	1
404	вместе с	4	1
405	до этого	1	1
406	ко всем	1	1
407	и потому	2	1
408	в духе	1	1
409	совершенно в	2	1
410	она даже	1	1
411	над ним	1	1
412	если так	1	1
413	сравнению с	5	1
414	в той	6	1
415	смысле этого	1	1
416	применении к	1	1
417	не удалось	1	1
418	при которой	2	1
419	распадается на	1	1
420	этого слова	1	1
421	с этой	4	1
422	и от	2	1
423	не является	5	1
424	известной степени	1	1
425	на улице	1	1
426	тем и	1	1
427	при таком	1	1
428	об отношении	2	1
429	в результате	4	1
430	это как	1	1
431	это часто	1	1
432	из себя	1	1
433	бы в	4	1
434	и которое	1	1
435	и совершенно	1	1
436	случае и	1	1
437	хотя бы	5	1
438	только что	5	1
439	так выразиться	1	1
440	к числу	1	1
441	совершенно не	2	1
442	самой своей	2	1
443	но этот	2	1
444	эти же	2	1
445	может ли	2	1
446	но еще	1	1
447	к этой	3	1
448	это в	1	1
449	это понятие	2	1
450	во всяком	2	1
