N	2gram	Losev_Dial_1	Retstnzi
1	не может	12	4
2	и в	18	3
3	один из	3	2
4	если в	3	2
5	нет и	1	1
6	механистического мировоззрения	1	1
7	и можно	1	1
8	о формах	1	1
9	понимания этого	1	1
10	больше ничего	3	1
11	в особенности	5	1
12	себе все	1	1
13	смысл и	4	1
14	и не	30	1
15	тому что	3	1
16	вещей и	2	1
17	категорий и	1	1
18	не только	13	1
19	и тому	1	1
20	связи с	1	1
21	точки зрения	17	1
22	на примере	1	1
23	но и	7	1
24	и должно	1	1
25	не менее	2	1
26	с другими	2	1
27	именно с	1	1
28	в ней	3	1
29	может и	4	1
30	с теми	1	1
31	в то	6	1
32	с точки	12	1
33	для него	2	1
34	мы видим	4	1
35	и больше	2	1
36	сравнении с	1	1
37	на нее	1	1
38	ней ничего	1	1
39	к тому	4	1
40	а не	14	1
41	может быть	17	1
42	несмотря на	10	1
43	в его	3	1
44	с самых	1	1
45	же время	4	1
46	то же	10	1
47	и все	3	1
48	из этих	2	1
49	если бы	12	1
50	в каждом	2	1
51	бы в	3	1
