N	2gram	Medvedev_V_1	Myslijsy
1	потому что	1	33
2	в этом	1	23
3	и в	2	23
4	в том	2	23
5	и не	1	18
6	только в	1	15
7	то же	1	14
8	так как	1	14
9	том что	2	12
10	что слово	1	10
11	что язык	1	7
12	крайней мере	1	5
13	по крайней	1	5
14	тем более	1	5
15	все это	1	5
16	и то	1	5
17	хотя бы	1	4
18	по поводу	1	4
19	да и	1	4
20	как же	1	4
21	самом деле	1	3
22	так в	1	3
23	именно в	1	3
24	и только	1	3
25	более чем	1	3
26	в самом	1	3
27	в которых	1	3
28	но это	1	3
29	сказать чтобы	1	2
30	даже не	1	2
31	значительной степени	1	2
32	зависят от	1	2
33	и его	1	2
34	же с	1	2
35	том же	1	2
36	я не	1	2
37	столь же	1	2
38	чем больше	1	2
39	ни к	1	2
40	главным образом	1	1
41	отношений но	1	1
42	то я	1	1
43	и самым	1	1
44	в другом	1	1
45	стоит на	1	1
46	в их	1	1
47	в теории	1	1
48	все то	1	1
49	история языка	1	1
50	прозы в	1	1
51	на одном	1	1
52	дело в	1	1
53	вещь и	1	1
54	ясно что	1	1
55	под влиянием	1	1
56	слово по	1	1
57	далеко не	1	1
58	в частности	1	1
59	бы уже	1	1
60	себе лишь	1	1
61	что сами	1	1
