N	2gram	Potebnia_M_1	PoTuStor
1	может быть	27	17
2	и в	39	16
3	в этом	15	9
4	и проч	1	9
5	таким образом	13	9
6	и только	2	9
7	мы можем	2	9
8	прежде всего	4	9
9	и с	3	8
10	точки зрения	8	8
11	и его	5	8
12	не может	22	8
13	совершенно не	1	8
14	с его	1	7
15	не только	21	7
16	сказать что	3	7
17	самом деле	1	6
18	при этом	6	6
19	с точки	3	6
20	и это	3	6
21	для него	4	6
22	еще не	6	5
23	в чем	1	5
24	все эти	1	5
25	сознание и	1	5
26	до сознания	3	5
27	что такое	1	5
28	только для	3	5
29	ни в	1	5
30	нуждается в	2	5
31	как бы	6	5
32	на самом	1	4
33	и ее	1	4
34	и на	1	4
35	но в	9	4
36	в этой	3	4
37	в нем	20	4
38	и может	2	4
39	его в	1	4
40	жизни человека	2	4
41	в один	2	4
42	мысли и	9	4
43	все это	1	4
44	самого начала	3	4
45	как мы	2	4
46	с ее	2	4
47	с самого	3	4
48	так и	13	4
49	в его	5	4
50	а потому	10	4
51	с ними	1	4
52	только в	25	4
53	для всех	5	4
54	и их	3	4
55	так как	21	4
56	и даже	4	4
57	но и	20	4
58	и не	18	4
59	и все	3	4
60	хотя бы	2	4
61	все что	2	4
62	если б	2	3
63	отношения к	1	3
64	едва ли	1	3
65	во всех	5	3
66	и есть	2	3
67	и как	6	3
68	с их	1	3
69	и теперь	1	3
70	их в	1	3
71	на этом	1	3
72	этом смысле	4	3
73	том что	16	3
74	во время	1	3
75	сих пор	1	3
76	в одном	8	3
77	по крайней	2	3
78	и притом	4	3
79	до сих	1	3
80	и оно	1	3
81	те же	1	3
82	на язык	7	3
83	с другими	1	3
84	крайней мере	2	3
85	в том	26	3
86	только на	3	3
87	всяком случае	1	3
88	в области	1	3
89	но оно	3	3
90	вместе с	8	3
91	и потому	5	3
92	могут быть	9	3
93	что в	22	3
94	в этих	7	3
95	а в	5	3
96	то что	10	3
97	между ними	1	3
98	жизни и	2	3
99	во всяком	3	3
100	же как	1	2
101	нам кажется	1	2
102	этой теории	4	2
103	в самом	3	2
104	и этот	1	2
105	мы не	10	2
106	и о	2	2
107	из сказанного	1	2
108	что можно	3	2
109	того же	3	2
110	на них	1	2
111	из этих	4	2
112	но как	3	2
