N	3gram	Voloshinov_1	Otkroven
1	для того чтобы	7	3
2	и в этом	1	2
3	не может быть	2	2
4	но и в	3	2
5	и никогда не	1	2
6	смысле этого слова	2	1
7	в другом месте	1	1
8	по сравнению с	1	1
9	все еще не	1	1
10	прежде всего в	3	1
11	ведь может быть	1	1
12	но в этой	1	1
13	в самом деле	1	1
14	как бы в	3	1
15	должен был бы	1	1
16	бросается в глаза	1	1
17	но почему же	1	1
18	человека не только	1	1
19	и все же	1	1
20	между этими двумя	1	1
21	и не может	1	1
22	с кем и	1	1
23	даже и в	1	1
24	само по себе	1	1
25	о том что	2	1
26	в этом отношении	2	1
27	заключает в себе	4	1
28	мужчины и женщины	1	1
29	и характер его	1	1
30	в том что	1	1
31	нужно отметить что	1	1
32	не так как	2	1
33	все что было	1	1
34	как и в	1	1
