N	2gram	Tiupa_Lite_3	VrazhdaK
1	в году	5	18
2	не только	14	9
3	в этом	14	8
4	и в	16	8
5	но и	14	7
6	и все	1	7
7	то что	12	7
8	что в	2	7
9	все же	2	6
10	но в	3	6
11	в нем	2	6
12	как и	5	6
13	в котором	1	6
14	и с	2	6
15	о нем	2	6
16	в начале	4	6
17	и даже	2	6
18	в романе	3	6
19	то же	9	5
20	в то	9	5
21	же время	7	5
22	между тем	3	5
23	у него	1	5
24	не было	1	5
25	в россии	1	5
26	и не	22	5
27	х годов	15	4
28	в ней	1	4
29	что он	5	4
30	в истории	1	4
31	при этом	15	4
32	это не	5	4
33	несмотря на	2	4
34	все это	1	4
35	в виду	1	4
36	о том	6	4
37	для нас	1	4
38	уже в	1	4
39	может быть	12	4
40	как бы	8	4
41	в своих	2	4
42	так же	2	4
43	одним из	4	3
44	я не	2	3
45	он был	1	3
46	в чем	1	3
47	с его	6	3
48	в своем	1	3
49	и как	3	3
50	в этот	1	3
51	раз в	2	3
52	на то	2	3
53	его в	2	3
54	он не	1	3
55	далеко не	2	3
56	и уже	1	3
57	том что	8	3
58	но он	1	3
59	в русской	1	3
60	и его	6	3
61	связи с	2	3
62	человека в	2	3
63	и о	1	3
64	что у	2	3
65	в его	6	3
66	в том	12	3
67	и у	1	3
68	чтобы он	2	3
69	в конце	2	3
70	тем что	2	3
71	в связи	1	3
72	в те	1	3
73	эти слова	2	3
74	матери и	1	3
75	я хотел	1	3
76	к этому	2	3
77	отношения к	3	2
78	и то	1	2
79	и он	1	2
80	он сам	1	2
81	столь же	1	2
82	в эти	1	2
83	тогда как	17	2
84	он пишет	1	2
85	отнюдь не	3	2
86	в той	1	2
87	и дети	1	2
88	в этой	8	2
89	что к	1	2
90	в себе	6	2
91	о которой	2	2
92	в мире	16	2
93	те годы	1	2
94	в глазах	3	2
95	в них	1	2
96	а с	1	2
97	на первый	1	2
98	во время	1	2
99	точки зрения	7	2
100	в своей	7	2
101	и ее	2	2
102	с точки	3	2
103	место в	4	2
104	не менее	2	2
105	права на	1	2
106	никогда не	4	2
107	и далее	1	2
108	к себе	8	2
109	его с	1	2
110	так в	1	2
111	еще не	6	2
112	он писал	1	2
113	а также	4	2
114	по мнению	1	2
115	об их	1	2
116	уже не	3	2
117	из них	4	2
118	для него	2	2
119	отношение к	2	2
120	как раз	2	2
121	и т.п	6	2
122	о чем	3	2
123	начиная с	1	2
124	не может	8	2
125	вместе с	5	2
126	и а	3	2
127	но это	1	2
128	что я	5	2
129	же в	2	2
130	а в	5	2
131	в период	1	2
