N	2gram	Propp_Russ_1	slovoVRo
1	и в	36	41
2	в нем	2	30
3	и т	10	28
4	то есть	3	26
5	т п	1	23
6	могут быть	2	19
7	во всех	4	17
8	не только	22	16
9	и не	6	16
10	точки зрения	3	16
11	но и	16	16
12	а не	2	15
13	то же	3	14
14	и на	10	14
15	в то	1	14
16	и его	1	14
17	в пределах	1	14
18	может быть	8	14
19	и др	4	14
20	не может	4	14
21	в его	2	13
22	в этом	12	12
23	до конца	2	12
24	как бы	5	12
25	так и	7	11
26	в большинстве	2	10
27	в той	1	10
28	слово в	1	10
29	все эти	2	9
30	таким образом	6	9
31	точка зрения	1	8
32	как в	5	8
33	но в	2	8
34	с точки	3	8
35	как мы	10	8
36	в особенности	2	8
37	или в	2	8
38	слова в	3	8
39	все же	5	7
40	с ним	2	7
41	и следовательно	1	7
42	во всяком	1	7
43	того же	1	6
44	при этом	6	6
45	это не	10	6
46	в них	6	6
47	слова как	1	6
48	оно не	1	6
49	только в	4	6
50	большинстве случаев	2	6
51	а в	9	6
52	и к	3	5
53	т д	9	5
54	далеко не	3	5
55	всяком случае	1	5
56	все это	6	5
57	в основе	1	5
58	не на	2	5
59	к нему	1	5
60	точек зрения	1	5
61	и непосредственно	2	5
62	ту же	1	4
63	по преимуществу	1	4
64	поэзии и	1	4
65	в ней	2	4
66	еще не	4	4
67	с его	1	4
68	перед нами	1	4
69	и наконец	1	4
70	в которой	1	4
71	всех этих	2	4
72	не как	1	4
73	в каждом	2	4
74	связанных с	1	4
75	и с	2	4
76	входит в	4	4
77	на почве	1	4
78	как и	10	4
79	в их	4	4
80	том же	2	4
81	и для	2	4
82	ничего не	3	4
83	прямо и	1	4
84	один из	8	4
85	и все	1	4
86	там где	2	4
87	и потому	2	4
88	кроме того	1	4
89	быть и	2	4
90	также и	1	3
91	в первом	1	3
92	зависимости от	1	3
93	данном случае	1	3
94	в своем	3	3
95	из этих	4	3
96	в себе	1	3
97	связанные с	3	3
98	и сам	1	3
99	его в	1	3
100	было бы	1	3
101	он не	1	3
102	и ее	1	3
103	точку зрения	1	3
104	которые в	1	3
105	а иногда	4	3
106	она не	2	3
107	не могло	1	3
108	следовательно и	1	3
109	в разных	3	3
110	и здесь	2	3
111	не могут	1	3
112	в других	11	3
113	к тому	4	3
114	смысле в	1	3
115	но здесь	1	3
116	о том	8	3
117	и во	1	3
118	того что	4	3
119	в том	17	3
120	поэтому и	1	3
121	бы ни	1	3
122	в качестве	3	3
123	и других	7	3
124	из них	8	3
125	его и	2	3
126	так как	15	3
127	у него	2	3
128	в свою	3	3
129	по всей	1	3
130	не было	2	3
131	в истории	1	3
132	но оно	1	3
133	не были	2	3
134	с этим	2	3
135	в данном	1	3
136	по существу	4	3
137	как только	1	3
138	в основном	3	3
139	форм и	1	3
140	с ними	5	3
141	но эти	3	3
142	например в	2	2
143	на самом	2	2
144	оно было	1	2
145	мы уже	1	2
146	мы не	6	2
147	же как	1	2
148	из своих	1	2
149	они были	2	2
150	свою очередь	2	2
151	между собой	2	2
152	по своему	1	2
153	но не	2	2
154	что они	7	2
155	хотя и	2	2
156	от этого	1	2
157	в целом	2	2
158	и те	3	2
159	и по	8	2
160	на этом	3	2
161	те же	1	2
162	на все	2	2
163	для них	3	2
164	том что	19	2
165	в этих	3	2
166	и эти	1	2
167	тому что	4	2
168	в самых	1	2
169	дело не	1	2
170	все свои	1	2
171	явление в	1	2
172	для нас	6	2
173	ему не	1	2
174	у нас	8	2
175	ни о	1	2
176	в духе	1	2
177	и о	1	2
178	то время	1	2
179	при всех	1	2
180	так в	4	2
181	на том	1	2
182	можно было	1	2
183	не с	3	2
184	иногда в	2	2
185	и вообще	1	2
186	можно сказать	1	2
187	а также	3	2
188	нас в	1	2
189	наконец в	1	2
190	исторического развития	1	2
191	мы видим	2	2
192	между тем	7	2
193	и тем	1	2
194	с которыми	1	2
195	так что	2	2
196	связи с	4	2
197	уже не	6	2
198	и у	5	2
199	только на	3	2
200	в виде	6	2
201	в одном	3	2
202	с этими	1	2
203	с другом	1	2
204	а с	4	2
205	с которым	1	2
206	жизнь в	1	2
207	что все	1	2
208	в частности	2	2
209	так же	3	2
210	его как	2	2
211	других случаях	3	2
212	друг с	1	2
213	в различные	1	2
214	этом случае	5	2
215	не является	1	2
216	одна из	4	2
217	тем и	2	2
218	и другим	2	2
219	интерес к	2	2
220	потому что	10	2
221	между ними	1	2
222	с ней	2	2
223	сказать что	1	2
224	к этому	4	2
225	как известно	2	1
226	рассматривается как	1	1
227	которого в	2	1
228	и методы	1	1
229	тех же	1	1
230	из самых	1	1
231	и до	2	1
232	не имеют	1	1
233	с таким	1	1
234	в меру	1	1
235	чем именно	1	1
236	из всех	1	1
237	в несколько	1	1
238	мы имеем	4	1
239	или наоборот	1	1
240	что между	1	1
241	как из	1	1
242	место в	1	1
243	творчества а	1	1
244	приводят к	1	1
245	но она	2	1
246	дается описание	1	1
247	но даже	2	1
248	и он	1	1
249	он был	2	1
250	именно эти	1	1
251	непосредственно после	1	1
252	а следовательно	1	1
253	в в	2	1
254	а только	1	1
255	не все	1	1
256	к слову	2	1
257	в общем	1	1
258	иногда и	5	1
259	отличие от	1	1
260	которые не	3	1
261	его на	1	1
262	и дети	1	1
263	в течение	5	1
264	в противном	1	1
265	в очень	1	1
266	целый ряд	1	1
267	что по	4	1
268	его к	2	1
269	в этот	10	1
270	за все	2	1
271	к другому	2	1
272	еще далеко	1	1
273	в этой	1	1
274	свет на	1	1
275	силам и	2	1
276	формами мышления	1	1
277	на то	1	1
278	очень велико	1	1
279	иногда же	1	1
280	что она	2	1
281	и частично	1	1
282	только себя	1	1
283	не значит	2	1
284	он должен	1	1
285	чем у	2	1
286	до xx	1	1
287	не к	1	1
288	что вызывало	1	1
289	песни или	1	1
290	и было	1	1
291	характерное для	1	1
292	так слово	1	1
293	не бывает	1	1
294	эта же	1	1
295	с такими	1	1
296	совпадают с	3	1
297	а затем	1	1
298	среде не	2	1
299	влиять на	1	1
300	не дает	1	1
301	но их	1	1
302	чаще всего	3	1
303	этой работы	2	1
304	в жизни	2	1
305	только одно	1	1
306	прочим в	1	1
307	ни в	1	1
308	несмотря на	3	1
309	мы видели	1	1
310	чем в	2	1
311	на этот	3	1
312	форма и	1	1
313	и некоторые	3	1
314	в один	2	1
315	и того	1	1
316	смысл и	1	1
317	но если	1	1
318	таким же	3	1
319	и без	1	1
320	языке на	1	1
321	не столько	1	1
322	в отличие	1	1
323	в которых	5	1
324	одном из	1	1
325	на определенных	1	1
326	труда и	1	1
327	обращение к	1	1
328	тем не	3	1
329	и более	2	1
330	не менее	3	1
331	здесь на	1	1
332	ее с	1	1
333	к изучению	1	1
334	но чаще	1	1
335	дело в	1	1
336	своих с	1	1
337	видим что	1	1
338	дальнейшего развития	1	1
339	привело к	2	1
340	вот что	1	1
341	словом выражается	1	1
342	можно рассматривать	1	1
343	так называемый	2	1
344	этом отношении	1	1
345	котором в	1	1
346	от общего	1	1
347	тем это	1	1
348	такая точка	1	1
349	нечто совсем	1	1
350	другое слово	1	1
351	его с	4	1
352	например на	1	1
353	встречаются и	1	1
354	совпадая с	1	1
355	и это	1	1
356	в виду	1	1
357	некоторые другие	5	1
358	же не	2	1
359	приводит к	3	1
360	на свой	1	1
361	с первым	1	1
362	и другими	2	1
363	по формам	1	1
364	каждого из	1	1
365	этим в	1	1
366	часто в	1	1
367	жизнь и	1	1
368	если бы	1	1
369	для этого	2	1
370	и формами	1	1
371	находится в	2	1
372	только так	1	1
373	не был	1	1
374	и что	4	1
375	или на	3	1
376	в различных	2	1
377	можно встретить	1	1
378	как у	1	1
379	во втором	1	1
380	нуждается в	1	1
381	что и	7	1
382	направлений в	1	1
383	имеет большое	1	1
384	на будущее	1	1
385	в двух	1	1
386	тот же	1	1
387	п в	13	1
388	которых они	1	1
389	и две	1	1
390	и так	1	1
391	в эти	4	1
392	какой степени	2	1
393	одни и	1	1
394	которой оно	1	1
395	сколько в	1	1
396	есть в	1	1
397	с живыми	1	1
398	в начале	1	1
399	так во	1	1
400	должны иметь	1	1
401	к своим	1	1
402	него нет	1	1
403	сам он	1	1
404	и их	4	1
405	в первый	4	1
406	к ним	3	1
407	из одной	1	1
408	но что	2	1
409	дело и	1	1
410	только с	1	1
411	представителями которого	1	1
412	случае не	1	1
413	каждый из	1	1
414	чтобы не	1	1
415	не просто	2	1
416	от того	1	1
417	самом же	1	1
418	в форме	1	1
419	которые как	1	1
420	же деле	1	1
421	влияние на	1	1
422	главное и	1	1
423	он считал	1	1
424	себя и	2	1
425	что не	1	1
426	что для	1	1
427	противном случае	1	1
428	только по	2	1
429	на смену	1	1
430	то и	1	1
431	по ней	1	1
432	которых мы	1	1
433	и самый	1	1
434	однако и	1	1
435	на весь	2	1
436	его по	1	1
437	долгое время	1	1
438	о чем	3	1
439	и требования	1	1
440	мы остановимся	1	1
441	что мы	1	1
442	ближе к	1	1
443	он и	1	1
444	так поступали	1	1
445	совершенно иное	1	1
446	в руках	1	1
447	и теми	1	1
448	на смерть	1	1
449	вместе с	10	1
450	относятся к	2	1
451	в иных	1	1
452	этого момента	3	1
453	и определить	1	1
