N	3gram	Voloshinov_1	VelikijI
1	то что мы	4	3
2	к тому что	2	3
3	но и в	3	2
4	не будет уже	1	2
5	это еще не	1	2
6	уж конечно не	1	2
7	в том что	1	2
8	но все же	2	1
9	хотя бы и	1	1
10	в общественной жизни	3	1
11	по крайней мере	1	1
12	вместе с тем	2	1
13	и в жизни	1	1
14	к людям к	1	1
15	времени по крайней	1	1
16	все это как	1	1
17	в конце концов	3	1
18	и в этом	1	1
19	и не было	1	1
20	все что было	1	1
21	в будущем когда	1	1
22	с другой стороны	1	1
23	как бы в	3	1
24	по сравнению с	1	1
25	только себя только	1	1
26	и никогда не	1	1
27	мы видим что	2	1
28	как и в	1	1
29	и в вопросе	1	1
30	в жизни и	1	1
