N	3gram	Propp_Russ_1	Psycholo
1	в том что	15	12
2	о том что	4	10
3	на то что	1	6
4	к тому что	4	5
5	на самом деле	1	5
6	с точки зрения	3	4
7	можно было бы	1	4
8	друг с другом	1	4
9	точно так же	1	3
10	так же как	1	3
11	так как это	1	3
12	и в этом	1	3
13	во всяком случае	1	3
14	и т п	1	3
15	потому что он	1	2
16	сказать что в	1	2
17	никак не может	1	2
18	ни одно из	2	2
19	во всех этих	1	2
20	вместе с тем	6	2
21	в это время	2	2
22	одна и та	1	2
23	в то время	1	2
24	то что ему	1	2
25	одно из этих	2	2
26	мы видим что	1	2
27	и та же	1	2
28	мы уже знаем	1	2
29	и т д	9	2
30	что иное как	2	1
31	мы начнем с	1	1
32	то что им	1	1
33	что в этом	2	1
34	совершенно очевидно что	1	1
35	том что это	1	1
36	по отношению к	1	1
37	как это имело	1	1
38	подобно тому как	1	1
39	же как и	1	1
40	мы не можем	3	1
41	что именно эти	1	1
42	тому что в	1	1
43	в таком случае	1	1
44	мы должны признать	1	1
45	с тем что	1	1
46	на этот вопрос	1	1
47	так например в	1	1
48	этот вопрос можно	1	1
49	из этих толкований	1	1
50	у него нет	1	1
51	так как он	1	1
52	разделена на две	1	1
53	а нечто совсем	1	1
54	один из них	2	1
55	ни в одном	1	1
56	и что от	1	1
57	так что они	1	1
58	и в своем	1	1
59	в свою очередь	2	1
60	друг к другу	2	1
61	в целом ряде	1	1
62	сомнения в том	1	1
63	потому что они	1	1
64	только одна из	1	1
65	не что иное	2	1
66	этих толкований не	1	1
67	ничего общего с	1	1
68	и что следовательно	1	1
69	к выводу что	2	1
70	ни одна из	1	1
71	до того как	2	1
72	от жизни и	1	1
73	не только в	1	1
74	можно сказать что	1	1
75	с тем и	2	1
76	как мы уже	1	1
77	что в этот	1	1
78	как думают некоторые	1	1
79	быть не может	1	1
80	о том чтобы	1	1
81	но совершенно очевидно	1	1
82	что и в	1	1
83	не до конца	1	1
84	мы увидим что	1	1
85	несмотря на все	1	1
86	привело к тому	2	1
