N	3gram	Tiupa_Anal_1	Russkaja
1	друг с другом	1	14
2	то же время	6	10
3	в то же	8	10
4	с точки зрения	4	9
5	в том что	9	7
6	во всяком случае	1	6
7	для того чтобы	3	6
8	до сих пор	1	5
9	более или менее	1	4
10	бы то ни	3	4
11	в том случае	1	4
12	не может быть	16	4
13	том случае если	1	3
14	вместе с тем	1	3
15	и не может	4	3
16	в данном случае	2	3
17	той или иной	6	3
18	в том и	2	2
19	только в том	1	2
20	с самим собой	1	2
21	самим собой и	1	2
22	и вместе с	1	2
23	лишь в том	3	2
24	того или иного	3	2
25	о том что	3	2
26	и тем самым	1	2
27	и не будет	1	2
28	к тому что	1	2
29	и того же	2	1
30	в том виде	1	1
31	или хотя бы	1	1
32	состоит в том	3	1
33	прежде всего в	1	1
34	в свою очередь	1	1
35	как бы не	1	1
36	по отношению к	5	1
37	в самом деле	2	1
38	в том числе	3	1
39	то же самое	2	1
40	в том же	1	1
41	точки зрения в	1	1
42	таит в себе	1	1
43	на точку зрения	1	1
44	по отношению ко	1	1
45	с ним в	1	1
46	в этом отношении	2	1
47	том числе и	1	1
48	может и должно	1	1
49	в противном случае	1	1
50	таком взгляде на	1	1
51	по крайней мере	1	1
52	только для того	1	1
53	и в частности	1	1
54	не подлежит никакому	1	1
55	при таком взгляде	1	1
56	в том чтобы	7	1
57	как и следовало	1	1
58	но в то	2	1
59	то ни было	3	1
60	человека а в	1	1
61	смысле этого слова	1	1
62	и должно быть	1	1
63	аспекта одного и	1	1
64	и как бы	1	1
65	по этому пути	1	1
66	в связи с	1	1
67	в полной мере	3	1
68	или иной культурной	1	1
69	и таким образом	1	1
70	и все же	2	1
71	того и другого	2	1
72	тех или иных	2	1
73	содержат в себе	1	1
74	одного и того	2	1
75	быть не может	3	1
76	на первый взгляд	1	1
77	к тому же	4	1
78	и не требуется	1	1
79	и следовало ожидать	1	1
