N	2gram	Medvedev_U_1	Retstnzi
1	не может	7	4
2	и в	14	3
3	достоевского и	1	2
4	нет и	1	1
5	поэтики и	1	1
6	и не	8	1
7	не только	10	1
8	художественного произведения	2	1
9	и истории	1	1
10	но и	4	1
11	в системе	2	1
12	как искусство	1	1
13	в ней	1	1
14	в то	3	1
15	метода он	1	1
16	для него	3	1
17	о литературе	1	1
18	литературного произведения	1	1
19	искусство как	1	1
20	а не	10	1
21	может быть	6	1
22	в противоположную	1	1
23	формального метода	9	1
24	в его	2	1
25	он в	1	1
26	же время	3	1
27	то же	5	1
28	и все	1	1
29	если бы	2	1
30	бы в	1	1
