N	2gram	Bakhtin_Fr_6	Sovremen
1	не может	4	17
2	может быть	2	12
3	точки зрения	2	12
4	таким образом	17	11
5	мы не	2	9
6	в каждом	1	8
7	в этом	12	7
8	и в	41	7
9	каждый раз	1	6
10	мы можем	1	6
11	ничего не	1	6
12	как и	7	6
13	и не	3	6
14	в результате	4	6
15	и наконец	4	5
16	все эти	11	5
17	что же	1	5
18	прежде всего	10	5
19	с точки	2	5
20	в условиях	1	5
21	в дальнейшем	2	4
22	в зависимости	1	4
23	зависимости от	1	4
24	нет и	1	4
25	в том	2	4
26	в целом	1	4
27	если мы	2	4
28	из них	5	4
29	так как	10	4
30	мы видели	2	4
31	не только	10	4
32	в развитии	2	4
33	с помощью	6	4
34	как бы	7	4
35	вместе с	6	4
36	это не	1	4
37	точку зрения	1	4
38	их в	2	4
39	а в	4	4
40	жизни и	3	4
41	он может	1	3
42	в первом	3	3
43	то же	5	3
44	ясно что	1	3
45	и т.д	1	3
46	между собой	1	3
47	видели что	1	3
48	у всех	1	3
49	все же	4	3
50	еще не	1	3
51	но в	8	3
52	он в	2	3
53	в этой	8	3
54	в себе	5	3
55	уже в	4	3
56	как он	2	3
57	ведь это	2	3
58	в одном	5	3
59	в конце	2	3
60	в нем	16	3
61	при этом	3	3
62	было бы	3	3
63	а не	2	3
64	и потому	2	3
65	не в	4	3
66	все это	11	3
67	не подлежит	1	3
68	одна из	1	3
69	для нас	2	3
70	и все	9	3
71	в системе	1	3
72	у нас	4	3
73	состоит из	2	3
74	и к	1	3
75	следующим образом	1	3
76	в области	2	3
77	как известно	2	2
78	как мы	12	2
79	ли оно	1	2
80	тем же	1	2
81	роль в	4	2
82	той же	5	2
83	времени и	2	2
84	на этом	2	2
85	для его	2	2
86	и даже	4	2
87	говорить о	2	2
88	настоящее время	1	2
89	и что	5	2
90	на их	1	2
91	и во	2	2
92	самом деле	4	2
93	в которую	1	2
94	говорить об	1	2
95	в его	7	2
96	с этим	3	2
97	дает нам	2	2
98	в самом	10	2
99	в которой	1	2
100	не будем	2	2
101	что это	5	2
102	в нашем	1	2
103	из этих	2	2
104	с одной	4	2
105	со всеми	2	2
106	и они	1	2
107	уже не	1	2
108	так сказать	2	2
109	на его	2	2
110	у него	7	2
111	и по	1	2
112	ее на	1	2
113	но все	1	2
114	что все	2	2
115	значение в	2	2
116	конечно в	2	2
117	или иной	1	2
118	в некоторых	1	2
119	а на	2	2
120	на этот	1	2
121	которой он	1	2
122	он должен	1	2
123	же мы	1	2
124	не менее	1	2
125	и именно	1	2
126	в настоящее	1	2
127	из четырех	2	2
128	в третьем	3	2
129	еще более	2	2
130	в новых	1	2
131	мы видим	6	2
132	не дает	1	2
133	тот же	4	2
134	такие же	1	2
135	не могут	2	2
136	могут быть	1	2
137	для развития	1	2
138	что в	7	2
139	от явлений	1	2
140	помощью которых	2	2
141	рот и	5	2
142	если же	1	2
143	в таком	1	2
144	должен быть	2	1
145	и это	1	1
