N	2gram	Tiupa_Vved_1	Russkaja
1	не может	7	22
2	и не	12	19
3	в том	10	17
4	в этом	21	17
5	и в	13	14
6	то что	6	13
7	то же	5	11
8	точки зрения	1	11
9	таким образом	4	11
10	в то	4	10
11	же время	3	10
12	но и	19	10
13	в себе	5	9
14	не только	20	9
15	том что	7	9
16	может быть	18	9
17	во всяком	1	9
18	того чтобы	1	8
19	прежде всего	7	8
20	самом деле	3	7
21	отнюдь не	7	7
22	и если	1	7
23	и с	2	7
24	в данном	13	7
25	к тому	6	7
26	о том	5	7
27	мы должны	1	7
28	к которой	1	6
29	если в	2	6
30	в своем	5	6
31	и к	2	6
32	с тем	1	6
33	в своих	2	6
34	если бы	7	6
35	все это	1	6
36	и для	3	6
37	что он	1	6
38	всяком случае	1	6
39	для него	3	6
40	на самом	4	6
41	и на	3	5
42	между собой	2	5
43	во всех	2	5
44	на то	1	5
45	в нем	5	5
46	при этом	26	5
47	он не	3	5
48	было бы	4	5
49	в своей	5	5
50	никогда не	4	5
51	потому что	5	5
52	между тем	1	5
53	и только	1	5
54	только в	6	5
55	хотя бы	1	5
56	в последние	1	5
57	или иной	3	5
58	из которых	1	5
59	а в	6	5
60	жизни в	4	5
61	но не	5	4
62	себя в	1	4
63	все же	6	4
64	более или	2	4
65	не в	6	4
66	в этой	1	4
67	в корне	1	4
68	тому чтобы	1	4
69	в совершенно	1	4
70	как и	11	4
71	которой он	1	4
72	или менее	2	4
73	в их	1	4
74	во всем	1	4
75	а лишь	2	4
76	ли это	2	4
77	приводит к	2	4
78	в мире	8	4
79	можно было	2	4
80	и т.д	5	4
81	путь к	1	4
82	в его	4	4
83	лишь к	1	4
84	со стороны	5	4
85	вместе с	1	4
86	что же	3	4
87	как бы	4	4
88	жизни и	7	4
89	что в	3	4
90	к этой	1	4
91	все что	3	4
92	сил и	1	3
93	то в	1	3
94	говорить о	2	3
95	еще не	7	3
96	он сам	1	3
97	из этих	3	3
98	что они	1	3
99	в самом	2	3
100	что это	1	3
101	ни одна	1	3
102	на том	1	3
103	и по	3	3
104	лишь в	2	3
105	для них	3	3
106	о которых	1	3
107	несмотря на	1	3
108	всех этих	1	3
109	но если	1	3
110	том чтобы	2	3
111	можно ли	1	3
112	одна из	4	3
113	связи с	1	3
114	в сознании	4	3
115	точке зрения	1	3
116	той или	3	3
117	что все	1	3
118	данном случае	6	3
119	что может	1	3
120	сводится к	4	3
121	при котором	1	3
122	в значительной	1	3
123	что и	2	3
124	того что	6	3
125	в качестве	8	3
126	в виде	1	3
127	из них	1	3
128	в конце	1	3
129	тем что	2	3
130	только к	1	3
131	что для	1	3
132	не было	2	3
133	и потому	1	3
134	да и	1	3
135	культуры в	1	3
136	этом случае	1	3
137	при условии	1	3
138	она может	1	3
139	или в	1	3
140	о котором	2	3
141	все они	2	3
142	из этого	1	3
143	речь идет	1	2
144	бы для	1	2
145	к данному	1	2
146	от своей	1	2
147	должна быть	2	2
148	этом направлении	1	2
149	к чему	1	2
150	из всех	1	2
151	но она	1	2
152	на себя	1	2
153	в ней	4	2
154	в таком	1	2
155	взгляде на	1	2
156	по отношению	7	2
157	тогда как	10	2
158	друг от	1	2
159	по воле	2	2
160	целый ряд	2	2
161	и наконец	2	2
162	но в	6	2
163	не можем	2	2
164	все эти	1	2
165	и тот	1	2
166	состоит в	10	2
167	не к	4	2
168	и вот	1	2
169	чтобы в	1	2
170	по себе	2	2
171	и тем	2	2
172	участие в	1	2
173	русской культуры	1	2
174	этого не	1	2
175	в этих	3	2
176	во время	1	2
177	что такое	18	2
178	в котором	8	2
179	место в	2	2
180	в силу	2	2
181	и более	3	2
182	их в	2	2
183	том же	1	2
184	тому что	1	2
185	для нас	2	2
186	у него	1	2
187	людей и	1	2
188	как будто	4	2
189	в области	3	2
190	к себе	1	2
191	будучи по	1	2
192	указывает на	1	2
193	если же	1	2
194	для себя	1	2
195	и о	1	2
196	от друга	1	2
197	или нескольких	2	2
198	это только	2	2
199	настоящее время	1	2
200	и что	1	2
201	они вели	1	2
202	к нему	1	2
203	народов и	1	2
204	быть и	2	2
205	их не	1	2
206	так что	1	2
207	уже не	5	2
208	только на	1	2
209	в начале	3	2
210	его и	1	2
211	не так	1	2
212	представить себе	2	2
213	не о	2	2
214	мы можем	2	2
215	только с	1	2
216	при отсутствии	2	2
217	и даже	1	2
218	а с	2	2
219	зависит от	2	2
220	а не	15	2
221	на эту	1	2
222	в частности	13	2
223	так же	1	2
224	ни от	2	2
225	в течение	1	2
226	благодаря этому	1	2
227	но это	3	2
228	этом и	2	2
229	и от	2	2
230	не подлежит	1	2
231	в результате	3	2
232	в настоящее	1	2
233	не должен	1	2
234	с ним	3	2
235	отношении к	1	2
236	и состоит	1	2
237	тем самым	5	2
238	не должны	1	1
239	в сфере	1	1
240	должен быть	1	1
241	того же	1	1
242	он может	1	1
243	тех же	1	1
244	к своей	1	1
245	идет о	1	1
246	не признает	1	1
247	противном случае	1	1
248	со своей	1	1
249	в зависимости	1	1
250	также и	4	1
251	мы не	4	1
252	к новой	1	1
253	он как	1	1
254	в каждый	1	1
255	в сущности	1	1
256	в полной	1	1
257	это отношение	1	1
258	событий и	1	1
259	столько же	1	1
260	столь же	1	1
261	при жизни	1	1
262	к этому	2	1
263	но как	1	1
264	а только	1	1
265	точка зрения	3	1
266	должны были	2	1
267	из таких	1	1
268	и оценку	1	1
269	которые не	1	1
270	в истории	1	1
271	первый взгляд	1	1
272	в одной	2	1
273	внутри себя	1	1
274	что касается	5	1
275	в противном	1	1
276	перед нами	6	1
277	имеет в	1	1
278	в смысл	1	1
279	бы не	2	1
280	быть как	1	1
281	что к	1	1
282	то и	2	1
283	тому же	4	1
284	иначе и	1	1
285	но на	2	1
286	вследствие этого	3	1
287	вообще не	1	1
288	на его	1	1
289	как оно	2	1
290	не следует	3	1
291	выражается в	1	1
292	тем не	3	1
293	о которой	2	1
294	чтобы они	1	1
295	в принципе	1	1
296	к одному	1	1
297	после этой	1	1
298	преклонения перед	1	1
299	базируются на	1	1
300	же остается	1	1
301	так например	1	1
302	заключает в	1	1
303	значительной степени	1	1
304	здесь мы	1	1
305	могла бы	3	1
306	тем же	1	1
307	об этом	4	1
308	полной мере	1	1
309	то есть	8	1
310	себя не	1	1
311	или даже	1	1
312	в данной	2	1
313	на каком	1	1
314	входит в	1	1
315	не умеет	1	1
316	с другими	1	1
317	это не	6	1
318	и мы	1	1
319	она стала	1	1
320	практически не	1	1
321	в жизни	4	1
322	все равно	2	1
323	не всегда	2	1
324	обозначить как	1	1
325	жизни но	1	1
326	как сказано	1	1
327	становится и	1	1
328	без этой	1	1
329	иначе говоря	6	1
330	не сам	1	1
331	и того	2	1
332	одного и	1	1
333	совершается лишь	1	1
334	на первый	1	1
335	бы на	1	1
336	от своего	1	1
337	таком взгляде	1	1
338	не столько	4	1
339	в которых	1	1
340	собой не	1	1
341	стало быть	7	1
342	жизни является	1	1
343	по крайней	1	1
344	вовсе не	1	1
345	даже в	1	1
346	своих интересов	1	1
347	такое время	2	1
348	не менее	4	1
349	до известной	1	1
350	на себе	1	1
351	у кого	1	1
352	на него	2	1
353	не по	1	1
354	в основе	3	1
355	чтобы стать	2	1
356	но только	1	1
357	однако если	1	1
358	в разных	1	1
359	это то	1	1
360	невозможно но	1	1
361	всего на	1	1
362	и теперь	1	1
363	и сама	1	1
364	этом отношении	4	1
365	мировой войны	1	1
366	что на	2	1
367	однако это	1	1
368	только от	1	1
369	стороны и	1	1
370	на целый	1	1
371	в духе	1	1
372	есть только	1	1
373	могут быть	4	1
374	человека в	1	1
375	слова но	2	1
376	однако для	1	1
377	же самое	1	1
378	от которой	1	1
379	для образования	1	1
380	оно может	1	1
381	как мы	3	1
382	с ее	1	1
383	свою очередь	4	1
384	но при	5	1
385	однако ни	1	1
386	в ее	1	1
387	не могло	2	1
388	мысль о	1	1
389	степени и	1	1
390	роль в	1	1
391	до самого	1	1
392	котором мы	1	1
393	что у	1	1
394	так и	8	1
395	те же	2	1
396	его жизни	1	1
397	мог бы	1	1
398	глубоко и	1	1
399	всеми силами	1	1
400	них глаза	1	1
401	из одного	1	1
402	которому принадлежит	1	1
403	смысл бытия	1	1
404	иное как	1	1
405	в состав	4	1
406	то они	1	1
407	никак не	2	1
408	одного из	3	1
409	можно сказать	4	1
410	с другой	5	1
411	а во	1	1
412	от них	1	1
413	убедимся что	1	1
414	единственно возможной	1	1
415	крайней мере	1	1
416	чем и	1	1
417	от этих	2	1
418	представления о	1	1
419	происходит в	1	1
420	он есть	1	1
421	по своей	3	1
422	один из	3	1
423	оно и	1	1
424	уже принадлежит	1	1
425	зрения в	1	1
426	в разные	1	1
427	может оказаться	1	1
428	они могут	1	1
429	узнаем что	1	1
430	в сторону	1	1
431	и у	1	1
432	если мы	1	1
433	или не	2	1
434	называет себя	1	1
435	а то	2	1
436	роль и	1	1
437	и их	1	1
438	для настоящего	1	1
439	могло бы	3	1
440	которая может	2	1
441	ее не	2	1
442	к ним	2	1
