N	3gram	Losev_Dial_4	DiskursI
1	в отличие от	1	12
2	в данном случае	1	6
3	в том что	9	6
4	то же время	6	5
5	в то же	6	4
6	не может быть	6	3
7	о том что	1	3
8	той или иной	1	3
9	в обоих случаях	1	2
10	подобно тому как	4	2
11	в этом случае	1	2
12	а потом и	1	2
13	с точки зрения	9	2
14	и не может	1	2
15	в основе своей	1	2
16	и то что	1	2
17	содержит в себе	1	2
18	и как бы	1	2
19	по природе своей	1	2
20	дело в том	1	2
21	и прежде всего	1	2
22	легко может быть	1	2
23	но прежде всего	1	1
24	в чем не	1	1
25	другой стороны в	1	1
26	мы имеем дело	1	1
27	прежде всего в	1	1
28	же время и	2	1
29	друг от друга	1	1
30	с другой стороны	1	1
31	одних и тех	2	1
32	но они же	1	1
33	и в то	2	1
34	можно говорить о	1	1
35	и именно в	1	1
36	того и другого	1	1
37	но для этого	1	1
38	или по крайней	3	1
39	но это не	1	1
40	днем и ночью	1	1
41	именно в этом	1	1
42	и тех же	2	1
43	и в частности	2	1
44	в это время	1	1
45	а стало быть	2	1
46	это ведет к	1	1
47	говоря уже о	3	1
48	вместе с нами	1	1
49	а не как	1	1
50	не в том	4	1
51	необходимость не только	1	1
52	и той же	3	1
53	которое может быть	1	1
54	ни в чем	1	1
55	с той или	1	1
56	та или иная	2	1
57	как того требует	1	1
58	равно как и	2	1
59	в пределах одной	1	1
60	в себя и	1	1
61	включает в себя	1	1
62	можно сказать что	1	1
63	не говорит об	1	1
64	и есть не	1	1
65	одной и той	3	1
66	тем не менее	2	1
67	но также и	1	1
68	по крайней мере	7	1
69	в себе не	1	1
70	речь идет о	1	1
71	не говоря уже	3	1
72	он как бы	1	1
