N	2gram	Tiupa_Disk_2	Analitik
1	не только	10	22
2	тогда как	11	20
3	и в	16	18
4	как и	16	14
5	так и	9	14
6	в этом	16	14
7	и его	3	13
8	но и	11	13
9	том что	10	12
10	о блудном	3	12
11	в качестве	16	12
12	и не	15	12
13	в частности	12	12
14	при этом	17	11
15	коммуникативного события	5	11
16	блудном сыне	3	11
17	ивана петровича	2	10
18	то есть	12	10
19	а в	2	10
20	как бы	4	10
21	повести белкина	2	9
22	что в	5	9
23	в тексте	3	9
24	может быть	16	9
25	со стороны	10	9
26	а не	14	9
27	в том	8	9
28	со своей	1	8
29	в повестях	2	8
30	петровича белкина	2	8
31	с его	6	8
32	своего рода	10	8
33	в миропорядке	1	8
34	не случайно	1	8
35	и даже	1	8
36	станционного смотрителя	2	8
37	повестях белкина	2	7
38	по отношению	4	7
39	в русской	3	7
40	в его	3	7
41	с другой	5	7
42	во второй	1	7
43	но не	7	7
44	отношению к	4	7
45	еще не	6	6
46	в этой	4	6
47	он не	3	6
48	в метели	1	6
49	не в	3	6
50	к тому	1	6
51	для него	5	6
52	о том	4	6
53	художественного целого	4	6
54	художественное целое	2	6
55	того же	2	5
56	той же	2	5
57	мы имеем	2	5
58	как правило	1	5
59	в самом	1	5
60	в случае	1	5
61	лишь в	1	5
62	в мире	11	5
63	или иной	3	5
64	в сущности	1	5
65	что и	2	5
66	между тем	2	5
67	уже не	3	5
68	самсон вырин	1	5
69	никогда не	2	5
70	и т.п	12	5
71	прежде всего	7	5
72	я в	5	5
73	не является	4	5
74	такого рода	9	5
75	в результате	2	5
76	другой стороны	2	5
77	представляет собой	11	5
78	принадлежит к	3	4
79	и на	5	4
80	столь же	3	4
81	что он	2	4
82	отнюдь не	6	4
83	в своем	5	4
84	и как	3	4
85	таким образом	1	4
86	приводит к	3	4
87	второй строфе	1	4
88	коммуникативной стратегии	1	4
89	в притче	2	4
90	покойного ивана	1	4
91	состоит в	16	4
92	тем самым	6	4
93	картина мира	4	4
94	картины мира	7	4
95	в одном	4	4
96	имеем дело	1	4
97	белкина в	2	4
98	не менее	7	4
99	в пределах	4	4
100	и сам	1	4
101	притчи о	4	4
102	внимание на	1	4
103	можно сказать	3	4
104	русской литературе	2	4
105	крайней мере	1	4
106	изданные а.п	1	4
107	себя в	6	4
108	не есть	1	4
109	во втором	1	4
110	далеко не	2	4
111	по крайней	1	4
112	о чем	2	4
113	в данном	7	4
114	притчи и	2	4
115	все же	6	4
116	перед нами	3	4
117	художественной целостности	2	4
118	я и	4	3
119	его не	1	3
120	мы не	1	3
121	говорить о	2	3
122	в целом	2	3
123	в сочетании	2	3
124	здесь не	2	3
125	о смерти	1	3
126	если в	1	3
127	ответ на	1	3
128	в рамках	7	3
129	как в	8	3
130	форма авторства	1	3
131	что касается	1	3
132	из этих	3	3
133	с их	2	3
134	роль в	4	3
135	роли в	1	3
136	нашего времени	1	3
137	у пушкина	2	3
138	подобно тому	2	3
139	в году	1	3
140	то же	6	3
141	его в	3	3
142	лишь на	1	3
143	жанровая стратегия	4	3
144	повестей а	1	3
145	и того	3	3
146	одного и	3	3
147	эстетического отношения	1	3
148	точки зрения	4	3
149	сочетании с	2	3
150	не столько	3	3
151	все это	2	3
152	до известной	1	3
153	в то	5	3
154	дело не	1	3
155	ничего не	1	3
156	же время	5	3
157	личности в	2	3
158	следует признать	3	3
159	той или	3	3
160	указывает на	1	3
161	повести покойного	1	3
162	с ее	2	3
163	в ее	1	3
164	данном случае	6	3
165	не должно	1	3
166	так в	1	3
167	компетенция анекдота	1	3
168	мысль о	3	3
169	восходит к	3	3
170	именно в	2	3
171	на языке	2	3
172	во всем	1	3
173	являет собой	2	3
174	цикла в	2	3
175	этом отношении	4	3
176	были бы	1	3
177	в особенности	1	3
178	в финале	1	3
179	еще и	1	3
