N	3gram	Voloshinov_1	Narrotol
1	в том что	2	8
2	с одной стороны	2	7
3	по отношению к	3	6
4	в отличие от	1	5
5	не может быть	4	5
6	в данном случае	2	4
7	с другой стороны	2	4
8	состоит в том	1	3
9	в этом отношении	1	3
10	тем не менее	1	3
11	то же время	1	3
12	в то же	1	3
13	что иное как	2	2
14	более или менее	1	2
15	подобно тому как	1	2
16	с точки зрения	5	2
17	можно было бы	1	2
18	то или иное	1	2
19	ту или иную	1	2
20	которым можно было	1	2
21	так же как	1	2
22	не что иное	2	2
23	в связи с	1	2
24	этой точки зрения	1	2
25	того или иного	2	2
26	в конечном счете	1	2
27	том что в	1	1
28	как то что	1	1
29	что в этом	1	1
30	только потому что	1	1
31	в хх веке	1	1
32	прежде всего в	1	1
33	на самом деле	1	1
34	в самом деле	2	1
35	то же самое	1	1
36	но далеко не	1	1
37	они сводятся к	1	1
38	не входит в	1	1
39	только то что	1	1
40	с этой точки	1	1
41	может быть и	1	1
42	же время в	1	1
43	далеко не всегда	1	1
44	и тот же	1	1
45	а также и	1	1
46	точки зрения и	1	1
47	и как бы	1	1
48	и который является	1	1
49	иметь в виду	1	1
50	а не как	1	1
51	так и для	1	1
52	все то что	1	1
53	один и тот	1	1
54	не мог бы	1	1
55	есть не что	2	1
56	по себе а	1	1
57	само по себе	1	1
58	включает в себя	1	1
59	следует иметь в	1	1
60	собственно говоря и	1	1
61	на всем протяжении	1	1
62	есть прежде всего	3	1
63	тех или иных	1	1
64	как и в	1	1
