N	3gram	Nazirov_Tv_1	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	все тот же	1	2
4	добра и зла	2	2
5	в том что	6	2
6	и т д	1	2
7	не верит что	1	1
8	так ли это?	1	1
9	вот в чем	1	1
10	хотя бы и	1	1
11	бы то ни	1	1
12	отказаться от свободы	1	1
13	по крайней мере	2	1
14	то и другое	1	1
15	вместе с тем	1	1
16	к небытию в	1	1
17	в конце концов	1	1
18	в известном смысле	1	1
19	не могут быть	1	1
20	с другой стороны	1	1
21	для человека и	1	1
22	не совместима с	1	1
23	и что в	1	1
24	как и в	1	1
25	всех на земле	1	1
