N	2gram	Bakhtin_fo_2	Vladivir
1	и в	46	40
2	то что	7	28
3	не только	11	25
4	и не	9	25
5	учение о	1	24
6	у него	9	24
7	то есть	10	24
8	том что	4	18
9	в том	10	18
10	но и	9	18
11	еще и	1	18
12	также и	4	17
13	что в	5	17
14	в этом	22	16
15	в его	8	14
16	так что	4	14
17	не может	2	14
18	в виде	1	13
19	точки зрения	10	13
20	вовсе не	13	13
21	только в	11	13
22	в конце	2	12
23	сказать что	1	12
24	никогда не	6	11
25	потому что	8	11
26	таким образом	3	11
27	о том	4	11
28	ни в	1	10
29	и его	12	10
30	прежде всего	14	10
31	и потому	2	10
32	это есть	1	10
33	и то	1	9
34	уже не	3	9
35	в себе	4	9
36	и с	6	9
37	в своей	1	9
38	как мы	6	8
39	в своем	5	8
40	в этой	2	8
41	он не	5	8
42	не был	2	8
43	и что	1	8
44	а также	3	8
45	раз и	1	8
46	для него	3	8
47	может быть	7	8
48	а не	4	8
49	так же	2	8
50	хотя и	3	7
51	и как	3	7
52	что все	2	7
53	с тем	2	7
54	как и	8	7
55	несмотря на	1	7
56	в то	5	7
57	там же	1	7
58	что и	3	7
59	того что	3	7
60	так как	6	7
61	вместе с	9	7
62	к тому	3	7
63	а в	3	7
64	смысле слова	2	6
65	и на	7	6
66	кроме того	3	6
67	то в	2	6
68	не мог	2	6
69	с точки	8	6
70	по себе	2	6
71	иной раз	1	6
72	в смысле	5	6
73	во всем	1	6
74	и это	2	6
75	и от	2	6
76	так и	7	6
77	об этом	1	6
78	и здесь	1	6
79	значит что	2	6
80	и даже	3	6
81	если не	2	6
82	да и	1	6
83	это значит	3	6
84	но это	2	6
85	отношения к	4	5
86	мы уже	9	5
87	в ней	1	5
88	совсем не	2	5
89	отнюдь не	4	5
90	в истории	4	5
91	все эти	5	5
92	должно быть	5	5
93	в отношении	2	5
94	дело в	1	5
95	тем что	3	5
96	у нас	2	5
97	для себя	1	5
98	еще в	1	5
99	с другой	2	5
100	конце концов	1	5
101	что он	3	5
102	в одном	7	5
103	не было	3	5
104	в данном	2	5
105	между прочим	1	5
106	это учение	1	5
107	в самом	1	4
108	то же	8	4
109	что если	1	4
110	и о	2	4
111	вопрос о	1	4
112	еще не	6	4
113	но не	5	4
114	все же	6	4
115	но в	10	4
116	бы и	1	4
117	было бы	2	4
118	чем в	1	4
119	такой же	1	4
120	в котором	4	4
121	тому что	1	4
122	не имеет	1	4
123	или как	1	4
124	то время	1	4
125	в дальнейшем	5	4
126	в глаза	1	4
127	она была	1	4
128	никак не	1	4
129	утверждает что	2	4
130	здесь в	6	4
131	до конца	2	4
132	и все	6	4
133	как это	2	4
134	по существу	5	4
135	в основном	8	4
136	указать на	1	4
137	в результате	1	4
138	есть и	4	4
139	на самом	1	3
140	мы имеем	2	3
141	всего существующего	2	3
142	здесь не	2	3
143	в чем	1	3
144	отличие от	1	3
145	за пределы	1	3
146	и у	5	3
147	уже в	4	3
148	из этих	4	3
149	в нем	5	3
150	при этом	6	3
151	является не	1	3
152	но все	1	3
153	в качестве	3	3
154	это было	1	3
155	это не	2	3
156	далеко не	2	3
157	основных категорий	1	3
158	нисколько не	1	3
159	не столько	1	3
160	в отличие	1	3
161	не в	9	3
162	в философии	1	3
163	что есть	1	3
164	весь этот	1	3
165	того чтобы	8	3
166	и притом	1	3
167	сводится к	1	3
168	всякого рода	1	3
169	в духе	2	3
170	оно не	1	3
171	в виду	3	3
172	смысле но	1	3
173	жизнь и	3	3
174	если бы	1	3
175	и вообще	1	3
176	находится в	2	3
177	что здесь	2	3
178	как нечто	1	3
179	и тем	1	3
180	по этому	1	3
181	с одной	2	3
182	ни с	1	3
183	был бы	1	3
184	и только	2	3
185	человека и	4	3
186	именно в	2	3
187	в связи	8	3
188	мы видели	2	3
189	одной стороны	1	3
190	как бы	10	3
191	же самое	3	3
192	и для	9	3
193	в настоящее	1	3
194	же в	4	3
195	ее в	3	3
196	как на	2	3
197	в таком	1	3
198	во всяком	2	3
199	в этот	3	2
200	по преимуществу	1	2
201	не имеют	1	2
202	должна быть	1	2
203	есть не	1	2
204	мы не	1	2
205	на эти	1	2
206	в сущности	2	2
207	время как	1	2
208	это время	1	2
209	он был	2	2
210	он сам	1	2
211	первый план	2	2
212	данном случае	1	2
213	могло быть	1	2
214	но как	1	2
215	себе и	1	2
216	и речи	1	2
217	природа в	1	2
218	в настоящем	1	2
219	всю эту	2	2
220	как говорит	1	2
221	с этим	5	2
222	этом же	1	2
223	и наконец	6	2
224	и к	2	2
225	от этого	2	2
226	в которой	1	2
227	в нашем	1	2
228	остановиться на	1	2
229	дальше и	1	2
230	он всегда	1	2
231	он ни	1	2
232	и еще	1	2
233	же это	1	2
234	не как	1	2
235	и по	3	2
236	всех своих	1	2
237	одно и	1	2
238	в другом	3	2
239	нечего и	1	2
240	должен был	1	2
241	в это	3	2
242	о которых	1	2
243	на первый	3	2
244	в этих	3	2
245	вне всякого	1	2
246	в их	3	2
247	далеки от	1	2
248	дается в	2	2
249	и более	2	2
250	о значении	1	2
251	как можно	3	2
252	она не	2	2
253	есть прежде	1	2
254	на него	1	2
255	но что	1	2
256	но только	1	2
257	и всегда	2	2
258	в разных	1	2
259	по вопросу	1	2
260	же время	4	2
261	по своей	1	2
262	был и	1	2
263	связи с	8	2
264	здесь же	1	2
265	что на	3	2
266	может показаться	1	2
267	не могут	1	2
268	той или	1	2
269	роль в	3	2
270	в мире	4	2
271	которая в	1	2
272	не меньше	1	2
273	больше чем	1	2
274	но мы	1	2
275	его в	6	2
276	бы в	1	2
277	я вижу	1	2
278	быть и	2	2
279	что даже	1	2
280	и так	2	2
281	мы будем	3	2
282	это же	1	2
283	так вот	1	2
284	не можем	1	2
285	то и	1	2
286	свидетельствует о	1	2
287	из них	8	2
288	себе в	1	2
289	здесь и	1	2
290	бытия и	1	2
291	только с	1	2
292	и вместе	1	2
293	для того	8	2
294	является носителем	1	2
295	без всякой	1	2
296	и самая	2	2
297	больше и	2	2
298	которых мы	1	2
299	не на	3	2
300	как не	1	2
301	и выше	1	2
302	ясностью и	1	2
303	в изображении	1	2
304	наряду с	2	2
305	с этой	4	2
306	на одной	1	2
307	не является	3	2
308	но когда	1	2
309	и ни	1	2
310	этом отношении	2	2
311	все они	3	2
312	на более	1	2
313	бы на	1	2
314	другой стороны	1	2
315	совершенно не	1	2
316	того же	3	2
317	жизни а	2	2
318	с его	1	2
319	к этому	3	2
320	с природой	1	1
321	можно говорить	1	1
322	например в	1	1
323	чтобы не	1	1
324	начинается с	1	1
325	себя как	1	1
326	мы здесь	1	1
327	и умер	1	1
328	необходимо отметить	1	1
329	значении этого	1	1
330	тех же	1	1
331	это и	1	1
332	и есть	2	1
333	конечно с	1	1
334	из самых	2	1
335	и больше	1	1
336	в погоне	1	1
337	которыми он	1	1
338	для своего	1	1
339	развития человечества	2	1
340	почему бы	1	1
341	которую мы	1	1
342	та же	3	1
343	он как	1	1
344	и стиль	2	1
345	есть нечто	1	1
346	представлением о	1	1
347	принадлежит к	2	1
348	представление о	2	1
349	и самой	1	1
350	конечно и	1	1
351	в каждой	1	1
352	и говорить	1	1
353	связи со	1	1
354	вечной жизни	1	1
355	во всех	11	1
356	а следовательно	3	1
357	точка зрения	3	1
358	если в	2	1
359	в общем	1	1
360	и никак	1	1
361	связанного с	1	1
362	времени то	1	1
363	нет и	3	1
364	что они	4	1
365	как в	4	1
366	когда он	1	1
367	что по	1	1
368	связанный с	1	1
369	автора и	2	1
370	тяготеет к	1	1
371	не быть	2	1
372	что весь	1	1
373	точку зрения	1	1
