N	2gram	Berdyaev_V_1	Analitik
1	может быть	1	29
2	в том	3	27
3	и не	20	21
4	и в	16	18
5	но и	5	17
6	а не	7	17
7	не только	2	15
8	тогда как	1	14
9	не в	3	14
10	в этом	4	13
11	как и	4	13
12	в его	4	13
13	том что	2	12
14	то есть	1	11
15	но не	2	10
16	то же	1	9
17	а в	2	9
18	есть не	1	8
19	в мире	5	8
20	но в	3	8
21	не есть	6	8
22	к тому	3	7
23	этого слова	1	7
24	в самом	1	6
25	это не	2	6
26	в своей	3	6
27	в себя	2	6
28	только в	2	6
29	то что	9	6
30	прежде всего	2	6
31	в их	1	5
32	и на	1	5
33	в целом	1	5
34	в этой	1	5
35	лишь в	3	5
36	между тем	2	5
37	как бы	5	5
38	что в	3	5
39	более чем	2	4
40	все же	1	4
41	не всегда	1	4
42	ни в	3	4
43	могут быть	2	4
44	так и	4	4
45	не с	2	4
46	с ним	2	4
47	с другой	1	4
48	того что	5	4
49	уже не	2	4
50	для того	1	4
51	себя и	1	4
52	вместе с	1	4
53	человека к	1	4
54	и т	2	3
55	и есть	4	3
56	бы то	1	3
57	если в	1	3
58	в нем	4	3
59	то ни	1	3
60	не будет	2	3
61	ведет к	1	3
62	в котором	4	3
63	того чтобы	2	3
64	не могут	2	3
65	к нему	1	3
66	с его	3	3
67	еще не	8	3
68	что и	3	3
69	не случайно	1	3
70	смысла жизни	4	3
71	а с	2	3
72	что не	4	3
73	что мы	4	3
74	которая в	1	3
75	и все	4	3
76	хотя бы	3	3
77	будто бы	1	3
78	я в	1	3
79	что он	4	3
80	на себя	5	2
81	и то	2	2
82	отношение к	1	2
83	не просто	1	2
84	нет и	2	2
85	человеческого бытия	1	2
86	могли бы	1	2
87	его к	2	2
88	в противоположность	1	2
89	личности а	2	2
90	в которой	1	2
91	все эти	3	2
92	и до	1	2
93	от которого	3	2
94	не к	2	2
95	и по	1	2
96	на этом	1	2
97	и с	1	2
98	вовсе не	1	2
99	так как	9	2
100	для чего	1	2
101	жизни но	1	2
102	с бытием	1	2
103	для него	2	2
104	вопрос о	1	2
105	в процессе	1	2
106	никогда не	3	2
107	потому что	4	2
108	в сознании	1	2
109	для себя	1	2
110	как мы	1	2
111	роль в	1	2
112	быть может	1	2
113	в искусстве	1	2
114	и сам	2	2
115	должно быть	3	2
116	но к	1	2
117	в личности	2	2
118	один из	2	2
119	в двух	1	2
120	ли он	1	2
121	бы ни	1	2
122	в мировом	1	2
123	его и	2	2
124	в новом	1	2
125	бытия и	1	2
126	мира в	2	2
127	личность есть	1	2
128	и потому	7	2
129	и тогда	2	2
130	это как	1	2
131	мире и	1	2
132	нет ничего	3	2
133	другой стороны	1	2
134	других людей	1	2
135	в роли	1	2
136	речь идет	1	1
137	человека и	6	1
138	ничего нельзя	1	1
139	этого мира	3	1
140	от своей	2	1
141	нем но	1	1
142	он всегда	1	1
143	не имеют	1	1
144	должна быть	3	1
145	этому пути	2	1
146	мы не	2	1
147	как не	3	1
148	зависимости от	1	1
149	в ней	4	1
150	над ним	1	1
151	по этому	3	1
152	он был	1	1
153	оно ни	1	1
154	в чем	3	1
155	только способ	1	1
156	что люди	1	1
157	во всех	3	1
158	в ее	1	1
159	мы будем	1	1
160	но как	1	1
161	сознания не	1	1
162	могут и	1	1
163	присутствует в	1	1
164	личность как	2	1
165	это тайна	1	1
166	его на	1	1
167	как в	1	1
168	по пути	5	1
169	со своей	1	1
170	что это	1	1
171	в известном	1	1
172	но прежде	1	1
173	вера в	2	1
174	к миру	1	1
175	в виде	1	1
176	от людей	1	1
177	конечная цель	1	1
178	но все	1	1
179	что все	4	1
180	в состоянии	1	1
181	которого не	1	1
182	и тем	1	1
183	о личности	1	1
184	для них	2	1
185	в них	3	1
186	все равно	2	1
187	для последнего	1	1
188	с тем	2	1
189	и уже	1	1
190	между собою	1	1
191	в этих	3	1
192	и ее	1	1
193	в которых	1	1
194	жизни с	1	1
195	него не	1	1
196	по крайней	1	1
197	их в	3	1
198	личного и	2	1
199	тому что	3	1
200	раз и	1	1
201	этих трех	3	1
202	человека есть	1	1
203	из нас	1	1
204	одна из	2	1
205	и остается	1	1
206	на него	1	1
207	было не	1	1
208	это еще	4	1
209	на котором	1	1
210	нельзя не	1	1
211	ничего не	1	1
212	под этим	2	1
213	во всем	1	1
214	но это	3	1
215	возможно в	1	1
216	мы и	2	1
217	о счастье	5	1
218	заключается что	1	1
219	людей к	1	1
220	всего в	2	1
221	его с	1	1
222	оно не	3	1
223	говорит о	1	1
224	в виду	1	1
225	людей в	3	1
226	царем и	1	1
227	на том	2	1
228	если они	1	1
229	игру с	1	1
230	является в	2	1
231	в разных	1	1
232	смысл бытия	1	1
233	но мы	2	1
234	и что	3	1
235	теперь и	1	1
236	людей как	1	1
237	быть личностью	2	1
238	и во	2	1
239	в которую	1	1
240	совместима с	1	1
241	себя но	1	1
242	крайней мере	1	1
243	а его	1	1
244	человека как	2	1
245	не совместима	1	1
246	своей сущности	1	1
247	тот же	3	1
248	мы увидим	1	1
249	в разные	1	1
250	бытия в	1	1
251	их жизни	1	1
252	то и	1	1
253	слова не	1	1
254	или даже	1	1
255	но от	1	1
256	за ним	3	1
257	чего бы	1	1
258	без такого	1	1
259	не так	2	1
260	в одном	1	1
261	в xx	1	1
262	у него	1	1
263	и вместе	1	1
264	она и	1	1
265	может и	1	1
266	вслед за	2	1
267	от смысла	1	1
268	и быть	1	1
269	и внешнее	1	1
270	нового времени	1	1
271	всякого смысла	1	1
272	к человеку	1	1
273	превращается в	3	1
274	не было	3	1
275	и опять	1	1
276	человеческой жизни	1	1
277	его по	1	1
278	моей личности	1	1
279	о чем	1	1
280	для человека	2	1
281	если не	3	1
282	связь с	1	1
283	ко всем	1	1
284	зачем же	2	1
285	как это	1	1
286	существует как	1	1
287	есть такое	1	1
288	в лице	1	1
289	если оно	1	1
290	мировой жизни	4	1
291	xx веке	1	1
292	в мир	1	1
293	в тот	1	1
294	да и	2	1
295	мира с	1	1
296	в бытии	1	1
297	с этой	1	1
298	известном смысле	1	1
299	о мире	1	1
300	только мы	1	1
301	и для	3	1
302	указать на	1	1
303	и от	1	1
304	все что	4	1
305	что оно	1	1
306	в результате	1	1
307	мира и	1	1
308	человек и	1	1
309	я не	1	1
310	хотя и	5	1
311	как сам	1	1
312	ее и	2	1
313	для нас	2	1
314	от него	2	1
315	есть уже	2	1
316	на части	1	1
317	личности и	3	1
318	в своих	1	1
319	жизни в	1	1
320	таким же	1	1
321	жизни и	3	1
322	ее в	2	1
323	и эта	1	1
324	они не	1	1
325	во всяком	2	1
326	и вновь	1	1
