N	2gram	Tiupa_Disk_1	Mirosoze
1	и в	16	46
2	у достоевского	1	34
3	в нем	9	22
4	может быть	17	21
5	в этом	15	20
6	не только	28	18
7	и не	11	18
8	никогда не	2	18
9	для него	4	18
10	но и	14	15
11	не может	9	15
12	человека в	2	14
13	как и	16	13
14	ведет к	3	13
15	а не	22	13
16	не есть	2	13
17	друг друга	1	12
18	прежде всего	11	12
19	потому что	4	12
20	и он	2	11
21	не было	7	11
22	но в	8	10
23	в себе	7	10
24	он не	1	10
25	не в	7	9
26	не знает	1	9
27	и есть	2	8
28	отношение к	4	8
29	в своем	6	8
30	на земле	1	8
31	человека к	1	8
32	как бы	5	8
33	но это	1	8
34	в мире	1	7
35	как в	10	7
36	и к	4	7
37	в нашем	1	7
38	в этой	2	7
39	человек не	1	7
40	хотя бы	3	7
41	и потому	3	7
42	что он	4	7
43	вопрос о	1	6
44	что это	1	6
45	в русской	1	6
46	не могу	1	6
47	он сам	1	6
48	в народе	1	6
49	того что	3	6
50	по преимуществу	1	5
51	то же	7	5
52	я не	1	5
53	в самом	3	5
54	бы и	1	5
55	что она	1	5
56	в своей	5	5
57	в конце	1	5
58	во всем	1	5
59	и его	2	5
60	к тому	5	5
61	и это	1	5
62	те же	1	5
63	это не	3	5
64	один из	3	5
65	в его	7	5
66	то что	5	5
67	и все	2	5
68	также и	3	4
69	к чему	1	4
70	с его	4	4
71	у них	1	4
72	его на	1	4
73	чем у	1	4
74	в жизни	1	4
75	том что	19	4
76	не имеет	1	4
77	перед ним	1	4
78	должны быть	3	4
79	они и	3	4
80	так и	8	4
81	себя в	2	4
82	уже не	4	4
83	вопроса о	1	4
84	что и	3	4
85	в свою	3	4
86	они не	2	4
87	до конца	1	4
88	что в	4	4
89	чтобы не	1	3
90	это и	1	3
91	к другому	2	3
92	той же	1	3
93	они были	1	3
94	и на	5	3
95	в чем	1	3
96	он в	1	3
97	в россии	1	3
98	в каждом	2	3
99	не будет	1	3
100	на все	1	3
101	на почве	1	3
102	в них	4	3
103	не мог	1	3
104	что было	1	3
105	принадлежат к	3	3
106	по своей	11	3
107	себя и	1	3
108	момент в	1	3
109	не существует	1	3
110	было в	2	3
111	если бы	1	3
112	и должно	1	3
113	о том	8	3
114	и во	2	3
115	нет у	1	3
116	что они	1	3
117	в том	23	3
118	только в	7	3
119	есть в	2	3
120	тем что	3	3
121	от того	1	3
122	с другим	1	3
123	до сих	1	3
124	к которому	2	3
125	связано с	1	3
126	в творчестве	1	3
127	жизни в	2	3
128	и нет	1	3
129	сих пор	1	3
130	и от	1	3
131	отношении к	1	3
132	на смену	3	3
133	сказать что	3	3
134	в своих	3	3
135	нем нет	1	2
136	отношения к	2	2
137	в обычном	1	2
138	сам по	1	2
139	не имеют	1	2
140	и за	1	2
141	но она	1	2
142	принадлежит к	1	2
143	не от	2	2
144	не был	1	2
145	в дневнике	1	2
146	во всех	5	2
147	по отношению	9	2
148	себе и	1	2
149	почему они	1	2
150	более чем	2	2
151	как к	2	2
152	хотя и	2	2
153	в действительности	3	2
154	от этого	1	2
155	от своей	1	2
156	в которой	1	2
157	и те	1	2
158	этот процесс	1	2
159	на его	4	2
160	не к	1	2
161	на этом	2	2
162	этом он	1	2
163	лишь в	4	2
164	человека только	1	2
165	то все	1	2
166	стоит на	1	2
167	не всегда	2	2
168	в этих	1	2
169	точки зрения	3	2
170	от его	1	2
171	мир и	1	2
172	которые в	1	2
173	стоит в	1	2
174	чем не	1	2
175	связи с	4	2
176	как будто	1	2
177	в основе	7	2
178	в небытие	1	2
179	к себе	2	2
180	оно не	2	2
181	мысль о	1	2
182	еще в	3	2
183	по себе	3	2
184	и что	2	2
185	в сущности	2	2
186	нас в	1	2
187	она означает	1	2
188	к нему	1	2
189	это лишь	1	2
190	подобно тому	2	2
191	которое было	1	2
192	он уже	1	2
193	между тем	4	2
194	в новых	1	2
195	одни и	1	2
196	уже в	2	2
197	и других	1	2
198	не о	1	2
199	не случайно	1	2
200	для сохранения	1	2
201	или иной	5	2
202	этом пути	1	2
203	что человек	1	2
204	уходит в	1	2
205	что не	4	2
206	личности в	1	2
207	личности и	1	2
208	вместе с	1	2
209	такого рода	4	2
210	тому как	3	2
211	что же	2	2
212	да и	1	2
213	но для	1	2
214	его с	1	2
215	быть и	1	2
216	а в	5	2
217	отношением к	1	2
218	отношению к	9	2
219	с природой	1	1
220	и то	1	1
221	бытия а	1	1
222	самом деле	1	1
223	только потому	1	1
224	со своей	1	1
225	и формулировать	1	1
226	она определяется	1	1
227	этом направлении	1	1
228	всего лишь	1	1
229	мы не	1	1
230	выбора и	1	1
231	но по	1	1
232	говорить о	1	1
