N	3gram	Propp_Morf_1	Tvorches
1	в том что	3	6
2	о том что	1	5
3	с самого начала	1	3
4	это уже не	1	2
5	на самом деле	4	2
6	является одним из	1	2
7	точно так же	1	2
8	в своей известной	1	2
9	в данном случае	1	2
10	можно сказать что	1	2
11	тем не менее	4	2
12	заметим кстати что	1	1
13	хотя и не	1	1
14	нет не только	1	1
15	может быть определен	1	1
16	в настоящее время	3	1
17	что же касается	1	1
18	по отношению к	4	1
19	до сих пор	1	1
20	и в других	1	1
21	говорить о том	1	1
22	друг на друга	2	1
23	не могут быть	2	1
24	то что в	2	1
25	бы то ни	3	1
26	не задаваясь вопросом	1	1
27	в бою и	1	1
28	вспомним хотя бы	1	1
29	и тем не	1	1
30	все более и	1	1
31	том или другом	1	1
32	могут быть названы	1	1
33	то ни было	2	1
34	с одной стороны	1	1
35	вполне может быть	1	1
36	в связи с	8	1
37	это не значит	2	1
38	бросается в глаза	1	1
39	вряд ли можно	1	1
40	не означает что	1	1
41	если же в	1	1
42	быть определен как	2	1
43	это значит что	1	1
44	более и более	1	1
45	мы имеем в	1	1
46	с другой стороны	4	1
47	но это не	1	1
48	не значит что	2	1
49	к тому что	3	1
50	как и в	2	1
51	на первый взгляд	3	1
52	дело не в	2	1
53	а если мы	1	1
54	и т д	39	1
