N	3gram	Losev_Prob_1	OGranits
1	с точки зрения	3	5
2	не может быть	2	4
3	есть прежде всего	1	3
4	одно и то	1	3
5	что иное как	2	2
6	в самом деле	2	2
7	не чем иным	1	2
8	в данном случае	8	2
9	и то же	1	2
10	с другой стороны	3	2
11	путем отвлечения однородных	1	2
12	того или иного	2	2
13	ничего общего с	7	2
14	есть не что	2	2
15	чем иным как	1	2
16	не что иное	2	2
17	в том что	5	2
18	все указанные нами	1	1
19	связаны между собою	1	1
20	только потому что	2	1
21	само собой разумеется	1	1
22	в чем же	1	1
23	иметь в виду	3	1
24	а вовсе не	1	1
25	более или менее	3	1
26	в нем только	2	1
27	на самом деле	4	1
28	подобно тому как	2	1
29	с момента своего	1	1
30	то же самое	9	1
31	во всей своей	1	1
32	в сознании и	2	1
33	в общем виде	1	1
34	не было бы	1	1
35	только то что	4	1
36	в этом отношении	1	1
37	то что в	3	1
38	можно было бы	2	1
39	может и должно	1	1
40	может быть и	3	1
41	то или иное	1	1
42	в своей статье	1	1
43	постановка вопроса о	1	1
44	конечно мы не	1	1
45	для того чтобы	8	1
46	так же как	2	1
47	если бы мы	1	1
48	едва ли кто-нибудь	1	1
49	и в его	1	1
50	а также и	2	1
51	между собою и	1	1
52	тем не менее	18	1
53	и к тому	1	1
54	и как бы	2	1
55	в течение всей	1	1
56	вовсе не на	1	1
57	в связи с	4	1
58	очень трудно разграничить	1	1
59	так и для	2	1
60	сознании не только	1	1
61	мы уже видели	1	1
62	что же такое	1	1
63	ли кто-нибудь станет	1	1
64	вступает в свои	1	1
65	в свои права	1	1
66	может быть это	1	1
67	но в то	1	1
68	выходит за пределы	1	1
69	на то что	8	1
70	никоим образом не	1	1
71	в то же	4	1
72	в каждом отдельном	1	1
73	говорить и о	1	1
74	и следовательно в	2	1
75	к тому что	1	1
76	тех или иных	2	1
77	как и в	1	1
