N	2gram	Tiupa_Lite_2	Problema
1	то есть	5	39
2	то что	7	38
3	вовсе не	2	37
4	и не	11	37
5	и в	19	35
6	не только	8	24
7	том что	7	19
8	у нас	5	18
9	даже и	2	18
10	о том	2	18
11	может быть	17	18
12	в этом	9	17
13	но и	10	16
14	такого рода	9	15
15	что мы	1	14
16	не менее	6	13
17	потому что	2	13
18	не может	9	13
19	и что	2	13
20	тем не	2	12
21	того что	5	12
22	в том	10	12
23	хотя бы	2	12
24	не просто	1	11
25	никак не	1	11
26	и даже	8	11
27	так что	4	11
28	прежде всего	4	11
29	что в	4	11
30	в таком	1	11
31	и то	3	10
32	еще не	2	10
33	ничего не	3	10
34	и с	3	10
35	а не	20	10
36	в данном	3	10
37	едва ли	4	9
38	в этой	3	9
39	пока еще	1	9
40	для себя	2	9
41	только на	1	9
42	что же	1	9
43	для нас	2	9
44	все же	2	8
45	в виду	2	8
46	было бы	2	8
47	уже не	2	8
48	как раз	2	8
49	все эти	1	7
50	те или	1	7
51	мы не	4	7
52	тем самым	3	7
53	не имеет	1	7
54	не является	2	7
55	в конце	2	7
56	так и	7	7
57	казалось бы	1	7
58	в его	4	7
59	конце концов	1	7
60	так как	3	7
61	этом случае	2	7
62	и т	2	6
63	есть не	1	6
64	мы и	1	6
65	с другой	8	6
66	но как	2	6
67	относится к	1	6
68	и вовсе	1	6
69	но в	2	6
70	на то	1	6
71	был бы	2	6
72	по крайней	2	6
73	крайней мере	2	6
74	же самое	1	6
75	можно сказать	1	6
76	в области	4	6
77	а именно	3	6
78	но это	3	6
79	и для	3	6
80	в то	9	6
81	то же	12	5
82	отнюдь не	4	5
83	в самом	1	5
84	в себе	6	5
85	с другими	1	5
86	но уже	2	5
87	как и	10	5
88	и без	2	5
89	связи с	1	5
90	той или	1	5
91	как мы	1	5
92	данном случае	3	5
93	можно было	1	5
94	и на	6	5
95	с одной	7	5
96	же это	1	5
97	одной стороны	6	5
98	или иной	1	5
99	еще и	1	5
100	что не	2	5
101	другой стороны	4	5
102	в частности	4	5
103	так же	1	5
104	и все	1	5
105	самом деле	1	4
106	на самом	1	4
107	не вполне	2	4
108	но не	5	4
109	не все	1	4
110	в своем	1	4
111	и как	3	4
112	но именно	1	4
113	всех этих	1	4
114	их в	1	4
115	таким образом	1	4
116	далеко не	1	4
117	которой он	1	4
118	между собою	1	4
119	в этих	1	4
120	на свете	2	4
121	в отношении	1	4
122	но только	2	4
123	что на	1	4
124	уже о	2	4
125	стороны и	1	4
126	не могут	1	4
127	и вполне	1	4
128	все еще	2	4
129	и о	1	4
130	говоря уже	2	4
131	и только	2	4
132	тех пор	1	4
133	тот же	2	4
134	что он	3	4
135	есть в	1	4
136	не можем	1	4
137	то и	3	4
138	нами не	1	4
139	как же	1	4
140	тем что	4	4
141	мы говорим	1	4
142	подобного рода	1	4
143	как бы	2	4
144	слова и	7	4
145	в результате	2	4
146	а в	3	4
147	до тех	1	4
148	не говоря	2	4
149	гораздо более	1	4
150	это и	1	3
151	в их	3	3
152	обойтись без	1	3
153	но даже	1	3
154	в нашем	2	3
155	нет и	1	3
156	в истории	2	3
157	не было	2	3
158	и к	2	3
159	что слово	1	3
160	только то	1	3
161	в целом	2	3
162	в случае	1	3
163	при этом	6	3
164	перестает быть	3	3
165	и по	1	3
166	здесь мы	1	3
167	то ни	1	3
168	его в	1	3
169	все равно	2	3
170	с тем	2	3
171	в слове	1	3
172	лет назад	1	3
173	оказывается что	1	3
174	но эта	1	3
