N	2gram	Tiupa_Vved_1	SlovoVZh
1	не может	7	16
2	может быть	18	14
3	точки зрения	1	14
4	как бы	4	13
5	и его	5	13
6	таким образом	4	12
7	и в	13	12
8	по отношению	7	11
9	в нашем	6	11
10	отношению к	7	11
11	и не	12	10
12	если бы	7	9
13	прежде всего	7	8
14	сказать что	1	7
15	для нас	2	7
16	в ней	4	6
17	в том	10	6
18	только в	6	6
19	при этом	26	6
20	с помощью	1	6
21	в нем	5	6
22	слова и	1	6
23	в процессе	1	6
24	должна быть	2	5
25	то же	5	5
26	в виду	1	5
27	можно сказать	4	5
28	отнюдь не	7	5
29	как в	4	5
30	но в	6	5
31	и др	1	5
32	в жизни	4	5
33	героя и	3	5
34	а не	15	5
35	как и	11	5
36	что мы	2	5
37	том что	7	5
38	никогда не	4	5
39	хотя бы	1	5
40	то что	6	5
41	на самом	4	4
42	зависимости от	1	4
43	как если	1	4
44	к нему	1	4
45	к автору	1	4
46	в литературе	2	4
47	в этом	21	4
48	все же	6	4
49	в самом	2	4
50	уже не	5	4
51	не только	20	4
52	отношение к	2	4
53	так и	8	4
54	с другой	5	4
55	что не	1	4
56	высказывания как	3	4
57	не в	6	4
58	и к	2	4
59	жизни и	7	4
60	и на	3	4
61	здесь не	2	3
62	самом деле	3	3
63	в котором	8	3
64	в пределах	2	3
65	еще не	7	3
66	мы не	4	3
67	о том	5	3
68	но и	19	3
69	между тем	1	3
70	точка зрения	3	3
71	того что	6	3
72	в художественном	1	3
73	быть и	2	3
74	и наконец	2	3
75	имеет в	1	3
76	и ее	1	3
77	все эти	1	3
78	только на	1	3
79	в себе	5	3
80	да и	1	3
81	для него	3	3
82	не к	4	3
83	и по	3	3
84	и с	2	3
85	точек зрения	2	3
86	в них	2	3
87	автору и	1	3
88	в своей	5	3
89	так же	1	3
90	тем не	3	3
91	как к	1	3
92	и более	3	3
93	из этого	1	3
94	по себе	2	3
95	с окружающей	1	3
96	не менее	4	3
97	все это	1	3
98	с автором	1	3
99	и для	3	3
100	бы мы	1	3
101	так называемой	1	3
102	с ним	3	3
103	или не	2	3
104	отношении к	1	3
105	на границе	1	3
106	как это	1	2
107	действия и	1	2
108	едва ли	3	2
109	те же	2	2
110	по природе	1	2
111	мы имеем	5	2
