N	3gram	Potebnia_M_4	Tragedij
1	то же время	3	5
2	в то же	3	5
3	точно так же	1	2
4	в данном случае	2	2
5	и как бы	2	2
6	о том что	5	2
7	и в самом	1	2
8	в том что	7	2
9	в этом случае	5	1
10	а между тем	4	1
11	не только о	1	1
12	имеет в виду	1	1
13	и не может	1	1
14	хотя бы и	2	1
15	все это происходит	1	1
16	сам по себе	4	1
17	в той же	1	1
18	и то что	4	1
19	и т п	4	1
20	ту же мысль	1	1
21	что все это	1	1
22	может быть не	1	1
23	бы и в	1	1
24	или как говорит	1	1
25	во всяком случае	3	1
26	не имеет для	1	1
27	смысле этого слова	1	1
28	в этом состоит	1	1
29	но при этом	1	1
30	и в этом	4	1
31	тем не менее	4	1
32	не могут быть	2	1
33	что я вижу	2	1
34	в связи с	1	1
35	не только к	1	1
36	не может быть	5	1
37	я в то	1	1
38	так можно выразиться	1	1
39	и вместе с	1	1
40	в одном из	1	1
41	с самого начала	1	1
42	не только не	3	1
43	с тем и	2	1
44	в этом мы	1	1
45	после того как	2	1
46	к тому что	1	1
47	как и в	1	1
48	если так можно	1	1
