N	2gram	Losev_Prob_3	ViktorSh
1	конце концов	3	2
2	и в	44	2
3	том что	12	2
4	в том	21	2
5	в конце	5	2
6	и только	6	1
7	крайней мере	5	1
8	тем более	3	1
9	и почти	1	1
10	все дело	2	1
11	ни к	3	1
12	в другом	2	1
13	хотя бы	3	1
14	и не	35	1
15	все время	1	1
16	и его	5	1
17	потому что	25	1
18	даже не	2	1
19	отношений но	1	1
20	и то	14	1
21	самом деле	3	1
22	все это	5	1
23	по поводу	2	1
24	значит и	3	1
25	именно в	2	1
26	в теории	1	1
27	чего не	1	1
28	в их	2	1
29	то чего	2	1
30	их как	1	1
31	дело в	4	1
32	в частности	2	1
33	одно и	3	1
34	не одно	1	1
35	в которых	3	1
36	заключается что	1	1
37	в самом	3	1
38	для них	2	1
39	только в	19	1
40	то же	13	1
41	ясно что	6	1
42	так как	9	1
43	далеко не	1	1
44	что слово	2	1
45	не будем	2	1
46	другое дело	2	1
47	образы которые	2	1
48	но это	8	1
49	в этом	17	1
50	и самым	1	1
51	да и	5	1
52	имеется в	4	1
53	по крайней	5	1
54	а только	5	1
55	и заключается	1	1
56	по существу	2	1
57	к этому	1	1
58	не хотел	1	1
59	гораздо более	5	1
