N	4gram	Vygotskiy__4	Problema
1	ни в какой мере	1	4
2	и с точки зрения	1	3
3	ни в каком случае	1	3
4	не что иное как	1	2
5	взятый сам по себе	1	2
6	в то время как	2	2
7	дело в том что	1	1
8	сами по себе и	1	1
9	в том что они	1	1
10	взятые сами по себе	1	1
11	заключается в том чтобы	1	1
12	по самой своей природе	1	1
13	и вместе с тем	1	1
14	бы то ни было	1	1
15	с этой точки зрения	1	1
16	заключается в том что	2	1
17	вне и независимо от	1	1
18	так же как и	1	1
19	о том что он	2	1
20	можно было бы сказать	1	1
