N	3gram	Vinokur_St_1	formyVre
1	и т п	9	11
2	с точки зрения	8	8
3	для того чтобы	10	7
4	не только в	4	5
5	в том же	1	4
6	то же время	4	4
7	в то же	4	4
8	в том числе	2	3
9	о том как	1	3
10	и в то	1	3
11	но и в	2	3
12	и в этом	3	3
13	во всех этих	1	3
14	в том что	17	3
15	и т д	21	3
16	в другом месте	1	2
17	в этом случае	2	2
18	до сих пор	7	2
19	сами по себе	1	2
20	том числе и	2	2
21	может быть и	2	2
22	то что было	1	2
23	она ни была	1	2
24	в этом отношении	7	2
25	друг от друга	1	2
26	тем более что	2	2
27	во время чумы	2	1
28	в так называемой	1	1
29	не может не	1	1
30	и говорить о	1	1
31	сих пор еще	1	1
32	в той или	1	1
33	никогда не было	1	1
34	т п на	1	1
35	а вовсе не	1	1
36	xiv в этом	1	1
37	на самом деле	6	1
38	как и во	1	1
39	в котором он	1	1
40	так что в	1	1
41	том что он	1	1
42	только в том	3	1
43	кем и неизвестно	1	1
44	в конце концов	1	1
45	что он не	1	1
46	жизни и смерти	1	1
47	кость от кости	1	1
48	то что в	2	1
49	это вовсе не	1	1
50	того чтобы не	1	1
51	то время как	1	1
52	в самом действии	1	1
53	из того же	1	1
54	как и в	2	1
55	в данном случае	6	1
56	на свой лад	1	1
57	с одной стороны	2	1
58	а также и	2	1
59	быть и речи	1	1
60	прежде всего необходимо	1	1
61	это не значит	3	1
62	объясняется тем что	1	1
63	он не знает	1	1
64	с другой стороны	6	1
65	это и было	1	1
66	было бы не	2	1
67	не может быть	5	1
68	именно в том	1	1
69	но в то	2	1
70	как и большинство	2	1
71	их во всяком	1	1
72	ни в чем	1	1
73	в то время	2	1
74	ни для кого	1	1
75	о том что	11	1
76	в одном из	1	1
77	как бы ни	1	1
78	т п в	3	1
79	но все же	3	1
80	широко распространены в	1	1
81	также и в	1	1
82	плоть от плоти	1	1
83	в данном отношении	5	1
84	в основе этой	1	1
85	к тому что	1	1
86	и речи об	1	1
87	во всех случаях	1	1
88	вовсе не является	1	1
89	нечего и говорить	1	1
90	там где эта	1	1
91	что и в	4	1
92	неизвестно кем и	2	1
93	той или иной	1	1
