N	3gram	Vinokur_St_3	UchenyiS
1	не может быть	5	4
2	в этой области	2	3
3	в то же	3	3
4	то же время	3	3
5	с другой стороны	4	3
6	в этом смысле	4	2
7	в этом отношении	4	2
8	и в частности	1	2
9	в самом деле	1	2
10	в конце концов	3	2
11	до сих пор	2	2
12	в том что	11	2
13	то же самое	1	2
14	смысле этого термина	1	2
15	по крайней мере	4	2
16	также более или	1	1
17	что все они	1	1
18	так или иначе	1	1
19	в значительной мере	1	1
20	с одной стороны	2	1
21	на то что	3	1
22	более или менее	1	1
23	не только в	3	1
24	только при таком	1	1
25	моцарт и сальери	2	1
26	мы имеем в	2	1
27	то что ему	1	1
28	и в конце	1	1
29	тем что он	2	1
30	можно сказать что	1	1
31	у пушкина но	1	1
32	этого не было	1	1
33	и у пушкина	1	1
34	но это не	3	1
35	знак равенства между	1	1
36	является одним из	1	1
37	не в том	3	1
38	с тем что	3	1
39	сам по себе	1	1
40	пушкина но это	1	1
41	он может быть	1	1
