N	3gram	Bakhtin_fo_2	TeoriaLi
1	в отличие от	1	7
2	в том что	3	6
3	то же время	4	6
4	в то же	4	6
5	в данном случае	1	5
6	с другой стороны	1	3
7	можно сказать что	1	3
8	в свою очередь	1	3
9	той или иной	1	3
10	и того же	1	2
11	в этом мире	6	2
12	что в основе	1	2
13	с точки зрения	8	2
14	тот или иной	1	2
15	но он не	1	2
16	значении этого слова	1	2
17	с одной стороны	1	2
18	и то же	1	2
19	одно и то	1	2
20	одного и того	1	2
21	не может быть	1	2
22	как и в	1	2
23	и в сущности	1	1
24	по существу является	1	1
25	в той или	1	1
26	этой точки зрения	1	1
27	имеем в виду	3	1
28	в том числе	3	1
29	в этом случае	2	1
30	со всех сторон	1	1
31	и для других	1	1
32	и в то	3	1
33	можно говорить о	1	1
34	что он не	1	1
35	том числе и	2	1
36	с самим собою	1	1
37	точки зрения не	3	1
38	как такового не	1	1
39	и в пространстве	1	1
40	он ни был	1	1
41	на каждом из	1	1
42	может быть и	2	1
43	между вещами и	3	1
44	в это утро	1	1
45	таким образом и	1	1
46	к вопросу о	3	1
47	в себя и	1	1
48	его в иной	1	1
49	это имеет место	1	1
50	и как бы	1	1
51	в связи с	7	1
52	как бы в	1	1
53	здесь как бы	1	1
54	в то время	1	1
55	с этой точки	1	1
56	пространственных и временных	1	1
57	на свое место	1	1
58	прежде всего к	1	1
59	о том что	1	1
60	в себе самом	1	1
61	и прежде всего	3	1
62	но в то	1	1
63	каждой из них	1	1
64	мы имеем в	2	1
65	в соседстве со	1	1
66	в частности с	1	1
67	в большинстве случаев	3	1
68	больше и больше	1	1
69	чего еще нет	1	1
70	для того чтобы	7	1
71	том что он	1	1
72	человека и его	1	1
