N	3gram	Berdyaev_O_1	formyVre
1	для того чтобы	3	7
2	в этом мире	2	6
3	друг с другом	1	4
4	в эпоху возрождения	1	3
5	о том как	1	3
6	но и в	2	3
7	и в этом	2	3
8	и прежде всего	1	3
9	в том что	1	3
10	в другом месте	1	2
11	прежде всего в	1	2
12	каждом из них	1	2
13	в этом отношении	1	2
14	а в частности	1	1
15	никогда не было	2	1
16	он ни был	1	1
17	а вовсе не	1	1
18	кто бы он	1	1
19	подчеркнуть еще одну	1	1
20	как и все	2	1
21	то что в	1	1
22	как и в	1	1
23	по сравнению с	1	1
24	эпоху возрождения но	1	1
25	все это было	1	1
26	вместо того чтобы	1	1
27	не может быть	2	1
28	бы он ни	1	1
29	этом мире это	1	1
30	о том что	1	1
31	с тем что	2	1
32	необходимо подчеркнуть еще	1	1
33	ни с чем	1	1
34	как бы в	1	1
35	в совершенно ином	1	1
36	и вопрос о	1	1
37	но к этому	1	1
