N	3gram	Nazirov_Tv_2	Hudozhes
1	по отношению к	3	10
2	в отличие от	2	7
3	не сводится к	1	6
4	то же время	7	6
5	в то же	7	6
6	с другой стороны	2	5
7	той или иной	1	5
8	в том что	2	5
9	так и не	1	4
10	в конечном счете	1	3
11	того или иного	1	3
12	в таком случае	2	2
13	и в то	2	2
14	войне и мире	1	2
15	как уже говорилось	1	2
16	а с другой	1	2
17	в свою очередь	1	2
18	на наших глазах	1	2
19	в русской литературе	1	2
20	том числе и	1	2
21	по сути дела	3	2
22	в том числе	1	2
23	и прежде всего	1	2
24	если он не	1	1
25	мы видим в	1	1
26	может быть назван	1	1
27	в творческом процессе	4	1
28	в виду что	1	1
29	у достоевского в	3	1
30	может быть определен	1	1
31	в одной из	2	1
32	от всех и	1	1
33	что приводит к	1	1
34	преступлении и наказании	10	1
35	при этом что	1	1
36	только то что	1	1
37	точно так же	1	1
38	он ни был	1	1
39	в романе достоевского	5	1
40	по крайней мере	2	1
41	то или иное	1	1
42	именно в этом	2	1
43	первую очередь по	1	1
44	то есть его	1	1
45	но в таком	1	1
46	едва ли не	2	1
47	содержит в себе	1	1
48	толпы так и	1	1
49	и потому что	1	1
50	таком случае это	1	1
51	в известном смысле	1	1
52	в центр художественного	1	1
53	не могут быть	1	1
54	это своего рода	1	1
55	в связи с	1	1
56	в первую очередь	1	1
57	так же как	2	1
58	и в том	1	1
59	жизни то есть	1	1
60	в то время	1	1
61	в частности в	1	1
62	отношению к самому	1	1
63	это и есть	1	1
64	в преступлении и	10	1
65	о том что	2	1
66	именно потому что	1	1
67	он еще не	2	1
68	в литературе в	1	1
69	может и не	1	1
70	между автором и	1	1
71	в поле зрения	1	1
72	очередь по отношению	1	1
73	в соответствии с	4	1
74	не может быть	3	1
75	превращая его в	1	1
76	как и в	1	1
77	к тому же	1	1
