N	2gram	Vinokur_Ku_1	DiskursI
1	в качестве	7	34
2	не только	10	28
3	в том	30	23
4	а не	8	22
5	тогда как	2	19
6	том что	21	19
7	может быть	13	17
8	как и	2	16
9	и в	24	16
10	в этом	14	15
11	еще не	5	14
12	но и	6	14
13	при этом	6	13
14	речевых жанров	1	12
15	но не	5	11
16	прежде всего	9	11
17	и не	12	11
18	как в	4	10
19	далеко не	1	10
20	с другой	7	10
21	по отношению	8	9
22	в нем	4	9
23	не может	7	9
24	состоит в	3	9
25	с одной	1	9
26	одной стороны	1	9
27	в частности	4	9
28	отношению к	9	9
29	отнюдь не	1	8
30	но в	2	8
31	своего рода	1	8
32	о том	9	8
33	так и	7	8
34	а также	1	8
35	не было	3	7
36	в себе	3	7
37	то же	8	7
38	не в	11	7
39	роль в	4	7
40	со стороны	4	7
41	в его	12	7
42	только в	11	7
43	в своем	3	6
44	пока еще	1	6
45	и как	2	6
46	и на	4	5
47	во всех	1	5
48	отличие от	1	5
49	в рамках	4	5
50	тому же	1	5
51	в силу	10	5
52	в котором	3	5
53	в их	3	5
54	в отличие	1	5
55	в процессе	1	5
56	в себя	1	5
57	сводится к	3	5
58	или иной	3	5
59	можно сказать	3	5
60	а с	3	5
61	в данном	4	5
62	как бы	7	5
63	к тому	5	5
64	а в	5	5
65	то что	9	5
66	в своей	2	5
67	в которых	6	4
68	с его	4	4
69	в сторону	2	4
70	отношение к	1	4
71	в истории	3	4
72	уже не	8	4
73	в целом	4	4
74	на его	3	4
75	лишь в	2	4
76	в них	7	4
77	потому что	23	4
78	могут быть	1	4
79	для себя	1	4
80	внимание на	4	4
81	же время	2	4
82	между тем	5	4
83	во втором	2	4
84	как правило	1	4
85	что он	6	4
86	для него	1	4
87	в особенности	3	4
88	по своим	2	4
89	что не	5	4
90	связи с	7	4
91	далеко еще	1	4
92	не является	2	4
93	что в	17	4
94	также и	2	3
95	того же	4	3
96	и потому	4	3
97	в первом	3	3
98	в основании	1	3
99	в каждой	1	3
100	столь же	1	3
101	той или	1	3
102	в одной	1	3
103	с этим	4	3
104	перед нами	1	3
105	в самом	10	3
106	заключается в	2	3
107	это не	7	3
108	и того	2	3
109	точки зрения	14	3
110	в ходе	1	3
111	в своих	1	3
112	однако в	1	3
113	по себе	2	3
114	в то	2	3
115	к той	1	3
116	таким образом	12	3
117	ли не	3	3
118	должны быть	2	3
119	они и	1	3
120	в строгом	1	3
121	как не	1	3
122	свою очередь	3	3
123	в ее	1	3
124	не с	3	3
125	и даже	3	3
126	что и	4	3
127	в лингвистике	3	3
128	научного мышления	1	3
129	хотя бы	10	3
130	в данной	1	3
131	из них	4	3
132	к ним	1	3
133	тем что	8	3
134	именно в	6	3
135	в акте	1	3
136	по своему	1	3
137	того что	9	3
138	один из	4	3
139	все же	12	3
140	в свою	3	3
141	сказать что	1	3
142	другой стороны	6	3
143	в действительности	1	3
144	это понятие	1	3
145	одним из	2	2
146	например в	5	2
147	языка с	1	2
148	и есть	2	2
149	едва ли	1	2
150	в году	1	2
151	для своего	1	2
152	мы имеем	6	2
153	в сущности	3	2
154	на себя	3	2
155	этого термина	2	2
156	в виду	5	2
157	слово не	1	2
158	в различных	1	2
159	события в	1	2
160	но как	1	2
161	сказки и	1	2
162	в новом	1	2
163	себя в	1	2
164	как к	1	2
165	с некоторыми	1	2
166	что касается	2	2
167	собственно и	1	2
168	хотя и	3	2
169	когда он	3	2
170	целый ряд	5	2
171	с понятием	1	2
172	более или	3	2
173	как иногда	1	2
174	не приходится	1	2
175	в тех	4	2
176	в этой	3	2
177	так сказать	5	2
178	в значении	2	2
179	по словам	1	2
180	не следует	1	2
181	том чтобы	8	2
182	и по	1	2
183	на этом	1	2
184	так например	2	2
185	в каждом	2	2
186	различие между	1	2
187	об этом	1	2
188	того или	4	2
189	и тем	2	2
190	соответствии с	3	2
191	не всегда	2	2
192	иначе говоря	2	2
193	одного и	2	2
194	или менее	3	2
195	в г	3	2
196	наших дней	1	2
197	и без	1	2
198	мысли и	1	2
199	по крайней	5	2
200	в историческом	1	2
201	по мере	3	2
202	не менее	7	2
203	но они	1	2
204	что с	2	2
205	дело не	2	2
206	в науке	4	2
207	к такому	1	2
208	не могло	1	2
209	нельзя не	1	2
210	как формы	1	2
211	в наше	1	2
212	и его	5	2
213	науке о	1	2
214	однако это	1	2
215	крайней мере	5	2
216	к себе	4	2
217	не есть	4	2
218	оно не	3	2
219	и он	3	2
220	не ограничивается	1	2
221	как мы	1	2
222	говоря уже	1	2
223	говорит и	1	2
224	языка и	8	2
225	в организации	1	2
226	в пределах	4	2
227	на том	3	2
228	же касается	4	2
229	было в	2	2
230	разного рода	1	2
231	о нем	2	2
232	во всяком	5	2
233	и что	5	2
234	одного из	1	2
235	времени в	1	2
236	это было	2	2
237	в греческой	2	2
238	на протяжении	1	2
239	и во	1	2
240	в форме	1	2
241	в литературе	1	2
242	и одновременно	1	2
243	дело с	1	2
244	в какой	6	2
245	наше время	1	2
246	тот или	1	2
247	есть в	4	2
248	литературы в	1	2
249	уже в	3	2
250	свидетельствует о	2	2
