1	до сих пор	3	5
2	в том что	2	5
3	что иное как	3	3
4	не что иное	3	3
5	том что в	1	2
6	по отношению к	2	2
7	что и в	4	2
8	о том что	2	2
9	как и в	2	2
10	к которой он	1	1
11	друг друга не	1	1
12	одной и той	2	1
13	но и в	1	1
14	роль в жизни	1	1
15	после того как	2	1
16	один из моментов	1	1
17	говорят о том	1	1
18	знак того что	1	1
19	есть один из	2	1
20	на одной и	1	1
21	может быть и	2	1
22	и той же	2	1
23	также и в	2	1
24	что не все	1	1
25	который мнил себя	1	1
26	с точки зрения	1	1
27	так как нет	1	1
28	он стоит на	1	1
29	сына с отцом	1	1
30	она не может	1	1
31	смысле этого слова	1	1
32	не может быть	8	1
33	и к нему	1	1
34	мы видим в	1	1
35	так и должно	1	1
36	есть не что	3	1
37	так же как	3	1
38	на самом деле	1	1
39	сих пор не	1	1
40	подобно тому как	2	1
41	в этом нет	1	1
42	на то что	1	1
43	это и есть	3	1
44	берет на себя	1	1
45	не означает что	1	1
