N	3gram	Tiupa_Hudo_1	Komedia
1	к тому же	1	10
2	едва ли не	1	5
3	в том что	7	5
4	о том что	1	4
5	для того чтобы	2	4
6	по отношению к	9	3
7	в том числе	2	3
8	так или иначе	3	3
9	в связи с	1	3
10	то же время	5	3
11	в то время	1	3
12	в то же	5	3
13	в этом смысле	3	2
14	в частности в	1	2
15	в одной из	1	2
16	в отличие от	7	2
17	бы то ни	1	2
18	не более чем	1	2
19	то ни было	1	2
20	с одной стороны	2	2
21	в самом начале	1	2
22	к тому что	2	2
23	в поле зрения	1	2
24	я думаю что	1	1
25	мы имеем дело	2	1
26	каждой из них	1	1
27	в частности все	1	1
28	в соответствии с	1	1
29	так и не	4	1
30	как видно из	1	1
31	с точки зрения	3	1
32	том случае если	1	1
33	и в то	1	1
34	том числе и	1	1
35	к более или	1	1
36	точно так же	1	1
37	между тем к	1	1
38	в том случае	1	1
39	той или иной	4	1
40	если говорить о	1	1
41	в котором по	1	1
42	имеем дело с	1	1
43	и частной жизни	1	1
44	с другой стороны	5	1
45	мере в какой	1	1
46	таким образом и	1	1
47	в полной мере	1	1
48	и в том	1	1
49	не может быть	3	1
50	она могла бы	1	1
51	того или иного	3	1
52	более или менее	5	1
53	что он не	1	1
54	в основе его	1	1
55	в свою очередь	2	1
56	и в самом	1	1
57	друг от друга	1	1
58	в общественном сознании	1	1
59	с первых же	1	1
60	тем не менее	3	1
61	друг перед другом	1	1
