N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	45
2	и т.п	1	16
3	и не	6	15
4	в этом	7	14
5	но в	3	14
6	не только	4	14
7	во всех	1	13
8	и его	1	13
9	в его	2	13
10	как бы	4	12
11	что в	2	12
12	то же	3	11
13	в своем	1	11
14	в то	1	11
15	в нем	3	10
16	как и	6	10
17	в том	4	10
18	прежде всего	5	10
19	же время	1	9
20	в ней	1	8
21	таким образом	11	8
22	как мы	2	8
23	жизни и	4	8
24	вовсе не	1	8
25	так же	1	8
26	с его	1	7
27	мы видели	4	7
28	том что	1	7
29	не в	3	7
30	в конце	3	7
31	и все	3	7
32	все это	3	7
33	в этой	3	6
34	он не	1	6
35	весь мир	1	6
36	связи с	1	6
37	так как	4	6
38	самом деле	2	5
39	на самом	1	5
40	это и	1	5
41	здесь и	1	5
42	с ее	1	5
43	хотя и	1	5
44	и к	3	5
45	и у	1	5
46	все эти	5	5
47	на этом	2	5
48	его в	1	5
49	с ним	1	5
50	мы видим	2	5
51	одной из	1	5
52	со всеми	2	5
53	и их	1	5
54	в связи	1	5
55	не может	17	5
56	но это	1	5
57	на части	1	5
58	же как	1	4
59	мы уже	1	4
60	той же	2	4
61	мы не	9	4
62	но не	1	4
63	кроме того	1	4
64	в самом	2	4
65	точки зрения	12	4
66	у него	2	4
67	очень часто	1	4
68	и это	1	4
69	можно было	1	4
70	ничего не	6	4
71	о том	1	4
72	и во	2	4
73	только в	1	4
74	с этим	2	4
75	и даже	2	4
76	здесь в	1	4
77	сказать что	1	4
78	а не	3	4
79	чем же	1	4
80	и от	1	4
81	все они	1	4
82	а в	4	4
83	такой же	2	4
84	к началу	1	3
85	того же	1	3
86	из этих	2	3
87	дело идет	1	3
88	роль играет	1	3
89	как он	3	3
90	что она	3	3
91	здесь нет	1	3
92	ни в	1	3
93	до сих	1	3
94	от его	1	3
95	не менее	2	3
96	но они	1	3
97	дело в	1	3
98	не имеет	1	3
99	необходимости и	1	3
100	в другом	1	3
101	это не	4	3
102	именно в	1	3
103	и прежде	1	3
104	в одном	3	3
105	не было	1	3
106	там где	1	3
107	вместе с	4	3
108	в течение	1	3
109	по существу	1	3
110	сих пор	1	3
111	и для	1	3
112	с помощью	4	3
113	и ни	1	3
114	на этот	2	3
115	в заключение	1	3
116	и наиболее	1	2
117	можно говорить	1	2
118	в этот	1	2
119	и есть	2	2
120	почти не	1	2
121	за все	1	2
122	с точки	5	2
