N	4gram	Vinokur_Vv_1	RusskieA
1	состоит в том что	2	8
2	в том что в	1	5
3	не что иное как	4	2
4	во второй половине xix	1	1
5	представляют собой не что	1	1
6	второй половине xix в	1	1
7	на самом деле как	1	1
8	одного и того же	2	1
9	в первой половине xix	1	1
10	собой не что иное	1	1
11	в целом ряде других	1	1
12	как мы уже знаем	1	1
13	и т д и	1	1
14	можно сказать что в	1	1
15	но вместе с тем	1	1
16	первой половине xix в	1	1
17	сомнений в том что	1	1
18	приходит к выводу что	1	1
19	одном и том же	1	1
20	в одном и том	1	1
21	самом деле как мы	1	1
22	может быть и не	1	1
