N	3gram	Vygotskiy__3	Istorich
1	с другой стороны	3	8
2	во всех этих	1	6
3	всех этих случаях	1	6
4	не только в	1	5
5	о том что	3	5
6	так же как	6	4
7	с одной стороны	5	4
8	тем не менее	5	4
9	в том что	17	4
10	этой точки зрения	2	3
11	то что в	2	3
12	с этой точки	2	3
13	не может быть	2	3
14	в данном случае	1	3
15	даже там где	1	2
16	то время как	4	2
17	точно так же	1	2
18	до сих пор	1	2
19	так как он	1	2
20	но тем не	1	2
21	здесь мы имеем	1	2
22	в том чтобы	1	2
23	одна из этих	1	2
24	так и в	2	2
25	в этом и	2	2
26	мы не можем	1	2
27	в то время	4	2
28	как и в	2	2
29	что и в	5	2
30	мы увидим что	1	2
31	о том как	1	1
32	таким образом что	2	1
33	задачи связанные с	1	1
34	не в состоянии	1	1
35	при помощи которых	1	1
36	мы видим таким	1	1
37	на которой он	1	1
38	только потому что	2	1
39	сказать что в	1	1
40	это вытекает из	1	1
41	с точки зрения	1	1
42	выше мы видели	1	1
43	состоит в том	3	1
44	он не мог	1	1
45	это означает что	1	1
46	по отношению к	2	1
47	связь между собой	1	1
48	не стоят в	1	1
49	в этом случае	1	1
50	же как и	4	1
51	то же самое	1	1
52	связь может быть	1	1
53	только в том	2	1
54	но и у	1	1
55	в зависимости от	5	1
56	во всем этом	1	1
57	в другом месте	1	1
58	сама по себе	1	1
59	бы то ни	1	1
60	как мы увидим	2	1
61	независимо от того	3	1
62	очень глубокие корни	1	1
63	что мы знаем	3	1
64	совершенно так же	2	1
65	можно было бы	5	1
66	увидим дальше что	1	1
67	как мы уже	2	1
68	на которые ссылается	1	1
69	может быть распространено	1	1
70	как если бы	1	1
71	то и другое	4	1
72	вместе с тем	10	1
73	мы условно называем	2	1
74	здесь мы видим	1	1
75	что они имеют	2	1
76	мы увидим дальше	1	1
77	и что в	1	1
78	в самом начале	1	1
79	один из них	1	1
80	то ни было	1	1
81	склонен думать что	1	1
82	так как это	1	1
83	ни один из	4	1
84	имеем дело с	1	1
85	все же не	1	1
86	и даже там	1	1
87	вопросу о том	1	1
88	в связи с	5	1
89	всем этом мы	1	1
90	в связи со	1	1
91	не только у	1	1
92	должно быть с	1	1
93	в свете наших	1	1
94	не в его	1	1
95	более или менее	1	1
96	с достаточной ясностью	1	1
97	мы можем видеть	1	1
98	мы увидим ниже	1	1
99	в этом же	1	1
100	эта связь может	1	1
101	которую мы условно	2	1
102	должен быть поставлен	1	1
103	это значит что	4	1
104	видим таким образом	1	1
105	но все эти	1	1
106	этого может быть	1	1
107	ту или иную	1	1
108	с тем и	4	1
109	прямой связи с	1	1
110	как и сам	1	1
111	но мы уже	1	1
112	к тому что	1	1
113	приводит нас к	1	1
114	как мы видели	3	1
115	мы видели что	3	1
