N	3gram	Losev_Prob_4	UchenyiS
1	с другой стороны	6	3
2	бы то ни	1	3
3	в то же	2	3
4	в этой области	1	3
5	то ни было	1	3
6	но даже и	4	2
7	в этом смысле	3	2
8	то же самое	6	2
9	до сих пор	1	2
10	хотя бы и	2	2
11	в том что	8	2
12	по крайней мере	6	2
13	и то что	1	2
14	и в частности	2	2
15	тех или иных	3	2
16	в конце концов	1	2
17	чем то что	1	1
18	или по крайней	2	1
19	превратилось бы в	1	1
20	нам представляется что	2	1
21	не в том	1	1
22	роль не только	1	1
23	по себе еще	1	1
24	не случайно и	1	1
25	это было бы	1	1
26	более или менее	2	1
27	равно как и	1	1
28	имеем в виду	3	1
29	в значительной мере	2	1
30	и в то	1	1
31	сам по себе	6	1
32	само по себе	1	1
33	в первую очередь	1	1
34	и независимо от	2	1
35	и прежде всего	2	1
36	и все они	2	1
37	не о чем	1	1
38	у нас в	1	1
39	мы имеем в	1	1
40	на то что	1	1
41	не может обойтись	2	1
42	они находятся в	1	1
43	в ней не	1	1
44	конечно не в	1	1
45	это не только	1	1
46	в буквальном смысле	2	1
47	в данном случае	5	1
48	не только в	4	1
49	с одной стороны	1	1
50	в отдельности и	1	1
51	он прежде всего	1	1
52	на первый взгляд	1	1
