N	3gram	Berdyaev_M_1	Dialekti
1	это значит что	3	21
2	что иное как	1	6
3	не может быть	17	6
4	не что иное	1	6
5	в самом деле	1	5
6	есть то что	1	5
7	о том что	1	5
8	то время как	2	4
9	в то время	2	4
10	в том что	1	3
11	выйти за пределы	1	2
12	он не может	2	2
13	как и все	1	2
14	в зависимости от	1	2
15	и есть подлинная	1	2
16	не могут быть	2	2
17	во всяком случае	1	2
18	есть не только	3	2
19	это и есть	4	2
20	должна быть не	1	2
21	в вопросе о	1	2
22	для нас в	1	2
23	и только он	1	1
24	– все это	1	1
25	и есть то	1	1
26	было бы и	1	1
27	мы говорим что	1	1
28	что в основе	1	1
29	потому что в	3	1
30	имеем в виду	1	1
31	прежде всего –	1	1
32	до сих пор	2	1
33	и не может	2	1
34	исторического процесса в	1	1
35	когда говорил что	1	1
36	если нет ничего	1	1
37	и та же	1	1
38	не меньше чем	1	1
39	есть и в	1	1
40	а иногда и	1	1
41	что ничего нет	1	1
42	есть вера во	1	1
43	не значит что	1	1
44	и есть свобода	1	1
45	в телесном и	1	1
46	не в том	1	1
47	это не значит	2	1
48	быть выражена и	1	1
49	одна и та	1	1
50	только и есть	1	1
51	существует не только	1	1
52	должна быть отнесена	1	1
53	когда мы говорим	1	1
54	и в том	1	1
55	не мог бы	1	1
56	в нем нет	1	1
57	от того что	1	1
58	том смысле что	1	1
59	это потому что	1	1
60	выражена и выявлена	1	1
61	и никогда не	1	1
62	к нему и	1	1
63	да ведь это	1	1
64	свободы и необходимости	1	1
65	мы имеем в	1	1
66	личности и это	1	1
67	– одно из	1	1
68	в том смысле	2	1
69	и я бы	1	1
70	ничего нельзя поделать	1	1
71	т е от	1	1
72	все это не	1	1
73	что и в	1	1
74	для него есть	1	1
75	я и хочу	1	1
