N	2gram	Vinokur_Ku_2	slovoVRo
1	и в	23	39
2	может быть	15	37
3	и т	39	35
4	и его	3	33
5	т п	24	33
6	не только	20	24
7	и не	16	22
8	но и	7	21
9	не может	9	20
10	в нем	4	19
11	до конца	3	17
12	в этом	18	16
13	все это	5	16
14	так и	4	15
15	а не	10	14
16	отличие от	2	13
17	как в	3	13
18	в процессе	3	13
19	в пределах	4	13
20	слова в	6	13
21	литературного языка	1	12
22	в отличие	2	12
23	слово в	1	11
24	вовсе не	9	10
25	и с	7	9
26	не в	8	9
27	языка и	8	9
28	языковое сознание	1	9
29	таким образом	5	8
30	оно не	2	8
31	прежде всего	8	8
32	слова и	5	8
33	точки зрения	14	8
34	еще не	5	7
35	с его	1	7
36	о слове	1	7
37	в него	1	7
38	языком и	1	7
39	при этом	2	7
40	в этих	1	7
41	для него	1	7
42	никогда не	2	7
43	могут быть	4	7
44	как мы	3	7
45	язык и	2	7
46	в его	5	7
47	языка как	2	7
48	слово как	1	7
49	и даже	2	7
50	и потому	2	7
51	как бы	4	7
52	в сущности	9	6
53	но не	6	6
54	в своем	2	6
55	все же	7	6
56	и к	1	6
57	но в	11	6
58	все эти	12	6
59	удельный вес	1	6
60	значительной степени	1	6
61	в них	4	6
62	в слове	1	6
63	как и	2	6
64	она не	2	6
65	языка в	3	6
66	в значительной	1	6
67	язык в	2	6
68	в большинстве	1	6
69	человек в	1	6
70	там где	5	6
71	этом случае	2	6
72	это не	6	5
73	том что	11	5
74	по себе	10	5
75	не могут	5	5
76	но все	4	5
77	с другой	8	5
78	один из	5	5
79	в том	19	5
80	с ними	2	5
81	с одной	2	5
82	конечно не	2	5
83	уже не	8	5
84	и их	1	5
85	одной стороны	1	5
86	или иной	1	5
87	большинстве случаев	2	5
88	и для	2	5
89	только в	5	5
90	для нас	4	5
91	и все	2	5
92	отношения к	2	4
93	в зависимости	4	4
94	и на	6	4
95	по отношению	1	4
96	отношение к	1	4
97	словом в	1	4
98	связанные с	2	4
99	всех этих	3	4
100	в узком	4	4
101	то же	6	4
102	слова не	3	4
103	на почве	1	4
104	ни в	4	4
105	в отношении	2	4
106	не менее	7	4
107	в то	4	4
108	одна из	1	4
109	же время	3	4
110	во всем	1	4
111	зависимости от	5	4
112	что оно	3	4
113	здесь не	3	4
114	для этого	3	4
115	но здесь	2	4
116	дело с	1	4
117	языка но	3	4
118	так как	15	4
119	даже и	2	4
120	и др	1	4
121	языка не	2	4
122	с помощью	7	4
123	на фоне	3	4
124	узком смысле	2	4
125	в той	2	4
126	язык не	2	4
127	а в	3	4
128	слова с	1	4
129	литературный язык	2	3
130	ту же	6	3
131	как это	5	3
132	п все	1	3
133	должна быть	5	3
134	той же	2	3
135	говорить о	4	3
136	в чем	1	3
137	слова на	1	3
138	сама по	1	3
139	перед нами	4	3
140	и как	1	3
141	не приходится	1	3
142	бы и	4	3
143	борьбы с	1	3
144	на этом	3	3
145	не с	1	3
146	лишь в	5	3
147	еще раз	1	3
148	с точки	8	3
149	точку зрения	1	3
150	его от	1	3
151	может конечно	1	3
152	связи с	3	3
153	этом отношении	3	3
154	в ней	3	3
155	а также	3	3
156	языке как	3	3
157	к нему	2	3
158	между тем	6	3
