N	3gram	Vinokur_St_2	Tvorches
1	и т д	6	11
2	то же время	1	7
3	в то же	1	7
4	по отношению к	1	3
5	до сих пор	5	3
6	в самом деле	2	2
7	в одной из	2	2
8	в отличие от	2	2
9	на этот вопрос	1	2
10	именно в этом	1	2
11	так же как	3	2
12	в том же	2	2
13	во всяком случае	3	2
14	с другой стороны	3	2
15	так и в	2	2
16	и т п	3	2
17	о том что	11	2
18	в одном из	3	2
19	с полным правом	1	2
20	в том что	16	2
21	в другом месте	2	1
22	том что в	2	1
23	ответ пушкина на	1	1
24	в в виноградов	1	1
25	же как в	1	1
26	в г в	3	1
27	дело в том	4	1
28	не только с	2	1
29	в том числе	1	1
30	начале xix века	1	1
31	был склонен к	1	1
32	по возвращении в	1	1
33	сами по себе	2	1
34	в первую очередь	1	1
35	нужно сказать что	1	1
36	в русской критике	1	1
37	точно так же	1	1
38	в письме к	5	1
39	в известной статье	1	1
40	большую роль в	1	1
41	не то что	1	1
42	за царя ирода	1	1
43	об этом сам	1	1
44	только потому что	2	1
45	в том смысле	2	1
46	одном из писем	2	1
47	нельзя молиться за	1	1
48	что он сам	1	1
49	в них нет	1	1
50	не дает никакого	1	1
51	в начале xix	1	1
52	в чем же	1	1
53	в известном смысле	1	1
54	и в этом	2	1
55	пришел к выводу	1	1
56	в свою очередь	1	1
57	в связи с	1	1
58	в виду что	1	1
59	к тому же	2	1
60	что у него	1	1
61	но это еще	1	1
62	потому что они	1	1
63	в то время	1	1
64	суд народа над	1	1
65	это еще не	1	1
66	в году писал	1	1
67	трагедии борис годунов	1	1
68	том смысле что	1	1
69	некоторое представление о	1	1
70	ничего общего с	1	1
71	с самого начала	3	1
72	xix века в	1	1
73	тесно связан с	1	1
74	к графине с	1	1
75	xviii века и	1	1
76	в предисловии к	2	1
77	и в том	1	1
78	в высшей степени	1	1
79	в какой-то мере	1	1
80	же время с	1	1
81	указал что в	1	1
82	к борису годунову	3	1
83	молиться за царя	1	1
84	и в другом	1	1
