N	3gram	Potebnia_M_2	UchenyiS
1	не может быть	2	4
2	с другой стороны	2	3
3	то же время	2	3
4	бы то ни	1	3
5	в то же	2	3
6	то ни было	1	3
7	а между тем	4	2
8	не могут быть	3	2
9	но даже и	1	2
10	в этом смысле	2	2
11	до сих пор	4	2
12	на каждом шагу	1	2
13	в том что	7	2
14	по крайней мере	5	2
15	или по крайней	2	1
16	лишь настолько насколько	2	1
17	в большей или	1	1
18	не в том	2	1
19	все же не	1	1
20	очевидно что и	1	1
21	это было бы	1	1
22	более или менее	8	1
23	большей или меньшей	1	1
24	в этом случае	1	1
25	если не исключительно	1	1
26	она представляется нам	1	1
27	между тем в	1	1
28	сам по себе	4	1
29	само по себе	2	1
30	по себе известное	1	1
31	и независимо от	1	1
32	не было бы	4	1
33	с тем что	1	1
34	но это не	1	1
35	у нас в	1	1
36	на то что	3	1
37	не может обойтись	2	1
38	с одной стороны	3	1
