N	2gram	Medvedev_V_1	Marksizm
1	точки зрения	3	34
2	может быть	22	26
3	и не	19	26
4	не может	17	24
5	и в	26	19
6	и его	6	19
7	таким образом	31	17
8	в этом	26	16
9	как бы	5	15
10	в процессе	16	14
11	как мы	1	13
12	прежде всего	13	13
13	как и	7	12
14	так и	5	11
15	связи с	4	11
16	и для	2	11
17	самом деле	1	10
18	в нем	6	10
19	в слове	3	10
20	в самом	4	10
21	идеологического творчества	2	9
22	лишь в	2	9
23	только в	7	9
24	для него	8	9
25	в результате	5	9
26	все же	5	8
27	не только	25	8
28	друг друга	1	8
29	до сих	1	8
30	но и	10	8
31	сих пор	1	8
32	то что	6	8
33	во всех	6	7
34	в ее	4	7
35	но в	2	7
36	все эти	6	7
37	то же	10	7
38	в каждом	2	7
39	бытия в	1	7
40	а не	7	7
41	в связи	3	7
42	так же	3	7
43	отнюдь не	3	6
44	кроме того	1	6
45	так сказать	2	6
46	в науке	2	6
47	в пределах	5	6
48	в его	14	6
49	на почве	1	6
50	в том	15	6
51	является не	4	6
52	в основном	5	6
53	другой стороны	8	6
54	связи между	1	5
55	конечно не	1	5
56	входит в	1	5
57	не в	6	5
58	того чтобы	3	5
59	ничего общего	1	5
60	и все	1	5
61	этот вопрос	3	5
62	в начале	1	5
63	в конце	3	5
64	вовсе не	3	5
65	с другой	11	5
66	за пределы	1	5
67	именно в	2	5
68	мы знаем	3	5
69	и потому	2	5
70	хотя бы	19	5
71	к этому	9	5
72	во всяком	1	5
73	оно может	1	4
74	вопрос о	1	4
75	нет и	3	4
76	чем же	4	4
77	как в	1	4
78	было бы	7	4
79	не столько	2	4
80	не менее	2	4
81	психологии в	1	4
82	по себе	2	4
83	самого начала	1	4
84	не является	5	4
85	в ней	2	4
86	еще не	2	4
87	только на	1	4
88	от того	2	4
89	для того	3	4
90	этой проблемы	3	4
91	далеко не	2	4
92	как же	1	4
93	с этим	3	4
94	в данном	1	4
95	вне его	2	4
96	и внешнего	1	4
97	форм и	1	4
98	а в	3	4
99	между ними	3	4
100	сказать что	5	4
101	что в	10	4
102	формы и	2	3
103	он может	2	3
104	и есть	5	3
105	действительности и	7	3
106	а как	2	3
107	имеет свою	3	3
108	по отношению	7	3
109	в истории	1	3
110	общего с	1	3
111	целый ряд	1	3
112	и как	3	3
113	и к	3	3
114	в которой	2	3
115	этот процесс	2	3
116	действительности на	2	3
117	его в	3	3
118	он не	2	3
119	том что	8	3
120	в своей	4	3
121	и ее	4	3
122	в котором	3	3
123	является в	1	3
124	в то	6	3
125	к этим	2	3
126	не имеет	1	3
127	на язык	2	3
128	же время	5	3
129	следует что	1	3
130	этом отношении	13	3
131	в области	2	3
132	не могут	7	3
133	же самое	2	3
134	должны быть	2	3
135	и это	1	3
136	в дальнейшем	1	3
137	и ту	1	3
138	понятно что	1	3
139	из основных	1	3
140	сводится к	3	3
141	можно сказать	4	3
142	с другими	2	3
143	конце концов	2	3
144	того что	3	3
145	быть и	1	3
146	одной из	1	3
147	в какой	1	3
148	между тем	5	3
149	по законам	1	3
150	не дает	1	3
151	из них	9	3
152	в систему	1	3
153	в целях	2	3
154	момент в	3	3
155	или иной	2	3
156	в каком	1	3
157	не было	7	3
158	на этот	1	3
159	все это	10	3
160	и формы	2	3
161	слова и	1	3
162	и от	3	3
163	нет ничего	1	3
164	и при	5	3
165	совершенно не	1	3
166	всех других	3	3
167	это и	6	3
168	ту же	2	2
169	одним из	5	2
170	же как	2	2
171	связана с	2	2
172	со всех	1	2
173	не приходится	2	2
174	содержания в	1	2
175	таком случае	1	2
176	областей знания	1	2
177	зависимости от	5	2
178	и он	2	2
179	всех сторон	1	2
180	свою очередь	1	2
181	именно эти	1	2
182	быть в	1	2
183	в чем	2	2
184	как если	1	2
185	явлений и	3	2
186	не все	1	2
187	себе и	2	2
188	и речи	1	2
189	сама по	1	2
190	что во	1	2
191	в своем	8	2
192	понять и	1	2
193	то в	1	2
194	бы и	6	2
195	формы в	1	2
196	не нашли	1	2
197	из этих	7	2
198	в себе	6	2
199	как он	2	2
200	если он	1	2
201	как оно	1	2
202	первой части	1	2
203	в понимании	1	2
204	не как	1	2
205	из него	1	2
206	можно было	2	2
207	человека в	2	2
208	в работе	3	2
209	что все	3	2
210	в другом	2	2
211	бы в	3	2
212	в данной	1	2
213	этом смысле	1	2
214	в новое	1	2
215	ни в	1	2
216	для них	1	2
217	это положение	1	2
218	ни одной	1	2
219	от него	1	2
220	среда в	1	2
221	должно быть	2	2
222	или вообще	1	2
223	это делает	3	2
224	и той	1	2
225	в философии	4	2
226	индивидуальный творческий	1	2
227	зрения и	1	2
228	тому что	6	2
229	эта мысль	1	2
230	этими двумя	1	2
231	мысли в	1	2
232	эти формы	1	2
233	что такое	2	2
234	к следующим	1	2
235	в основе	1	2
236	не могло	1	2
237	одна из	4	2
238	в сознании	4	2
239	у нас	2	2
240	нет ни	2	2
241	могут быть	5	2
242	числе и	2	2
243	к тому	4	2
244	его значение	1	2
245	они и	1	2
246	она не	3	2
247	с ее	1	2
248	в виду	4	2
249	и та	1	2
250	никогда не	4	2
251	то как	1	2
252	по аналогии	1	2
253	его последователей	1	2
254	между собой	1	2
255	если бы	3	2
256	и даже	2	2
257	по мере	1	2
258	громадное значение	1	2
259	ситуации и	1	2
260	о том	10	2
261	как единой	1	2
262	художественный образ	5	2
263	и во	1	2
264	что и	3	2
265	говорит он	1	2
266	ни к	1	2
267	что он	4	2
268	между этими	1	2
269	в качестве	11	2
270	и др	9	2
271	в единстве	4	2
272	и других	1	2
273	к каким	1	2
274	и их	3	2
275	всяком случае	1	2
276	себя от	1	2
277	как раз	3	2
278	тем что	1	2
279	без всякой	1	2
280	или иначе	1	2
281	связаны с	1	2
282	что не	3	2
283	зависит от	2	2
284	не об	2	2
285	в частности	11	2
286	из которых	2	2
287	и этот	2	2
288	с этой	1	2
289	благодаря этому	1	2
290	познание в	2	2
291	но для	2	2
292	или в	3	2
293	мира и	3	2
294	на данном	1	2
295	в свою	1	2
296	в романе	4	2
297	к его	2	2
298	словесного знака	1	2
299	отношению к	7	2
300	же и	2	2
301	жизни и	3	2
302	к этой	1	2
303	в своих	2	2
304	в таком	1	2
305	том числе	2	2
306	а между	1	1
307	имеют громадное	1	1
308	также и	2	1
309	например в	3	1
310	должен быть	4	1
311	новое время	1	1
312	и то	1	1
313	и без	1	1
314	становится в	1	1
315	проблемы в	1	1
316	получает в	2	1
317	или говоря	1	1
318	точному учету	1	1
319	мыслительного процесса	3	1
320	и мимолетные	1	1
321	этого в	1	1
322	в театре	1	1
323	его не	3	1
324	явления сознания	1	1
325	правильного понимания	1	1
326	или наоборот	1	1
327	путь для	1	1
328	превратилась в	1	1
329	бы например	1	1
330	является уже	1	1
331	почти все	1	1
332	из сказанного	1	1
333	себя свою	1	1
334	говорить о	2	1
335	в деле	1	1
336	всего сказанного	2	1
337	в целом	4	1
338	и ни	1	1
339	жизни это	1	1
340	в каждой	1	1
341	он сам	2	1
342	здесь не	1	1
343	в различных	2	1
344	с его	3	1
345	чуть ли	2	1
346	выражения в	1	1
347	есть функция	1	1
348	творчества все	1	1
349	на основе	5	1
350	но как	3	1
351	а только	1	1
352	было указано	1	1
353	другое если	1	1
354	ответ на	1	1
355	в общем	2	1
356	а и	1	1
357	отношение к	1	1
358	в едином	1	1
359	только общую	1	1
360	относится к	2	1
361	процесса его	1	1
362	как говорит	5	1
363	воплощение в	2	1
364	из следующих	1	1
365	хотя и	2	1
366	и понимания	1	1
367	и наконец	2	1
368	более или	6	1
369	следующим образом	3	1
370	является выражением	1	1
371	с определенной	1	1
372	тон и	1	1
373	или иную	1	1
374	и невозможно	1	1
375	ни один	7	1
376	даже самый	2	1
377	социальная природа	1	1
378	так или	1	1
379	в этой	4	1
380	в известном	1	1
381	если есть	1	1
382	всего необходимо	1	1
383	но ведь	1	1
384	фактический материал	1	1
385	и если	1	1
386	иным как	1	1
387	не следует	8	1
388	главным образом	7	1
389	большей или	3	1
390	творчества является	1	1
391	всех этих	2	1
392	момента в	1	1
393	не значит	1	1
394	механистический материализм	1	1
395	и социальной	2	1
396	проблемы не	1	1
397	а процесс	1	1
398	к каждому	1	1
399	их в	6	1
400	у пушкина	2	1
401	в плане	5	1
402	дальше он	1	1
403	как от	2	1
404	подобно тому	2	1
405	и по	3	1
406	в образе	2	1
407	так например	2	1
408	его хотя	1	1
409	именно это	1	1
410	движение этого	1	1
411	приходится говорить	2	1
412	же не	1	1
413	общественное положение	1	1
414	фактов не	1	1
415	а по	1	1
416	для своей	1	1
417	зрения на	1	1
418	с целью	1	1
419	является общим	1	1
420	это не	7	1
421	к анализу	1	1
422	то все	1	1
423	что один	1	1
424	после этого	2	1
425	действительности он	1	1
426	процессом в	1	1
427	не чем	1	1
428	материал этот	1	1
429	с тем	3	1
430	результате чего	2	1
431	художественной структуре	1	1
432	со своими	1	1
433	мы видели	3	1
434	между собою	2	1
435	здесь можно	1	1
436	для реализации	1	1
437	психики а	1	1
438	еще в	1	1
439	может идти	1	1
440	сознанию и	1	1
441	и размежевание	1	1
442	или менее	6	1
443	основных тенденций	1	1
444	во время	3	1
445	или точнее	1	1
446	художественного творчества	18	1
447	представить себе	2	1
448	почти не	1	1
449	знает и	1	1
450	этому же	1	1
451	наиболее глубокий	1	1
452	как совокупность	1	1
453	от его	2	1
454	сведена к	1	1
455	является только	1	1
456	мы полагаем	1	1
457	есть его	1	1
458	для многих	2	1
459	которых каждая	1	1
460	образом и	1	1
461	которые в	2	1
462	начнем с	2	1
463	творчества и	1	1
464	друг другу	1	1
465	и всесторонняя	1	1
466	в устах	1	1
467	не должна	1	1
468	бы быть	1	1
469	освободиться от	1	1
470	необходимо учитывать	1	1
