N	3gram	Potebnia_M_1	Tvorches
1	и т д	4	11
2	там же с	7	9
3	то же время	3	7
4	в то же	3	7
5	по отношению к	13	3
6	до сих пор	1	3
7	не может быть	9	3
8	в таком случае	2	2
9	на этот вопрос	2	2
10	по крайней мере	2	2
11	и многое другое	1	2
12	так же как	1	2
13	во всяком случае	1	2
14	с другой стороны	5	2
15	так и в	3	2
16	и т п	2	2
17	о том что	1	2
18	в одном из	1	2
19	в том что	13	2
20	то все же	1	1
21	не в себе	1	1
22	потому что в	4	1
23	дело в том	2	1
24	и потому что	2	1
25	может быть назван	1	1
26	в стороне все	1	1
27	не говорит но	1	1
28	но и потому	1	1
29	сами по себе	1	1
30	что в нем	1	1
31	можно было бы	1	1
32	точно так же	1	1
33	и в истории	1	1
34	что ничего не	1	1
35	что на ней	1	1
36	только потому что	2	1
37	в том смысле	4	1
38	в применении к	2	1
39	в мире ничего	1	1
40	и что в	3	1
41	только то что	1	1
42	в синтаксисе и	1	1
43	не зависит от	1	1
44	но при этом	1	1
45	и в этом	6	1
46	не могут быть	2	1
47	не только для	2	1
48	в свою очередь	4	1
49	в связи с	1	1
50	не только потому	1	1
51	по себе не	1	1
52	в то время	1	1
53	д и т	1	1
54	мы не можем	1	1
55	как и всякая	1	1
56	том смысле что	1	1
57	другой стороны и	1	1
58	т д в	1	1
59	с самого начала	3	1
60	то есть его	1	1
61	но это не	1	1
62	в каждом из	1	1
63	друг за другом	1	1
64	и в том	3	1
65	в нем самом	5	1
66	что в них	1	1
67	что у нас	1	1
68	и вообще все	1	1
69	как и в	2	1
70	человек так же	1	1
71	не так как	1	1
